YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.0000000	0.2769883	0.6990108	0.6723495	0.4571835	0.1698920	0.7383795	0.4933718	0.4018262	0.6423222
0.6476453	0.0000000	0.6723201	0.5344926	0.4682886	0.3615394	0.3103654	0.4405118	0.5543180	0.7485878
0.2695390	0.8524072	0.0000000	0.6116543	0.4552883	0.1289974	0.9413495	0.1030676	0.4305764	0.7966775
0.3121905	0.6947519	0.0247576	0.0000000	0.5691547	0.1078778	0.7761103	0.1181763	0.5283586	0.7964985
0.3631055	0.7874504	0.0129445	0.0260072	0.0000000	0.1200089	0.6288836	0.1401935	0.5982612	0.7688942
0.4329909	0.6650500	0.6040238	0.5181049	0.5290778	0.0000000	0.7859045	0.2295764	0.4991096	0.8610449
0.5336227	0.4186239	0.6801602	0.4527501	0.4352936	0.7793253	0.0000000	0.3130051	0.5091442	0.8845461
0.5739032	0.3340838	0.8217692	0.5966374	0.5269110	0.1046771	0.6040241	0.0000000	0.4478653	0.6182264
0.5335255	0.4170097	0.8365138	0.4342289	0.3048309	0.6482592	0.1475749	0.6346375	0.0000000	0.8269224
0.5474686	0.5013787	0.6429545	0.5035322	0.2892532	0.8253912	0.0505240	0.7889905	0.0307560	0.0000000
