YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0000000	0.1076155	0.0288347	0.5913790	0.4565084	0.7053392	0.7761131	0.7049186	0.0633122	0.0752117
0.0099117	0.0000000	0.0352636	0.4147114	0.4231556	0.7084423	0.8241257	0.7095810	0.0172618	0.0871036
0.0189259	0.0607507	0.0000000	0.4148452	0.3812955	0.7634853	0.6860993	0.7393250	0.0439072	0.0958938
0.3558942	0.3716579	0.7024128	0.0000000	0.3499373	0.6974339	0.5959400	0.7225997	0.0725329	0.0814497
0.0277254	0.0790807	0.0182983	0.6867600	0.0000000	0.6217700	0.7905951	0.8700310	0.0789547	0.0626328
0.0178163	0.0505884	0.0355171	0.6767345	0.0107878	0.0000000	0.7259761	0.6366912	0.0428275	0.0877185
0.0138402	0.0455766	0.0133546	0.7191817	0.0120693	0.0198101	0.0000000	0.8017381	0.0544368	0.0695767
0.0714816	0.0802974	0.0233943	0.5383847	0.4285860	0.5769538	0.6750366	0.0000000	0.0783671	0.0844386
0.0821930	0.0545613	0.0446028	0.5157373	0.3261204	0.6707371	0.7833335	0.7155426	0.0000000	0.0833290
0.0170633	0.0357000	0.0191264	0.5844222	0.3744583	0.7775965	0.6362623	0.7112792	0.0509547	0.0000000
