YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.0000000	0.0755825	0.6996595	0.6631750	0.7912549	0.5033338	0.5288858	0.7793905	1.0146469	0.0609841
1.0283236	0.0000000	0.7625089	0.6909144	0.8341692	0.4796896	0.3995468	0.8893025	1.0620775	0.0496726
0.3603174	0.9812512	0.0000000	0.4953610	0.7220720	0.6112963	0.9334911	0.0881226	0.3558092	1.0730118
0.9752251	0.1022216	0.6899633	0.0000000	0.7731558	0.5596142	0.4689746	0.8626515	1.0788042	0.0514562
0.8976804	0.0794624	0.4977057	0.1166971	0.0000000	0.6396861	0.4954412	0.7324300	0.9826370	0.0822040
0.8868115	0.0945096	0.7639117	0.7064338	0.9142984	0.0000000	0.3796871	0.8963536	0.9544897	0.0371777
0.9040594	0.0695404	0.7797237	0.8285919	0.9642421	0.0524825	0.0000000	0.8284017	1.0360552	0.0409786
0.8773773	0.0907938	0.6090318	0.6087334	0.5001155	0.7676108	0.8956720	0.0000000	1.0191867	0.0509538
0.8707857	0.0902770	0.6063769	0.6129345	0.5462598	0.6859881	1.0938915	0.0328909	0.0000000	0.0457646
0.9319190	0.0800521	0.6772032	0.6885578	0.7329460	0.6546892	0.4245874	0.7451506	0.9450264	0.0000000
