YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.4989311	0.7645261	0.3877297	0.2197758	0.1565631	0.0775131	0.8725449	0.8386550	0.4403966	1.0385896
0.4381395	0.3458860	0.3330050	0.1635048	0.1381621	0.1173242	0.9372976	0.2281473	0.7445694	1.0617142
0.9163084	0.6772948	0.2410010	0.1637838	0.0938542	0.0926698	0.7865154	0.7583626	0.4095342	1.1112027
0.9214342	0.7335290	0.2506940	0.0842115	0.1188826	0.0819524	0.9943095	0.8884235	0.4013727	0.9294750
0.9711524	0.7816122	0.3427183	0.0700206	0.0466244	0.0648867	0.9831226	0.7036337	0.5482329	0.9493247
0.8347145	0.5162022	0.1297169	0.0710583	0.0255110	0.0421068	0.9675543	0.6961482	0.4909921	0.9953539
0.9776942	1.0954830	0.7683440	0.9213037	0.7061256	0.3395946	0.3281164	0.8719140	0.4442467	0.9293810
1.0186896	0.8610214	0.4966327	0.2761428	0.1736250	0.1127282	0.7715179	0.4716244	0.3810665	0.9488925
1.0064659	0.9247925	0.4243524	0.2162725	0.1919375	0.1017685	0.8657483	0.9399624	0.2360519	0.9960077
1.0816371	0.8477514	0.3658909	0.1615065	0.1182545	0.0956555	0.8885917	0.2319092	0.7041637	0.4812744
