"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W

0	0.6820197	0.7306069	0.5316229	0.3199058	0.3456258	0.5093946	0.4651391	0.0974355	0.7182573	0.0776558
50	0.6988071	0.7219021	0.8124625	0.0961537	0.3972063	0.4853075	0.4892402	0.1202953	0.6569402	0.0250793
100	0.7964304	0.7370336	0.8285285	0.0803691	0.4997941	0.5375507	0.5188401	0.1094853	0.8604573	0.0566042
150	0.6401716	0.6649689	0.6866826	0.0537681	0.4178881	0.5902545	0.4758019	0.1753901	0.6150635	0.0202882
200	0.7441689	0.5915137	0.5787818	0.0714850	0.4042533	0.5906700	0.4654349	0.1144618	0.6142296	0.0365788
250	0.6363887	0.7434612	0.7569501	0.1143837	0.4794740	0.4539696	0.4368483	0.1249207	0.7892952	0.0273648
300	0.7737195	0.7532281	0.6296840	0.0696516	0.3948109	0.4298145	0.3053125	0.1157388	0.6200845	0.0351547
350	0.7608743	0.6471776	0.8141224	0.1019370	0.3817781	0.3961340	0.3642120	0.1523499	0.6497066	0.0118997
400	0.8211192	0.6604511	0.8057834	0.0890844	0.5166242	0.5236578	0.2882178	0.1572386	0.6921123	0.0336441
450	0.7272376	0.5627168	0.6270285	0.0867997	0.5642103	0.5251179	0.3422938	0.2084995	0.8294227	0.0062671
500	0.8042877	0.8167969	0.8793741	0.0915688	0.4410795	0.5352071	0.2790771	0.1873474	0.6597128	0.0148239
550	0.7683879	0.6451995	0.7044334	0.0866000	0.3755728	0.6380886	0.3233802	0.1133309	0.7184677	0.0101669
600	0.8702201	0.6006336	0.8225484	0.1963057	0.3086828	0.4922826	0.3964603	0.1607971	0.8276961	0.0219750
650	0.7882517	0.6078037	0.7193980	0.2249225	0.3171423	0.5324858	0.3128380	0.0954802	0.8021707	0.0378961
700	0.6601580	0.6168323	0.6875311	0.2600272	0.3241704	0.5116076	0.3305386	0.0814855	0.6933135	0.0290065
750	0.6491383	0.6708553	0.7476541	0.1214050	0.3795031	0.4882085	0.4774625	0.0749060	0.8038332	0.0392870
800	0.7559806	0.6511317	0.7566757	0.2539183	0.2659819	0.4953977	0.5840479	0.0418957	0.8799348	0.0117177
850	0.7315966	0.7377044	0.6805781	0.3716345	0.2792094	0.5378017	0.3797194	0.0959418	0.6427561	0.0084590
900	0.8917484	0.6422527	0.6873263	0.3650949	0.1948597	0.5223517	0.4948658	0.0571427	0.6376629	0.0305587
950	0.7061849	0.6622413	0.6165781	0.4069073	0.3127836	0.6097729	0.4614077	0.0605591	0.7546421	0.0346237
1000	0.6843712	0.7625420	0.7727992	0.4425305	0.2957901	0.4935112	0.5088276	0.0686638	0.6409331	0.0319774

0	0.7748267	0.5698978	0.7550096	0.3362704	0.2563619	0.4989042	0.4550468	0.0806766	0.8417998	0.0348618
50	0.7783355	0.6084480	0.7192041	0.2341818	0.3175889	0.4436836	0.2690607	0.0691317	0.6080781	0.0125842
100	0.6789163	0.4446707	0.6373475	0.1514915	0.4890412	0.4449100	0.2211760	0.1043076	0.7497464	0.0263713
150	0.8049542	0.6593659	0.8190253	0.0949823	0.4272175	0.4879613	0.2026249	0.0906626	0.7553178	0.0182212
200	0.7687706	0.6258057	0.6988434	0.1194743	0.3828562	0.5860141	0.1614679	0.1151896	0.7140753	0.0165045
250	0.8091549	0.6415881	0.7311863	0.1268096	0.4023858	0.7104034	0.1963779	0.1290810	0.7281726	0.0269840
300	0.8142243	0.7601925	0.7107139	0.1188826	0.4341101	0.7445456	0.1948339	0.1383721	0.7487005	0.0133571
350	0.6861659	0.6237847	0.7042094	0.1447083	0.4098379	0.5531953	0.1861037	0.1328110	0.5781307	0.0171772
