YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0000000	0.1277868	0.1398309	0.2989918	0.9739001	0.0251995	0.4118410	1.0620693	0.0843575	0.7079842
1.0677774	0.0000000	0.0824827	0.2627438	1.0270709	0.0030492	0.4803128	0.9333258	0.0883199	0.6901191
0.9005994	0.1057926	0.0000000	0.2532197	1.0685568	0.0288676	0.4263897	0.9532301	0.0817022	0.6268026
0.7403176	0.6196057	1.0126254	0.0000000	1.0266275	0.0149449	0.6234585	0.9148493	0.1074156	0.8025796
0.8557462	0.1152489	0.0898197	1.0862450	0.0000000	0.0339775	0.4571901	1.0020468	0.0594553	0.7697663
0.9392774	0.1024699	0.2526238	0.2604232	0.9770003	0.0000000	0.4004879	0.9886489	0.0666030	0.6419578
0.9379229	0.1801385	0.2004735	0.2723203	1.0808487	0.0629197	0.0000000	0.9258937	0.0969881	0.5812774
0.9082535	0.1519396	0.2354420	0.3133750	0.9243349	0.0275123	0.3621142	0.0000000	0.0773951	0.6584337
0.8649582	0.0969858	0.1783582	0.2791321	1.0292818	0.0286165	0.4147484	1.0517082	0.0000000	0.5950713
0.9527996	0.1260238	0.0718340	0.7746185	0.2300746	1.0217062	0.3735077	1.0278561	0.0612174	0.0000000
