"Time"	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C

0	0.8393870	0.5568737	0.3484061	0.5661632	0.3282881	0.6653177	0.2897012	0.3410156	0.7498056	0.8536708
50	0.7893701	0.4691931	0.2878036	0.2639655	0.3761492	0.2900259	0.1774051	0.4597089	0.7567652	0.7796667
100	0.6598339	0.5072767	0.2163959	0.2251619	0.2754527	0.1651783	0.2315058	0.4153348	0.6080059	0.7668375
150	0.8163440	0.5934058	0.2128666	0.3046166	0.1919343	0.1542720	0.2175417	0.3520085	0.8249591	0.7392014
200	0.7366729	0.6074451	0.2131684	0.3709340	0.0917208	0.1555033	0.2366399	0.3272385	0.8564114	0.7521967
250	0.9343241	0.5882407	0.1691237	0.4218981	0.1399230	0.1487622	0.2373909	0.3538672	0.7643251	0.9560029
300	0.7050356	0.3816064	0.2577747	0.4320834	0.0597311	0.1246146	0.1927699	0.3558342	0.6430634	0.7969203
350	0.6693380	0.5504810	0.1987296	0.3228992	0.1131053	0.1169154	0.3038795	0.2904480	0.8148328	0.7107111
400	0.8346402	0.4576604	0.2000646	0.5010968	0.0644233	0.1534523	0.2146699	0.3292027	0.7184677	0.7525127
450	0.8414921	0.4936972	0.1685999	0.3652883	0.0451390	0.1679760	0.2159215	0.3717185	0.7365644	0.6528120
500	0.7526369	0.4761925	0.1819916	0.4087340	0.1073965	0.1279358	0.2334693	0.4138877	0.6990961	0.8080421
550	0.7352588	0.5163902	0.1919704	0.5883498	0.1603077	0.4610481	0.2430207	0.4504359	0.7807939	0.6900099
600	0.7168528	0.3993224	0.2352054	0.7540216	0.3375155	0.6484543	0.2078130	0.4373757	0.8371261	0.7720745
650	0.6878193	0.4015012	0.3533188	0.5942896	0.4259355	0.6556598	0.2644605	0.4104343	0.7338669	0.7659371
700	0.7377944	0.4175767	0.2906293	0.6084278	0.2854844	0.6874246	0.1966958	0.4543781	0.7799504	0.7875622
750	0.7026490	0.4096106	0.2537510	0.7134696	0.3167564	0.6905512	0.1941996	0.3799123	0.6133590	0.7992949
800	0.7284218	0.4571904	0.2670988	0.6499622	0.4343304	0.6849161	0.2018865	0.4548281	0.8270029	0.8221369
850	0.6719281	0.5296529	0.2628706	0.6033317	0.3835196	0.6550430	0.1996332	0.3894283	0.6568449	0.8015288
900	0.7780947	0.3879396	0.2389193	0.5103548	0.3612337	0.6212365	0.1966157	0.3389277	0.6941461	0.8108031
950	0.6139210	0.4872840	0.2577389	0.6319480	0.4153101	0.6007235	0.2043774	0.3485890	0.6425963	0.7100006
1000	0.5154473	0.4873990	0.3066188	0.6019619	0.4717410	0.8075234	0.2266648	0.3800067	0.7760893	0.6181694

0	0.7641231	0.4369174	0.3079488	0.5675867	0.4931855	0.7323685	0.3289742	0.3791766	0.6968770	0.6680359
50	0.6088025	0.4237392	0.3009529	0.4300443	0.4427061	0.6840260	0.5672363	0.4617265	0.7251616	0.9251461
100	0.7050281	0.4495023	0.2711616	0.3413179	0.3902640	0.5235007	0.4731008	0.5358608	0.6512187	0.6560642
150	0.8799467	0.3390702	0.1892433	0.4027667	0.3034595	0.5289246	0.5885406	0.5704792	0.7499749	0.8889317
200	0.7426222	0.3749762	0.2066046	0.4362365	0.2383107	0.4796562	0.5697127	0.4469876	0.7039860	0.8925939
250	0.6679754	0.3850704	0.2253452	0.3685533	0.3043432	0.4911919	0.6887476	0.4407755	0.8202918	0.7847104
300	0.6469047	0.3624195	0.1994765	0.4280282	0.2972824	0.3454099	0.5511101	0.4807380	0.8075161	0.7047445
350	0.5353380	0.2452391	0.2854913	0.4516621	0.1865570	0.5134315	0.5612128	0.5272024	0.9784419	0.7447010
400	0.5322680	0.2133663	0.2443058	0.4418262	0.2613737	0.4827547	0.5910077	0.4854548	0.6846890	0.7789761
450	0.5285667	0.3541883	0.2115279	0.4143012	0.2761414	0.4634262	0.5918057	0.4930753	0.6688250	0.9196463
500	0.5493704	0.3510179	0.2440433	0.3913904	0.3349879	0.5008263	0.6788816	0.6980112	0.8094971	0.8645273
550	0.6151327	0.3372247	0.3458883	0.5489839	0.2872315	0.4208631	0.2817458	0.6456560	0.6108865	0.8028581
600	0.4578825	0.3600191	0.2998994	0.5346929	0.2537319	0.5058427	0.1711641	0.5916752	0.6395695	0.8343894
650	0.6520397	0.3713091	0.2840538	0.5722338	0.4073424	0.6599392	0.1902972	0.4024549	0.8274567	0.8295349
700	0.5436873	0.5001397	0.3209406	0.5935286	0.2954898	0.6845172	0.2192779	0.3890922	0.5678202	0.8094992
750	0.8321406	0.4180676	0.3001922	0.5359971	0.4649080	0.7939147	0.1711482	0.3444451	0.7292549	0.7656614
800	0.6584951	0.5634422	0.2481469	0.5163045	0.4641376	0.8154551	0.1822900	0.4232778	0.7590856	0.7377808
850	0.6863832	0.4506471	0.2777055	0.4623899	0.4162108	0.7647901	0.1616411	0.4240279	0.7982687	0.9183149
900	0.6043870	0.5737417	0.3123620	0.4883094	0.3940459	0.5414182	0.1977928	0.3313638	0.6713481	0.7671260
950	0.7603779	0.6054266	0.3064715	0.4793523	0.4176163	0.8272527	0.1961217	0.3492496	0.6958197	0.8626971
1000	0.6339071	0.5410176	0.2807668	0.6312970	0.3918694	0.7030360	0.1939203	0.4426718	0.6557648	0.6971110

0	0.7788901	0.4423132	0.3190139	0.5009429	0.3686931	0.7588367	0.1719603	0.4242079	0.7590072	0.8867896
50	0.6625465	0.4227217	0.4379945	0.2107437	0.3767927	0.6740995	0.2575771	0.4115911	0.6477769	0.6992610
100	0.6804812	0.3890035	0.4929000	0.0748379	0.3345217	0.5409665	0.1980657	0.3411014	0.6306226	0.8247570
150	0.8144260	0.4333457	0.5280866	0.0751865	0.4030813	0.5402198	0.1487440	0.4052120	0.7853203	0.8141381
200	0.8944985	0.3518820	0.5757725	0.0694700	0.4303751	0.6291052	0.2302899	0.2656323	0.7521834	0.7688703
250	0.6408797	0.4767913	0.4996852	0.0445665	0.2534431	0.5311934	0.1734296	0.4774872	0.7295751	0.7090170
300	0.7301089	0.4112358	0.4559769	0.0532102	0.3187217	0.6733802	0.1688403	0.3756295	0.6552985	0.9165901
350	0.7325785	0.3475053	0.5006313	0.0693374	0.3059378	0.5256313	0.2356770	0.4815026	0.7221258	0.7178929
400	0.7149710	0.4298004	0.4690260	0.0403813	0.4145849	0.6296475	0.2126211	0.3665127	0.8477738	0.7902503
450	0.6564281	0.4150873	0.5628075	0.0516707	0.2933457	0.5806974	0.2356287	0.3498219	0.8513746	0.7395232
500	0.8363147	0.2809146	0.5242581	0.0811516	0.3944119	0.5339712	0.2080142	0.3155888	0.7908422	0.8332903
550	0.6787188	0.5135353	0.3112875	0.3496226	0.3359453	0.7202415	0.2454707	0.3742344	0.7586523	0.9034158
600	0.6841434	0.5311251	0.2093732	0.5468614	0.4029896	0.7763297	0.2207619	0.3538785	0.7307303	0.8690685
650	0.7452103	0.5153989	0.3072515	0.6181946	0.4695368	0.6726159	0.2116433	0.3884066	0.6183167	0.7785071
700	0.6688189	0.3997137	0.3453680	0.6250485	0.4486579	0.7892756	0.2122513	0.3248071	0.7297831	0.8976908
750	0.6370192	0.5882528	0.3003584	0.6059591	0.3649237	0.6891463	0.2288972	0.3913581	0.6651790	0.7548068
800	0.6768685	0.4374491	0.3094735	0.6284038	0.4825522	0.7176551	0.2348509	0.3864966	0.7352742	0.7805253
850	0.9066940	0.4981385	0.2959749	0.6497575	0.4474150	0.6103551	0.2100418	0.3206038	0.7445886	0.9641952
900	0.7973273	0.5259672	0.2625299	0.6808567	0.5624092	0.6908324	0.1720412	0.4412968	0.7269410	0.8318045
950	0.6349288	0.4520209	0.3322017	0.5504816	0.4509465	0.6258991	0.2551276	0.3510986	0.8170007	0.9067796
1000	0.6635367	0.3532877	0.2265508	0.6347383	0.2992014	0.7371046	0.1215884	0.3865338	0.8388267	0.7256033

0	0.7056171	0.4226569	0.3073056	0.6809170	0.3765440	0.8386778	0.1912736	0.2826969	0.8082804	0.8223039
50	0.7832999	0.3707783	0.4647044	0.3300003	0.3270916	0.6980177	0.4989848	0.4028762	0.7075117	0.6838452
100	0.5136378	0.3128517	0.4533280	0.1292557	0.3970601	0.5863152	0.6443568	0.4972041	0.7119167	0.6507633
150	0.5190162	0.2593006	0.3773666	0.1250167	0.3961066	0.5430273	0.5015210	0.5929417	0.7810128	0.7464999
200	0.3824120	0.1757032	0.5479997	0.1423989	0.4661008	0.3984674	0.5550694	0.5429473	0.7358486	0.6579705
250	0.3118388	0.1639460	0.5932050	0.1038112	0.3167189	0.4616324	0.5978285	0.6326661	0.6721035	0.6628749
300	0.2335920	0.1276980	0.4707121	0.0940126	0.4400510	0.4741336	0.5867030	0.5026130	0.6334594	0.4964340
350	0.2917905	0.1813831	0.4212520	0.1214045	0.4244203	0.6065217	0.5316395	0.5904888	0.7082948	0.6175625
400	0.2956367	0.2610300	0.3575195	0.0880595	0.3215916	0.5237397	0.7227264	0.4653709	0.6484682	0.7550658
450	0.3459533	0.2948721	0.4409906	0.1338730	0.3090817	0.4876879	0.5665784	0.4063936	0.5543495	0.6814160
500	0.3649253	0.2872465	0.4254346	0.1714005	0.2254951	0.4491969	0.5442883	0.5196148	0.5890306	0.6198989
550	0.4390766	0.3846239	0.2250160	0.4029402	0.3676169	0.4654330	0.2822044	0.5570800	0.7489328	0.7460144
600	0.4818035	0.2386064	0.1641813	0.7284576	0.2806978	0.5344030	0.1551138	0.4716250	0.8688820	0.7132403
650	0.5785376	0.4626420	0.1544400	0.7166842	0.2859531	0.6455111	0.1396248	0.4233171	0.6429818	0.7944805
700	0.5185019	0.4050613	0.2810761	0.5438556	0.4036970	0.6689574	0.1697293	0.3882603	0.6903761	0.7369728
750	0.6645968	0.6248086	0.2451247	0.6836409	0.4757894	0.7884372	0.1979943	0.3793115	0.7019173	0.7373169
800	0.6361341	0.4341349	0.3695217	0.4366455	0.4429623	0.6770339	0.1995429	0.3873600	0.7699573	0.7719295
850	0.8689517	0.3969103	0.2025131	0.6793960	0.5382528	0.7212059	0.1858527	0.3591311	0.7532359	0.8975932
900	0.5819667	0.4923745	0.2582271	0.5480369	0.4346625	0.7130778	0.2838481	0.5017101	0.8348132	0.7548801
950	0.6695809	0.5363721	0.3907464	0.5370452	0.4283560	0.7182878	0.2167250	0.3618484	0.9112652	0.8406879
1000	0.6789808	0.4983371	0.4962967	0.5798224	0.4046547	0.6918318	0.2331783	0.3779137	0.6777993	0.7099205

0	0.7739601	0.3833760	0.2248749	0.4993486	0.3765119	0.7063518	0.2358489	0.3284686	0.7649080	0.7839861
50	0.7518914	0.5347287	0.3024690	0.5653171	0.4639908	0.3828284	0.1821279	0.2879210	0.7653797	0.7614742
100	0.8756527	0.3860324	0.3369858	0.7123398	0.2620713	0.3000751	0.1887959	0.4197247	0.5777527	0.6653412
150	0.6663205	0.3918960	0.3246465	0.7358284	0.2930068	0.2917014	0.2295958	0.4122770	0.4905598	0.8477241
200	0.5958397	0.4713561	0.2432272	0.7953991	0.1931452	0.2714224	0.2148136	0.5172904	0.6709525	0.8097987
250	0.6738037	0.4472451	0.3052899	0.7588267	0.2139877	0.2239301	0.2309517	0.5293485	0.6498020	0.7640551
300	0.6555806	0.3935025	0.2396194	0.6604020	0.2173050	0.2851469	0.1734727	0.4418986	0.7553869	0.7778971
350	0.6602630	0.4595841	0.2646194	0.6600329	0.1661784	0.3782557	0.2499271	0.4426497	0.7024431	0.6977961
400	0.8134854	0.4865492	0.3471598	0.8433613	0.1891489	0.3172909	0.2101656	0.4489668	0.6765358	0.8093361
450	0.6245000	0.7082149	0.3151395	0.6847741	0.1611850	0.2792471	0.2724192	0.4025531	0.6183812	0.7531955
500	0.7782746	0.4461143	0.2613696	0.7408211	0.2082532	0.3019946	0.2333465	0.3540349	0.7540907	0.9252888
550	0.8165891	0.3769067	0.2825777	0.8470019	0.2286941	0.5578937	0.2126202	0.4513896	0.7318039	0.6693423
600	0.7646308	0.4513285	0.3330980	0.7440622	0.2808632	0.6035087	0.1807532	0.3347757	0.7342736	0.8715395
650	0.6131227	0.5532319	0.3362039	0.6585120	0.3108283	0.7007780	0.1856192	0.3774893	0.6793488	0.7809582
700	0.5946415	0.3808928	0.2976030	0.6331597	0.3732411	0.7717648	0.2169064	0.4398645	0.7294079	0.6042200
750	0.7573976	0.4728317	0.2864756	0.6322313	0.4349590	0.6537159	0.2042737	0.3182723	0.6870913	0.8657146
800	0.6304930	0.3902055	0.2739745	0.6284550	0.3822467	0.6983933	0.3087643	0.4169503	0.8853885	0.9760237
850	0.6481276	0.4896065	0.2983117	0.6435859	0.2382236	0.8693641	0.2349938	0.2564394	0.7424173	0.9424652
900	0.6613197	0.3839827	0.3223083	0.5999241	0.4492511	0.6398077	0.2585440	0.3462832	0.7628405	0.7818976
950	0.7088133	0.4562568	0.2964546	0.5962769	0.3561285	0.5729202	0.1915529	0.4363608	0.8194893	0.7058968
1000	0.6393741	0.3982832	0.3521108	0.6621404	0.3748641	0.6697236	0.1393692	0.3067564	0.7495479	0.8851378

0	0.6486740	0.4003576	0.2623072	0.4299746	0.3216404	0.7903856	0.2188715	0.3754009	0.7859921	0.8302834
50	0.6329010	0.1503875	0.6028577	0.6174354	0.3956816	0.7591927	0.2014786	0.6765850	0.6829037	0.4936217
100	0.4980675	0.0185205	0.6748033	0.5911849	0.4863887	0.6654239	0.1340321	0.7366718	0.7559457	0.5434150
150	0.2269190	0.0300429	0.7256772	0.5527181	0.2864082	0.7650989	0.0639432	0.7224349	0.7576137	0.5154803
200	0.1281582	0.0174517	0.7760169	0.6058701	0.3399039	0.9063479	0.0411114	0.7086540	0.5749083	0.6446892
250	0.1054538	0.0280956	0.5107285	0.6050913	0.5135556	0.8076352	0.0352327	0.9510487	0.5359449	0.4756771
300	0.0551122	0.0138847	0.5388328	0.6990108	0.4839527	0.7393505	0.0166386	0.7207660	0.6436755	0.6123855
350	0.0760238	0.0131809	0.8407332	0.5898242	0.3503195	0.9246748	0.0112234	0.6090853	0.5428892	0.4676888
400	0.0892973	0.0250466	0.6001520	0.5185804	0.3604707	0.8707841	0.0360490	0.8328150	0.5783136	0.5009403
450	0.0500242	0.0513814	0.7765609	0.6749011	0.4297693	0.8893166	0.0071340	0.7117562	0.6928502	0.5573489
500	0.0878047	0.0180058	0.7944832	0.5030758	0.4469656	0.9238375	0.0080796	0.7609346	0.5298594	0.6150327
550	0.1309520	0.2056828	0.4079034	0.4903762	0.4450275	0.8258034	0.0092000	0.3076456	0.5654009	0.6643551
600	0.2467879	0.5936360	0.5950745	0.5615997	0.3073209	0.8004617	0.0228078	0.2151187	0.7428158	0.8910220
650	0.5916423	0.6249601	0.3885140	0.5699630	0.4843430	0.7249437	0.1429169	0.3088482	0.5954736	0.8416004
700	0.7326644	0.5783433	0.3344982	0.5787318	0.3978014	0.6733538	0.3008024	0.2993397	0.8698133	0.8540312
750	0.7512105	0.4442144	0.4030550	0.6354951	0.3589765	0.7809510	0.2017769	0.3922168	0.8874912	0.7503116
800	0.7008823	0.5375601	0.3077448	0.6471092	0.4363512	0.5715476	0.2399670	0.3114953	0.7665710	0.6567806
850	0.6443841	0.3710531	0.2895559	0.7202222	0.4314495	0.7458380	0.2026108	0.4096402	0.8544664	0.7801507
