YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000000	0.0657112	0.4382730	0.7835278	0.9747000	0.0149773	0.8646558	0.9818718	0.7361001	0.5845123
0.0859108	0.0000000	0.4613739	0.7561624	0.9645517	0.0172710	0.8988325	1.1027502	0.6475612	0.6493992
0.1472931	0.0752835	0.0000000	0.8232018	0.9728333	0.0296405	0.8550684	0.6649889	0.3967777	0.8629191
0.1188104	0.0582392	1.0895501	0.0000000	0.9832232	0.0187683	0.9575125	0.9307714	0.7059620	0.6683492
0.1296758	0.0390414	0.3712483	1.0538069	0.0000000	0.0225563	1.0083649	0.8654768	0.5650746	0.7462087
0.1534002	0.0655234	0.4218867	0.7771922	1.0670630	0.0000000	0.9746693	0.9380823	0.7150256	0.5776552
0.1500255	0.0557486	0.4165309	0.8536741	1.0089032	1.0032827	0.0000000	0.9785440	0.6527546	0.6448032
0.1678741	0.0544461	0.4440058	0.7539517	0.9783941	1.0078422	0.0073448	0.0000000	0.6832832	0.6172384
0.1498283	0.0627499	0.4539058	0.7867564	0.9852171	1.0285675	0.0052491	0.0415740	0.0000000	1.0422983
0.2133779	0.0820685	0.8767323	0.1679250	1.1119875	0.0170836	0.9606400	0.9037649	0.5788189	0.0000000
