"Time"	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
1000	0.0193125	0.7487246	0.5041621	0.9999199	1.0000000	0.6446452	0.4920075	0.8752164	0.5818915	0.4410307

0	0.0194330	0.7484748	0.5041534	0.9999198	1.0000000	0.6448098	0.4921324	0.8752214	0.5819036	0.4410257
50	0.0194231	0.7484834	0.5041555	0.9999367	0.7136094	0.6498207	0.4857508	0.8752943	0.5845304	0.4038221
100	0.0194188	0.7484875	0.5041578	0.9998720	0.4595883	0.6851273	0.4817029	0.8764893	0.5984192	0.3699339
150	0.0194169	0.7484879	0.5041031	0.9993988	0.3511292	0.7411143	0.4927380	0.8794151	0.6169468	0.3544950
200	0.0194162	0.7484694	0.5038435	0.9982800	0.3128603	0.7795274	0.5175291	0.8827375	0.6318046	0.3482057
250	0.0194167	0.7483966	0.5032930	0.9969545	0.3005066	0.7964270	0.5441214	0.8853333	0.6412388	0.3454975
300	0.0194191	0.7482437	0.5025924	0.9959364	0.2967174	0.8020210	0.5642665	0.8869998	0.6466154	0.3441785
350	0.0194245	0.7480289	0.5019586	0.9953328	0.2955928	0.8033297	0.5766385	0.8879660	0.6495529	0.3434700
400	0.0194328	0.7478013	0.5015036	0.9950272	0.2952664	0.8033957	0.5832108	0.8885000	0.6511408	0.3430736
450	0.0194426	0.7476044	0.5012253	0.9948872	0.2951733	0.8032429	0.5863322	0.8887900	0.6519994	0.3428509
500	0.0194522	0.7474581	0.5010736	0.9948271	0.2951470	0.8031256	0.5876798	0.8889467	0.6524639	0.3427269
550	0.0194605	0.7473542	0.5007217	0.9932342	0.5815302	0.7755786	0.5939287	0.8889593	0.6496294	0.3795638
600	0.0194673	0.7472312	0.5005337	0.9958968	0.8355493	0.6808322	0.5873226	0.8878735	0.6344331	0.4131465
650	0.0194734	0.7471820	0.5013691	0.9980836	0.9440079	0.6250868	0.5543402	0.8850979	0.6153657	0.4284766
700	0.0194766	0.7473337	0.5024592	0.9991658	0.9822766	0.6169911	0.5164144	0.8818207	0.6008621	0.4347969
