YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.5551701	0.3249116	0.2319956	0.2701448	0.8215072	0.0002035	0.3937703	0.1305628	0.1012418	0.6017654
0.4040560	0.4225170	0.3232083	0.1348262	0.6234803	0.0137622	0.6711011	0.0721221	0.0334356	0.5902570
0.4608870	0.3999354	0.6022050	0.1137212	0.6667185	0.0360538	0.3778307	0.0025935	0.0183501	0.7055596
0.5334833	0.6044579	0.6676609	0.1053448	0.9275451	0.0022302	0.8855341	0.0002059	0.0070921	0.7458619
0.5989743	0.5552521	0.6220034	0.1053205	0.5372337	0.0037799	0.2154477	0.5330554	0.0354019	0.7184123
0.2855044	0.5551134	0.7915569	0.1082360	0.7612401	0.0006628	0.7545823	0.0012618	0.0152850	0.7477874
0.4551436	0.6480734	0.6331009	0.1789892	0.7602192	0.0026455	0.4328597	0.0003350	0.0238029	0.3878758
0.4595796	0.7428166	0.6847007	0.1149685	0.8791546	0.0399002	0.7006286	0.0019357	0.0028088	0.7772123
0.5875546	0.6083202	0.5921307	0.0328922	0.6976995	0.0009706	0.6583990	0.1581195	0.0035432	0.3528733
0.1303506	0.0072641	0.1004603	0.4663215	0.1247306	0.1536451	0.0987524	0.6655705	0.7978006	0.7820812
