YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.9410859	0.9345528	0.7694551	0.6290778	0.4510183	0.0711618	0.9143373	0.8791008	0.2758790	1.0000000
0.9302057	0.8090043	0.5164588	0.1630716	0.0286480	0.0447012	0.7793176	0.3619090	0.6258867	0.5250630
0.9886015	0.9061555	0.5663718	0.3253161	0.2587845	0.1025683	0.7610898	0.9361698	0.3402222	1.0000000
0.9900125	0.9617354	0.7733235	0.8099603	0.6007612	0.1118567	0.6966680	0.9061617	0.3673424	1.0000000
0.9372730	0.8768878	0.3426081	0.1260992	0.0569193	0.0163206	0.9708959	0.9071448	0.3670812	0.4847944
0.9372187	0.8768479	0.3782823	0.1287920	0.1561991	0.0851250	0.9631340	0.8269560	0.3831669	1.0000000
0.9426384	0.9638718	0.8175732	0.9090023	0.7267411	0.0886884	0.9075607	0.9061219	0.3670928	1.0000000
0.9269725	0.5933561	0.1577512	0.0544618	0.1049808	0.0837827	0.9868787	0.8331284	0.3846461	0.7626971
0.9429157	0.9690540	0.8651712	0.9272490	0.8704421	0.3961513	0.2711401	0.7989473	0.3425241	0.8476053
0.9830582	0.8545936	0.7425408	0.6881972	0.5105368	0.2048752	0.4318533	0.5913274	0.3884201	1.0000000
