YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.7896888	0.1326215	0.0027844	0.7893549	0.6854203	0.3417124	0.9734834	0.9826304	0.9106304	0.8161103
0.2992614	0.4975403	0.0009478	0.9356777	0.7352084	0.4455203	0.8326593	0.9713135	0.9530386	0.9985847
0.6728032	0.0001830	0.0064912	0.6560427	0.8257035	0.2093726	0.8569129	0.7905460	0.9950464	0.7542111
0.3694561	0.2949286	0.0075789	0.5963548	0.6950624	0.5300705	0.8092993	1.0506872	0.9119854	0.9612658
0.2983224	0.2788936	0.0052584	0.8762763	0.7412702	0.0019277	0.0925378	0.2136447	0.9512913	0.6990774
0.5131451	0.0188266	0.0050883	1.0088645	1.0103527	0.2830132	1.0320989	1.0004050	0.9729805	0.9421065
1.0560022	0.0002616	0.0056771	1.0333119	1.0182436	1.0093277	0.8435380	0.7520502	1.0272496	0.9167260
0.4818559	0.3509632	0.0005115	1.1080623	0.8780358	0.3026666	0.8710993	1.0579156	1.0561323	0.9970093
0.7813753	0.0000039	0.0001819	0.7791958	1.0584987	0.3349692	0.9393794	1.0142179	0.9469974	1.0211828
0.8719709	0.0032784	0.0001556	0.8816894	0.9813538	0.4886496	1.0200560	1.0581557	1.0039702	0.8694768
