YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.2488937	0.2298459	0.5991422	0.5668423	0.7216821	0.2685510	0.2667505	0.5912544	0.0688518	0.7154012
0.2704546	0.1930985	0.7026884	0.1236400	0.2659867	0.6953702	0.0768471	0.5793862	0.1042005	0.4731620
0.2593401	0.2690796	0.8070934	0.5462891	0.6034652	0.3832426	0.2562331	0.5189649	0.0565509	0.8788678
0.2157946	0.1921358	0.6457217	0.4717788	0.4637437	0.4313459	0.2631490	0.3600423	0.1332298	0.5288719
0.4134042	0.4131406	0.3576916	0.3032773	0.3394607	0.5133949	0.2182312	0.7740418	0.0326680	0.6278493
0.0092709	0.1363888	0.6515926	0.1731796	0.5147180	0.5696399	0.2464855	0.5285512	0.1027125	0.7351464
0.0365404	0.2711074	0.7837202	0.5827561	0.4789292	0.6309126	0.0900145	0.6900962	0.1030487	0.6138072
0.3241721	0.2248936	0.7136217	0.3017447	0.4200546	0.4634106	0.2269879	0.7075239	0.0877708	0.4862778
0.1288128	0.1658332	0.7939247	0.3960615	0.3371325	0.4705188	0.1654389	0.5432747	0.0473276	0.6827542
0.0378496	0.2457328	0.5284549	0.1110688	0.2533622	0.4698668	0.2465351	0.8473720	0.0701545	0.3712662
