"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.6392966	0.4918053	0.7590106	0.5827943	0.6977518	0.1574159	0.1035747	1.0000000	0.9502397	1.0000000
50	0.6393391	0.4917555	0.7590169	0.5831384	0.6980696	0.1529005	0.0695688	0.5498335	0.9504481	1.0000000
100	0.6394293	0.4917331	0.7590689	0.5831275	0.6988860	0.1294423	0.0415758	0.2663509	0.9505884	1.0000000
150	0.6394958	0.4917379	0.7591004	0.5826901	0.7001417	0.1023225	0.0443236	0.1842861	0.9505518	1.0000000
200	0.6395143	0.4917480	0.7590606	0.5819185	0.7010128	0.0891662	0.0592391	0.1647036	0.9502988	1.0000000
250	0.6395112	0.4917369	0.7589368	0.5812049	0.7009893	0.0909823	0.0711407	0.1604237	0.9499087	1.0000000
300	0.6395377	0.4916894	0.7587711	0.5809093	0.7003475	0.1000660	0.0777248	0.1595332	0.9495723	1.0000000
350	0.6396325	0.4916130	0.7586335	0.5810669	0.6996479	0.1096532	0.0808184	0.1593535	0.9494409	1.0000000
400	0.6397945	0.4915332	0.7585721	0.5814518	0.6992572	0.1168503	0.0821509	0.1593180	0.9495201	1.0000000
450	0.6399818	0.4914767	0.7585880	0.5818028	0.6992123	0.1213865	0.0826968	0.1593111	0.9497029	1.0000000
500	0.6401383	0.4914560	0.7586473	0.5819866	0.6993412	0.1239487	0.0829139	0.1593097	0.9498706	1.0000000
550	0.6402259	0.4914661	0.7587102	0.5820197	0.6993772	0.1469330	0.1978098	0.6094759	0.9499632	1.0000000
600	0.6402399	0.4914919	0.7587556	0.5821471	0.6977082	0.2150074	0.1862194	0.8929585	0.9500007	1.0000000
650	0.6402023	0.4915208	0.7588154	0.5832985	0.6930146	0.2491667	0.1476485	0.9750233	0.9501981	1.0000000
700	0.6401365	0.4915624	0.7590192	0.5859375	0.6897046	0.2403235	0.1235390	0.9946058	0.9509793	1.0000000
750	0.6400256	0.4916620	0.7594675	0.5883260	0.6915207	0.2153435	0.1119544	0.9988857	0.9522597	1.0000000
800	0.6397907	0.4918613	0.7600160	0.5884321	0.6963058	0.1922881	0.1069505	0.9997762	0.9531959	1.0000000
850	0.6393556	0.4921276	0.7603520	0.5863536	0.6999856	0.1764751	0.1049030	0.9999559	0.9531089	1.0000000
900	0.6387646	0.4923514	0.7602915	0.5838188	0.7007797	0.1671546	0.1040902	0.9999914	0.9521424	1.0000000
950	0.6382081	0.4924298	0.7599240	0.5823233	0.6995786	0.1621529	0.1037731	0.9999983	0.9510074	1.0000000
1000	0.6379035	0.4923454	0.7594957	0.5821514	0.6981556	0.1596351	0.1036507	0.9999997	0.9503234	1.0000000

0	0.6392966	0.4918053	0.7590106	0.5827943	0.6977518	0.1574159	0.1035747	1.0000000	0.9502397	1.0000000
