"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.1545893	0.7271096	0.4303381	0.3443710	0.5608523	0.7775584	0.2023719	0.4524735	0.8385651	0.7708639
50	0.1353042	0.7368605	0.4471520	0.2617162	0.6320455	0.9408145	0.2019115	0.2792477	0.7326397	0.5518254
100	0.1077714	0.6822767	0.2999640	0.1908755	0.5769312	0.7588512	0.1845856	0.4266889	0.7438025	0.3133167
150	0.1632170	0.8945195	0.3090629	0.2037776	0.6205777	0.6790773	0.1472244	0.3768755	0.6780576	0.2203145
200	0.1555832	0.7158502	0.3654685	0.1998503	0.6087207	0.8327464	0.1580591	0.5249464	0.7434221	0.1457525
250	0.0979392	0.8427874	0.2296622	0.2098041	0.8359664	0.6757721	0.1546084	0.4154321	0.6693905	0.1517567
300	0.0879273	0.6556422	0.3021351	0.2528558	0.7388174	0.7457317	0.1338749	0.3330418	0.8561355	0.0951742
350	0.1588352	0.7551725	0.1805069	0.1034293	0.7961974	0.7979723	0.0649661	0.3129288	0.6855800	0.1282794
400	0.1256277	0.6356757	0.1711929	0.1600901	0.6976842	0.6690881	0.1652328	0.2823324	0.7412962	0.0919037
450	0.0640537	0.8041406	0.2126498	0.1724561	0.7791007	0.7313993	0.1796564	0.3932739	0.7470404	0.0749891
500	0.1068325	0.7564585	0.1212587	0.1710958	0.7832007	0.7687678	0.1348769	0.3371674	0.6870770	0.1230916
550	0.1461847	0.6847346	0.1253975	0.2038169	0.6031805	0.4136285	0.1422418	0.4865325	0.5791710	0.2471707
600	0.1845247	0.5977403	0.1568559	0.1917767	0.4352952	0.3700359	0.1107697	0.3968130	0.6740115	0.6350878
650	0.2599182	0.7137482	0.2302688	0.5048562	0.2208201	0.4745041	0.1763850	0.2853617	0.7000356	0.6324709
700	0.2239942	0.5859287	0.4329089	0.5942820	0.2972925	0.6243137	0.2021849	0.3399011	0.7367335	0.7667244
750	0.1273442	0.6255516	0.5707049	0.4936893	0.3073178	0.7623959	0.2182403	0.3281503	0.7590223	0.7172875
800	0.1998347	0.6960313	0.7172156	0.4267150	0.4413965	0.6053945	0.1684670	0.3094934	0.7269889	0.7417973
850	0.1637631	0.7098423	0.7107258	0.4308283	0.3382211	0.7224276	0.1496067	0.2720087	0.7442441	0.6280174
900	0.1303233	0.7125142	0.7329050	0.4141701	0.4561889	0.6066301	0.2271065	0.2788551	0.7142174	0.5903787
950	0.1100790	0.6302382	0.6339118	0.3641802	0.5298318	0.6789357	0.2248174	0.3771391	0.7249396	0.7657457
