YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.7345572	0.5022414	0.4339726	0.7642421	0.4760202	0.9340104	0.1990753	0.5443753	0.8624872	1.0000000
0.8025675	0.5984886	0.3386058	0.6087435	0.5595338	0.8314148	0.3748747	0.4925010	0.8703049	0.8811172
0.3931480	0.2869514	0.3336301	0.5928874	0.5529825	0.9502844	0.1657998	0.5466590	0.9494590	1.0000000
0.8953307	0.5418348	0.4053611	0.7921241	0.4301886	0.8253426	0.3841786	0.5192944	0.9572463	1.0000000
0.8780292	0.5202381	0.5735315	0.6407922	0.4461803	0.8618686	0.3252505	0.4964902	0.9543883	0.8612948
0.8968268	0.6075524	0.4631787	0.7746037	0.4581383	0.8896545	0.2791040	0.4479789	0.8471965	0.9371553
0.2145012	0.2320774	0.4777771	0.8095380	0.2867119	0.5433886	0.6202607	0.3649627	0.3561569	0.2749887
0.9434080	0.6436865	0.3542356	0.5144377	0.6718655	0.8905686	0.2772386	0.4502273	0.8575834	0.9782777
0.8405147	0.6928132	0.2216133	0.4258628	0.2884567	0.4895300	0.2690110	0.4577023	0.8962454	0.8659127
0.7866840	0.5698756	0.4901151	0.4556202	0.2989455	0.5646306	0.2723511	0.4739957	0.8070529	0.8214035
