YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.7200775	0.1176642	0.7356593	0.7288062	0.0012361	0.1369107	0.0617496	0.0970471	0.6638911	0.0842263
0.6914472	0.5639160	0.6738937	0.4734238	0.2265245	0.5332971	0.3844043	0.5754980	0.3625182	0.5714527
0.6699583	0.6300902	0.7205823	0.7766498	0.0272344	0.2153732	0.0214840	0.2104525	0.5790341	0.6152392
0.6922507	0.7829446	0.7770388	0.7401388	0.2376831	0.0009039	0.0041052	0.1777405	0.6693475	0.7429840
0.6633807	0.6889422	0.8063092	0.5820415	0.1877915	0.3193517	0.1275197	0.2100006	0.5638139	0.6258952
0.7642344	0.5842571	0.6589661	0.5177965	0.3307348	0.1843939	0.1208203	0.2823788	0.5604748	0.6954025
0.6253258	0.6750800	0.6965376	0.7991648	0.0214330	0.1614829	0.0333970	0.2254788	0.5955190	0.6283382
0.6437220	0.6884784	0.7192861	0.7079568	0.0481601	0.0224519	0.0408237	0.2701998	0.4467405	0.5984844
0.6124148	0.6382290	0.7668574	0.6008454	0.0030451	0.0868236	0.0127777	0.2283347	0.6415999	0.7128831
0.7036264	0.6762582	0.6759876	0.5165510	0.1286623	0.2552390	0.1580447	0.2889691	0.6393956	0.4506267
