YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.4968326	0.9059664	0.7458218	0.3575350	0.3002996	0.4326731	0.4220968	0.4837358	0.2573959	0.9269203
0.5793193	0.9948692	0.3189042	0.0923158	0.6353388	0.8369204	0.4717722	1.0064673	0.4667552	0.8254951
0.0827241	0.9120200	0.7205625	0.2504911	0.3896821	0.6056262	0.5037691	0.9599607	0.5237430	0.7457772
0.0151738	1.0564942	0.8238644	0.2736504	0.4011295	0.6622496	0.5329204	0.8882876	0.6429006	1.0531821
0.5743315	0.9561244	0.8112777	0.2648658	0.3614582	0.6138523	0.5213382	0.7055268	0.4178621	0.5031215
0.4959204	1.0702077	0.4490138	0.0489396	0.7292348	0.5294067	0.5208189	0.7674882	0.5215395	1.0746366
0.3660901	0.9766961	0.5886078	0.1318700	0.5767205	0.7399674	0.5339311	0.8407636	0.7023917	0.9700177
0.3369600	1.0621458	0.2829371	0.0823941	0.6711730	0.7203936	0.5512502	0.9220558	0.6081083	0.9894829
0.1012432	0.9315284	0.7951513	0.1683880	0.4132711	0.6521315	0.5019286	1.0598526	0.5061333	0.7594199
0.2184894	0.9892822	0.5709324	0.1297412	0.5321490	0.6344882	0.6146499	0.9203588	0.4705597	0.6040832
