YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0000000	0.3168108	0.9311605	0.2938756	0.4859705	0.6227948	1.0153861	0.0177299	0.2115042	0.5736385
0.0254923	0.0000000	0.9234213	0.2879991	0.5880646	0.7011116	0.9637504	0.0323969	0.1756468	0.5399811
0.0447846	0.3613519	0.0000000	0.2250297	0.5743593	0.6729201	1.0211626	0.0318954	0.1483662	0.6013661
0.0703175	0.3082377	1.0464654	0.0000000	0.5313950	0.7030323	0.9894260	0.0403154	0.2637280	0.5709543
0.0712481	0.2997601	0.4747139	1.0195068	0.0000000	0.6706019	1.0734465	0.0314413	0.2393374	0.6580344
0.0584576	0.3325136	1.0744851	0.1640337	0.9843499	0.0000000	1.0606201	0.0263766	0.2082361	0.6328065
0.0949394	0.3940491	0.9647845	0.1541025	0.9074758	0.1289541	0.0000000	0.0310387	0.1150026	0.0839130
0.0779238	0.3408776	1.0502364	0.2616641	0.5533743	0.6972290	0.9401921	0.0000000	0.2358365	0.5923798
0.0869168	0.3307056	0.9082557	0.3072826	0.4324658	0.7163598	1.0152498	0.0248362	0.0000000	0.6108939
0.1025868	0.4556123	0.9155601	0.3836520	0.4787923	0.6071760	0.9922161	0.0121703	0.1464606	0.0000000
