YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.1731484	0.4467969	0.3334031	0.5748488	0.8980066	0.0895217	0.2971717	0.0560627	0.0655864	1.0206407
0.4155110	0.4544599	0.0263731	0.1889345	0.8366112	0.1319936	0.0744631	0.0532816	0.0449239	0.9333038
0.2752038	0.8553751	0.1084533	0.4300758	0.8740451	0.1424296	0.1095393	0.0644071	0.0597669	0.9658416
0.2338293	0.9860193	0.0498218	0.2258309	0.8239839	0.1231654	0.0736914	0.0850681	0.1089507	1.0718138
0.4005310	0.7001543	0.2139207	0.3322019	0.3990821	0.1721058	0.2348973	0.0481075	0.0565646	0.9540953
0.2458041	0.6106598	0.3400871	0.4924191	0.9965913	0.0698812	0.1537813	0.0801085	0.0573402	1.0014563
0.2630348	0.8593339	0.1181608	0.3775334	0.8728025	0.1807655	0.0555984	0.0915517	0.0559286	1.0632224
0.2447920	0.8517503	0.1626196	0.4429017	0.9319394	0.1061534	0.1006493	0.0323414	0.0499209	1.0611000
0.2447430	0.8402851	0.1304796	0.3617617	0.9442595	0.1032336	0.0682869	0.0460572	0.0304991	0.9644355
0.3224047	0.8046951	0.1134948	0.3215724	0.7050143	0.2551510	0.1235488	0.0944492	0.2654841	0.5258098
