YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.0699527	0.7418091	0.2151638	0.3298112	0.0597011	0.2814324	0.1915288	0.4185758	0.7044115	0.7817432
0.4796995	0.3727939	0.2456085	0.2619965	0.1353736	0.2464281	0.1178217	0.4453241	0.6600942	0.6841692
0.1891913	0.7586884	0.1153505	0.3442410	0.0468582	0.3386464	0.2369335	0.4365768	0.7668252	0.7437262
0.1790860	0.7520749	0.4215579	0.1545462	0.0476548	0.2412416	0.1957640	0.4964972	0.6841410	0.6509072
0.1565630	0.7536964	0.1943961	0.3916859	0.0313090	0.2513258	0.2139337	0.4313002	0.6155049	0.7831307
0.1953795	0.8045991	0.4436340	0.2290475	0.0247265	0.1741394	0.1759896	0.4413076	0.7163820	0.8258948
0.1538044	0.7097301	0.0735543	0.4438579	0.2175457	0.6853641	0.0703607	0.5812485	0.6885591	0.8494598
0.1680303	0.8184310	0.3023409	0.2061225	0.0560526	0.2880347	0.1407567	0.2551868	0.7556358	0.7715032
0.1553050	0.7761692	0.1810941	0.2618231	0.0473676	0.2243400	0.2720023	0.6963479	0.3443255	0.9412941
0.1614447	0.8256941	0.1568289	0.3686679	0.0598766	0.3806715	0.1478659	0.6162726	0.6414740	0.4720450
