YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0000000	0.3467204	0.5358131	0.4707095	0.7174445	0.1023862	0.1490872	0.0649519	0.0810720	0.3053536
0.0559207	0.0000000	0.5090828	0.3953659	0.7583851	0.1200526	0.0987049	0.0457601	0.0255555	0.2932765
0.0925343	0.0231092	0.0000000	0.3762998	0.8764032	0.1365202	0.1301613	0.0935785	0.1750866	0.2667924
0.0688703	0.0169087	0.0911810	0.0000000	0.7825617	0.1127428	0.0905715	0.0911414	0.0084580	0.0386008
0.4884391	0.8354706	0.8343693	0.7785786	0.0000000	0.2723434	0.2436931	0.4721277	0.5337758	0.7187669
0.0665085	0.2890599	0.4931271	0.4106903	0.6610785	0.0000000	0.0824231	0.0461450	0.0597412	0.2195410
0.0960627	0.2502503	0.5309007	0.3883768	0.7534224	0.1021883	0.0000000	0.0723883	0.0844973	0.1315640
0.1802996	0.3341073	0.5995913	0.5328280	0.6743910	0.0657221	0.1026301	0.0000000	0.0877499	0.1575140
0.1102679	0.5962155	0.5697833	0.6752150	0.7621763	0.1256910	0.1416903	0.0858862	0.0000000	0.2048560
0.1116782	0.3902791	0.4993416	0.5362888	0.6935004	0.1069110	0.1008528	0.0307091	0.0018095	0.0000000
