YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.9652292	0.4316674	0.3268594	0.7620664	0.3204698	0.7279821	0.4729896	0.0403332	0.2902693	0.4212016
0.9630513	0.4365227	0.3195216	0.6218934	0.5987931	0.5340734	0.6693481	0.4707646	0.5667167	0.6052667
0.9631229	0.4249083	0.3432347	0.7436285	0.7249783	0.4104740	0.7903139	0.0307383	0.3063951	0.7076917
0.9474406	0.3635454	0.5215112	0.3145250	0.4727606	0.5299982	0.9651684	0.0740544	0.5240721	0.6085071
0.9335195	0.4202337	0.3897527	0.6956334	0.2132482	0.8469939	0.4665144	0.1506904	0.2834295	0.4298937
0.9171552	0.3781415	0.5271311	0.3672671	0.3156533	0.7143055	0.4342697	0.2921434	0.6644216	0.1705286
0.9442872	0.4603003	0.1990655	0.7872951	0.4376844	0.6609246	0.7413271	0.0814395	0.3060038	0.5207167
0.8721914	0.3114996	0.2573137	0.8554036	0.2534590	0.7369808	0.5176394	0.0011319	0.2167521	0.4791894
0.9235154	0.3420337	0.4964099	0.6030251	0.9089525	0.3313549	0.8669075	0.0017055	0.2363910	0.7814865
0.7822528	0.2464487	0.6532233	0.4883210	0.4175524	0.6328700	0.7860693	0.3400300	0.4028660	0.5375219
