"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W

0	0.4550697	0.4108185	0.8666485	0.7317779	1.0824281	0.1545193	0.9080413	0.9372286	1.0409799	0.1022351
50	0.3840123	0.4398699	0.8148203	0.6875837	1.0212650	0.1129654	0.9236913	1.0113886	0.8409048	0.1276836
100	0.3465713	0.3971447	0.8120730	0.6418007	1.0158709	0.1243072	0.8361625	0.9382017	0.7774914	0.1244800
150	0.4194320	0.4403579	0.7945980	0.6492032	1.0660523	0.1103214	0.9757502	0.9707479	0.7809162	0.1117374
200	0.3929305	0.4332407	0.7793223	0.6968990	1.0253846	0.0980491	0.9709974	0.8851028	0.6935160	0.1159519
250	0.4015454	0.4028824	0.6617121	0.7288552	0.9566965	0.0505243	0.9770843	0.8811651	0.7324148	0.1131706
300	0.3939133	0.4838097	0.7124262	0.7072030	1.0471411	0.1073967	1.0155660	0.9027715	0.7686152	0.0925004
350	0.3890493	0.4731468	0.7680469	0.7415805	1.0185224	0.0985187	1.0199698	0.9498401	0.6563444	0.0876415
400	0.3611935	0.4728907	0.9059405	0.7263582	0.9788907	0.0971668	1.0031740	0.9652748	0.6515013	0.0781534
450	0.3329509	0.3559413	0.7959724	0.7212413	1.0115552	0.0976833	0.9629700	1.0815813	0.6369814	0.0675928
500	0.3653188	0.3521321	0.7811811	0.7453756	1.1248292	0.1081581	0.9393083	1.0204613	0.7187846	0.0496011
550	0.4621183	0.3236842	0.8138908	0.7491749	1.0833333	0.1218833	0.9840527	1.0247263	0.7943093	0.0501237
600	0.5478779	0.3363929	0.8161123	0.7505885	0.9704160	0.1324139	0.9856981	0.9973034	0.8716685	0.0672567
650	0.5611816	0.3621058	0.8031382	0.7172431	1.0056872	0.1569754	0.9293333	1.0223456	0.9710745	0.0673335
700	0.5663656	0.4018940	0.8346248	0.6526888	0.9366742	0.2044415	0.8507941	1.0410863	0.9262031	0.0701403
750	0.5133600	0.3552731	0.9688520	0.6062173	0.9799609	0.2041977	0.9216720	1.0075464	0.9252314	0.0873837
800	0.4440498	0.3238210	0.9128664	0.5825261	1.0263024	0.1691983	0.9609244	1.0010401	0.9675369	0.0921704
850	0.5203257	0.3427780	0.8115011	0.7121530	0.9367736	0.1425716	1.0515096	1.0143157	1.0108935	0.0719033
900	0.5698895	0.3409070	0.8743401	0.7659441	0.9084450	0.1364452	0.9730318	0.9855764	0.9872821	0.0695151
950	0.4763195	0.3167430	0.7861311	0.6714292	0.9114157	0.1000611	1.0670884	1.0082439	0.9987125	0.0783708
1000	0.4938834	0.3975823	0.8956345	0.6806889	1.0162989	0.1334201	1.0716035	1.0022536	0.9895767	0.1047476

0	0.4550697	0.4108185	0.8666485	0.7317779	1.0824281	0.1545193	0.9080413	0.9372286	1.0409799	0.1022351
50	0.5616056	0.3081395	0.7790806	0.7060300	0.7973780	0.1824927	1.0091738	0.9587405	0.8680532	0.0833363
100	0.7127271	0.3880422	0.7169962	0.5989662	0.3998319	0.1864410	1.0336890	0.9794412	0.6557840	0.1439061
150	0.7132025	0.4744612	0.6567131	0.4361518	0.2432833	0.1872504	1.1265625	0.9608838	0.5684752	0.1935392
200	0.7395657	0.5381015	0.5500243	0.2696403	0.1108279	0.2164744	1.0154992	0.9183173	0.5285738	0.3439828
250	0.6798201	0.7170677	0.3312910	0.1460682	0.0754936	0.3128303	1.0032352	0.9547318	0.4565509	0.5891622
300	0.6106812	0.8522632	0.1580952	0.0730652	0.0343238	0.3608254	0.9631697	0.9201120	0.3841748	0.7879210
350	0.6124012	0.8396913	0.0654452	0.0285896	0.0291116	0.5504739	0.8338713	0.8127542	0.4572206	0.8424630
400	0.5194118	0.8914819	0.0341826	0.0165924	0.0070910	0.7059554	0.8939872	0.8613277	0.4521101	0.9491414
450	0.5204043	0.9831696	0.0151119	0.0052201	0.0136719	0.6814576	0.9901661	0.8921950	0.3686787	1.0163088
500	0.5710068	1.0016975	0.0127155	0.0002032	0.0150527	0.6447180	0.8808117	0.8025329	0.3171169	0.9428001
550	0.4146360	1.0108859	0.0220743	0.0236589	0.1859989	0.6522095	0.8251123	0.6806039	0.5298811	0.9494645
600	0.2966840	1.0280926	0.0247760	0.1653395	0.5565778	0.5294312	0.8508215	0.9037570	0.6453983	0.6982729
650	0.2377894	0.9660248	0.2135627	0.3377593	0.7799586	0.3187183	0.8702088	0.9968666	0.8981462	0.4500621
700	0.2186102	0.9583916	0.5331643	0.5243641	0.8996528	0.1785346	0.9046439	0.9412125	0.8792627	0.2287277
750	0.2002143	0.9225315	0.7220233	0.5533826	0.8990873	0.1874854	0.9590358	0.9332629	0.9840323	0.1328705
800	0.1414484	0.7668386	0.7320119	0.5993828	0.9859834	0.1732935	1.0315846	0.9176680	0.9668595	0.1045373
850	0.1767288	0.5518140	0.7514548	0.7166871	0.9929763	0.1608015	0.9807689	0.9544184	1.0567085	0.0879795
900	0.1840319	0.5390471	0.7448971	0.6377719	1.0415975	0.1243158	0.9571520	0.9149828	1.0009036	0.0940087
950	0.2399073	0.4888912	0.9373667	0.7496231	0.9772805	0.1313088	0.9382764	1.0242110	0.9790482	0.0752466
1000	0.2422101	0.4335836	0.8246622	0.6519257	0.9760757	0.1726700	0.9350850	1.0841319	1.0119116	0.0824895

0	0.4550697	0.4108185	0.8666485	0.7317779	1.0824281	0.1545193	0.9080413	0.9372286	1.0409799	0.1022351
50	0.5240079	0.2853820	0.8794012	0.8612449	1.1583249	0.0924079	1.0054415	0.9082437	0.7808608	0.0783760
100	0.4494587	0.3009669	0.8769734	0.8171476	1.0914414	0.0363486	1.0130313	0.9279062	0.4940034	0.0755330
150	0.4578557	0.2836879	0.9248457	0.7979965	1.0632007	0.0138384	0.9735969	0.9118457	0.3916707	0.0849792
200	0.4607917	0.2423220	0.9185941	0.8382916	1.0241873	0.0023685	0.9435348	0.7484611	0.2987309	0.0911108
250	0.4130099	0.2487891	0.8729545	0.8377195	1.0499633	0.0032527	0.9664227	0.6716870	0.2485628	0.1025793
300	0.5242995	0.2424864	0.8042195	0.8067905	1.1052159	0.0061867	0.9683834	0.5064529	0.2226874	0.0758279
350	0.5273446	0.2950782	0.8020018	0.7946679	0.9702081	0.0057054	0.9479424	0.3128429	0.1990668	0.0891330
400	0.5116744	0.3401026	0.7714056	0.7296767	0.9687199	0.0018374	0.8200294	0.2582336	0.1850799	0.0799813
450	0.4106079	0.3851428	0.8770771	0.7987297	1.0213676	0.0057175	0.7034655	0.1958222	0.2446636	0.0888666
500	0.3373787	0.3707023	0.8571752	0.7040196	1.0381708	0.0052533	0.6631647	0.1943760	0.2064207	0.0985992
550	0.3298106	0.3992151	0.8538168	0.8658099	0.9654122	0.1090252	0.6246823	0.1928044	0.3384287	0.0993023
600	0.3128933	0.3161804	0.8271259	0.7553211	0.9725079	0.2261293	0.6001506	0.4789300	0.6323546	0.0767924
650	0.2879107	0.3583439	0.8188485	0.6830572	0.9894863	0.3006488	0.7349467	0.6813666	0.7763834	0.0876024
700	0.3536879	0.4002946	0.8220994	0.6845068	1.0294943	0.3038149	0.8679816	0.8672808	0.8792182	0.0917193
750	0.4245893	0.3526310	0.7982206	0.7456632	1.0425887	0.2073564	0.9966053	0.9500834	1.0162662	0.0893190
800	0.4093883	0.3863635	0.9028549	0.6808413	0.9770329	0.1891450	1.1054308	0.8912571	0.9821122	0.0765373
850	0.3802789	0.4218263	0.8052710	0.6753698	1.0175086	0.1443421	1.1205937	1.0410086	0.9854842	0.0576543
900	0.4392217	0.4047271	0.8493974	0.6687639	1.0503577	0.1420853	1.0337836	0.9746737	0.9531659	0.0805529
950	0.4330738	0.4246808	0.8530157	0.6299076	1.0205869	0.1469570	1.0319054	0.9974522	0.9750771	0.0942009
1000	0.4419548	0.4714047	0.7361347	0.7358275	0.9557675	0.1534066	1.0707847	1.0018307	1.0061921	0.0837973

0	0.4550697	0.4108185	0.8666485	0.7317779	1.0824281	0.1545193	0.9080413	0.9372286	1.0409799	0.1022351
50	0.5338528	0.2921959	0.8402616	0.6731412	0.9367471	0.1301105	1.0245899	1.0485053	1.0052159	0.0856848
100	0.5897818	0.2985742	0.9091143	0.8330446	0.9160743	0.1457455	0.9907298	1.0770601	1.0228572	0.0777791
150	0.6433166	0.3205844	0.9551863	0.9722587	0.8760639	0.1280018	1.0046433	0.9864506	1.0527077	0.0835511
200	0.6882082	0.3220929	1.0191553	0.9815478	0.8004907	0.1592333	1.0140168	0.9878865	1.0883551	0.1143549
250	0.7499952	0.2458564	0.9848579	0.9670417	0.7952446	0.1347405	1.0055522	0.9445393	1.0495237	0.1216755
300	0.7295792	0.2828542	0.9002154	0.9558584	0.8850416	0.1392270	1.0002185	0.9684011	1.0827579	0.1314759
