"Time"	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C

0	0.0414004	0.0590876	0.0428999	0.9171417	0.0333968	0.0623468	0.1886660	0.5443890	0.2215922	1.0000000
50	0.0414004	0.0590878	0.1715801	0.9171022	0.0333976	0.0625243	0.1354207	0.8088693	0.2215922	1.0000000
100	0.0414006	0.0590907	0.2148649	0.9170877	0.0333907	0.0631513	0.1217639	0.8693776	0.2215922	1.0000000
150	0.0414019	0.0590971	0.2294249	0.9171068	0.0333685	0.0638752	0.1182612	0.8832173	0.2215922	1.0000000
200	0.0414045	0.0591029	0.2343225	0.9171779	0.0333342	0.0643660	0.1173628	0.8863873	0.2215922	1.0000000
250	0.0414076	0.0591063	0.2359701	0.9172983	0.0332988	0.0646095	0.1171323	0.8871287	0.2215922	1.0000000
300	0.0414102	0.0591079	0.2365243	0.9174411	0.0332702	0.0647101	0.1170732	0.8873266	0.2215922	1.0000000
350	0.0414119	0.0591087	0.2367108	0.9175754	0.0332507	0.0647473	0.1170581	0.8874071	0.2215922	1.0000000
400	0.0414129	0.0591089	0.2367736	0.9176824	0.0332388	0.0647601	0.1170542	0.8874608	0.2215922	1.0000000
450	0.0414134	0.0591090	0.2367948	0.9177579	0.0332321	0.0647644	0.1170532	0.8875032	0.2215922	1.0000000
500	0.0414137	0.0591091	0.2368019	0.9178065	0.0332286	0.0647657	0.1170529	0.8875358	0.2215922	1.0000000
550	0.0414134	0.0591007	0.1081242	0.9178351	0.0332294	0.0640488	0.1702985	0.6230611	0.2215922	1.0000000
600	0.0414104	0.0590907	0.0648402	0.9178350	0.0332514	0.0630710	0.1839553	0.5625497	0.2215922	1.0000000
650	0.0414062	0.0590881	0.0502804	0.9177709	0.0332913	0.0626121	0.1874581	0.5487024	0.2215922	1.0000000
700	0.0414032	0.0590877	0.0453827	0.9176409	0.0333304	0.0624384	0.1883565	0.5455107	0.2215922	1.0000000
750	0.0414016	0.0590876	0.0437352	0.9174852	0.0333593	0.0623773	0.1885870	0.5447330	0.2215922	1.0000000
800	0.0414009	0.0590876	0.0431809	0.9173443	0.0333775	0.0623567	0.1886461	0.5444945	0.2215922	1.0000000
850	0.0414006	0.0590876	0.0429944	0.9172373	0.0333880	0.0623499	0.1886612	0.5443805	0.2215922	1.0000000
900	0.0414005	0.0590876	0.0429317	0.9171655	0.0333936	0.0623477	0.1886651	0.5443053	0.2215922	1.0000000
950	0.0414005	0.0590876	0.0429105	0.9171213	0.0333965	0.0623470	0.1886661	0.5442522	0.2215922	1.0000000
1000	0.0414004	0.0590876	0.0429034	0.9170959	0.0333979	0.0623468	0.1886664	0.5442162	0.2215922	1.0000000

0	0.0414004	0.0590876	0.0428999	0.9171417	0.0333968	0.0623468	0.1886660	0.5443890	0.2215922	1.0000000
50	0.0414006	0.0590994	0.4335405	0.3558983	0.0333981	0.0623468	0.1886663	0.4692847	0.2215922	1.0000000
100	0.0414283	0.0596879	0.5648777	0.1951021	0.0334076	0.0623467	0.1886664	0.2729764	0.2215922	1.0000000
150	0.0417305	0.0618561	0.6089568	0.1490251	0.0335092	0.0623467	0.1886665	0.1701361	0.2215922	1.0000000
200	0.0425919	0.0643424	0.6237455	0.1357706	0.0338164	0.0623467	0.1886665	0.1392313	0.2215922	1.0000000
250	0.0437884	0.0659596	0.6287119	0.1318387	0.0342772	0.0623467	0.1886665	0.1311013	0.2215922	1.0000000
300	0.0448847	0.0667515	0.6303806	0.1305121	0.0347378	0.0623467	0.1886665	0.1290076	0.2215922	1.0000000
350	0.0456614	0.0670864	0.6309413	0.1299198	0.0350963	0.0623467	0.1886665	0.1284587	0.2215922	1.0000000
400	0.0461266	0.0672174	0.6311299	0.1295711	0.0353336	0.0623467	0.1886665	0.1283081	0.2215922	1.0000000
450	0.0463749	0.0672665	0.6311933	0.1293424	0.0354744	0.0623467	0.1886665	0.1282634	0.2215922	1.0000000
500	0.0464970	0.0672844	0.6312146	0.1291944	0.0355520	0.0623467	0.1886665	0.1282484	0.2215922	1.0000000
550	0.0463321	0.0630264	0.2403513	0.6842158	0.0355164	0.0623467	0.1886665	0.1369001	0.2215922	1.0000000
600	0.0449222	0.0597202	0.1093108	0.8434894	0.0350163	0.0623467	0.1886665	0.2395896	0.2215922	1.0000000
650	0.0432710	0.0591625	0.0653225	0.8905098	0.0343675	0.0623467	0.1886665	0.3852450	0.2215922	1.0000000
700	0.0422385	0.0590959	0.0505024	0.9058361	0.0339059	0.0623467	0.1886665	0.4732052	0.2215922	1.0000000
750	0.0417414	0.0590885	0.0454893	0.9117513	0.0336460	0.0623467	0.1886665	0.5138335	0.2215922	1.0000000
800	0.0415312	0.0590877	0.0437858	0.9144306	0.0335146	0.0623467	0.1886665	0.5311663	0.2215922	1.0000000
850	0.0414487	0.0590876	0.0432042	0.9157542	0.0334519	0.0623467	0.1886665	0.5384711	0.2215922	1.0000000
900	0.0414178	0.0590876	0.0430048	0.9164227	0.0334229	0.0623467	0.1886665	0.5416029	0.2215922	1.0000000
950	0.0414066	0.0590876	0.0429361	0.9167570	0.0334098	0.0623467	0.1886665	0.5429848	0.2215922	1.0000000
1000	0.0414026	0.0590876	0.0429124	0.9169207	0.0334039	0.0623467	0.1886665	0.5436123	0.2215922	1.0000000

0	0.0414004	0.0590876	0.0428999	0.9171417	0.0333968	0.0623468	0.1886660	0.5443890	0.2215922	1.0000000
50	0.3222219	0.0590876	0.0488165	0.8060481	0.0333981	0.0623468	0.1886663	0.5317730	0.2215922	1.0000000
100	0.4133768	0.0590876	0.0820546	0.7742138	0.0333987	0.0623467	0.1886664	0.4982547	0.2215922	1.0000000
150	0.4429659	0.0590878	0.1248601	0.7650905	0.0333990	0.0623467	0.1886665	0.4685208	0.2215922	1.0000000
200	0.4525706	0.0590890	0.1558286	0.7624754	0.0333991	0.0623467	0.1886665	0.4506513	0.2215922	1.0000000
250	0.4556886	0.0590920	0.1731205	0.7617255	0.0333994	0.0623467	0.1886665	0.4418092	0.2215922	1.0000000
300	0.4567013	0.0590960	0.1815346	0.7615098	0.0333999	0.0623467	0.1886665	0.4378992	0.2215922	1.0000000
350	0.4570309	0.0590993	0.1853010	0.7614467	0.0334006	0.0623467	0.1886665	0.4362885	0.2215922	1.0000000
400	0.4571386	0.0591015	0.1868960	0.7614268	0.0334014	0.0623467	0.1886665	0.4356554	0.2215922	1.0000000
450	0.4571741	0.0591027	0.1875454	0.7614190	0.0334021	0.0623467	0.1886665	0.4354140	0.2215922	1.0000000
500	0.4571860	0.0591032	0.1878023	0.7614149	0.0334026	0.0623467	0.1886665	0.4353233	0.2215922	1.0000000
550	0.1763714	0.0591023	0.1621342	0.8724628	0.0334029	0.0623467	0.1886665	0.4517370	0.2215922	1.0000000
600	0.0852180	0.0590952	0.1060567	0.9042766	0.0334028	0.0623467	0.1886665	0.4892460	0.2215922	1.0000000
650	0.0556273	0.0590896	0.0696405	0.9133914	0.0334021	0.0623467	0.1886665	0.5173938	0.2215922	1.0000000
700	0.0460201	0.0590880	0.0532718	0.9160048	0.0334010	0.0623467	0.1886665	0.5324237	0.2215922	1.0000000
750	0.0429005	0.0590877	0.0467888	0.9167565	0.0334002	0.0623467	0.1886665	0.5393339	0.2215922	1.0000000
800	0.0418876	0.0590876	0.0443365	0.9169744	0.0333997	0.0623467	0.1886665	0.5422594	0.2215922	1.0000000
850	0.0415586	0.0590876	0.0434261	0.9170387	0.0333994	0.0623467	0.1886665	0.5434346	0.2215922	1.0000000
900	0.0414518	0.0590876	0.0430914	0.9170581	0.0333993	0.0623467	0.1886665	0.5438899	0.2215922	1.0000000
950	0.0414171	0.0590876	0.0429691	0.9170642	0.0333993	0.0623467	0.1886665	0.5440617	0.2215922	1.0000000
1000	0.0414059	0.0590876	0.0429248	0.9170663	0.0333992	0.0623467	0.1886665	0.5441254	0.2215922	1.0000000

0	0.0414004	0.0590876	0.0428999	0.9171417	0.0333968	0.0623468	0.1886660	0.5443890	0.2215922	1.0000000
50	0.0749444	0.3136612	0.0429929	0.4255088	0.0490554	0.0623468	0.1886663	0.4800956	0.2215922	1.0000000
100	0.1446188	0.3405873	0.0441718	0.2668535	0.0966511	0.0623467	0.1886664	0.3005594	0.2215922	1.0000000
150	0.1916615	0.3434353	0.0455508	0.1816642	0.1390092	0.0623467	0.1886665	0.1862351	0.2215922	1.0000000
200	0.2145859	0.3437365	0.0448589	0.1252985	0.1647854	0.0623467	0.1886665	0.1447389	0.2215922	1.0000000
250	0.2242947	0.3437684	0.0435569	0.0927482	0.1782641	0.0623467	0.1886665	0.1324186	0.2215922	1.0000000
300	0.2281063	0.3437717	0.0427265	0.0757890	0.1848134	0.0623467	0.1886665	0.1290664	0.2215922	1.0000000
350	0.2295346	0.3437721	0.0423318	0.0673799	0.1878713	0.0623467	0.1886665	0.1281855	0.2215922	1.0000000
400	0.2300533	0.3437721	0.0421630	0.0633131	0.1892664	0.0623467	0.1886665	0.1279539	0.2215922	1.0000000
450	0.2302375	0.3437721	0.0420934	0.0613773	0.1898939	0.0623467	0.1886665	0.1278910	0.2215922	1.0000000
500	0.2303019	0.3437721	0.0420647	0.0604678	0.1901737	0.0623467	0.1886665	0.1278727	0.2215922	1.0000000
550	0.1980856	0.0891985	0.0421537	0.2061517	0.1636560	0.0623467	0.1886665	0.1279654	0.2215922	1.0000000
600	0.1290191	0.0622724	0.0428314	0.2906454	0.1088933	0.0623467	0.1886665	0.1291715	0.2215922	1.0000000
650	0.0810659	0.0594244	0.0437620	0.4184863	0.0710754	0.0623467	0.1886665	0.1350132	0.2215922	1.0000000
700	0.0575453	0.0591232	0.0442268	0.5820236	0.0511419	0.0623467	0.1886665	0.1596136	0.2215922	1.0000000
750	0.0475863	0.0590913	0.0440013	0.7243421	0.0415246	0.0623467	0.1886665	0.2286317	0.2215922	1.0000000
800	0.0436811	0.0590880	0.0435623	0.8171322	0.0370621	0.0623467	0.1886665	0.3307655	0.2215922	1.0000000
850	0.0422194	0.0590876	0.0432374	0.8682408	0.0350346	0.0623467	0.1886665	0.4202227	0.2215922	1.0000000
900	0.0416889	0.0590876	0.0430560	0.8939966	0.0341250	0.0623467	0.1886665	0.4781972	0.2215922	1.0000000
950	0.0415006	0.0590876	0.0429675	0.9063830	0.0337200	0.0623467	0.1886665	0.5106509	0.2215922	1.0000000
1000	0.0414348	0.0590876	0.0429277	0.9121848	0.0335407	0.0623467	0.1886665	0.5275965	0.2215922	1.0000000

