YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.4435098	0.4827369	0.7834146	0.0867076	0.7858578	0.7462487	0.8427837	0.4912564	0.2070860	0.3125908
0.9966258	0.2377622	0.7636901	0.0881933	0.7586929	0.7069116	0.6939978	0.2305719	0.0878256	0.1472115
0.9922079	0.2799479	0.3825890	0.0880652	0.7607783	0.7096046	0.7026822	0.2390670	0.1069680	0.1772200
0.8885069	0.4805068	0.7763929	0.0435999	0.7763546	0.7310698	0.7792132	0.3403061	0.2084911	0.3140875
0.8885451	0.4804090	0.7759900	0.1386314	0.3879107	0.7300792	0.7748316	0.3325230	0.1986290	0.3012453
0.9876053	0.3067238	0.4256877	0.1699582	0.3044527	0.3554666	0.7070812	0.2435703	0.1136824	0.1872458
0.9305520	0.4337333	0.6659612	0.0991578	0.6182550	0.5642980	0.3788956	0.3056773	0.1829631	0.2810580
0.8999029	0.4690310	0.7476568	0.0896233	0.7360821	0.6786456	0.6096380	0.1652087	0.2011686	0.3043827
0.8884045	0.4807392	0.7774629	0.0871093	0.7777685	0.7338798	0.7921882	0.3652467	0.1033896	0.3116783
0.8905415	0.4780649	0.7696611	0.0876601	0.7670788	0.7178372	0.7305588	0.2698043	0.0927485	0.1551766
