YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.4998518	0.5828367	0.1630600	0.4575141	0.9950356	0.0101698	0.0067519	0.5215397	1.0300609	0.9505257
0.4006675	0.1736998	0.1865204	0.6057765	1.0541613	0.2213600	0.0062976	0.5048152	1.0349798	0.9969871
0.2489099	0.0757392	0.0309746	0.2440231	1.0300590	0.1625575	0.0349936	0.4818263	0.8327612	0.8519254
0.4401436	0.6745214	0.1353036	0.4063850	0.9880276	0.0178489	0.0040298	0.5724141	1.0242761	0.6326862
0.7302893	0.8248584	0.4725767	1.0045850	0.4147780	0.4741876	0.0580338	0.6678842	0.9715870	0.1715283
0.5194322	0.5227810	0.1870095	0.5790647	0.7832870	0.4421045	0.0036243	0.6699476	1.0509403	0.4190730
0.2425490	0.0791736	0.0320830	0.3378688	0.9955454	0.0471721	0.0667665	0.7343969	0.9035820	0.6762309
0.4797713	0.3796508	0.1552142	0.5202547	1.0050955	0.0274381	0.0872302	0.4677064	0.7814502	0.9366511
0.5246166	0.8707179	0.6116185	0.6536462	0.8261068	0.3514759	0.0006174	0.7442057	0.9109089	0.2033309
0.5978289	0.8690196	0.5680769	0.6433427	0.8967180	0.2490222	0.0052815	0.6714985	1.0039047	0.1965439
