YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.2045209	0.5865999	0.4453237	0.0992186	0.2869641	1.0585961	1.0020868	0.0041758	0.4869489	0.8553524
0.8332802	0.6249283	0.4080104	0.1590150	0.2368369	0.9944809	0.8627084	0.1475254	0.2679867	0.9182304
0.5502653	0.5340687	0.4902084	0.0846898	0.2450635	0.9486919	0.9320800	0.0526427	0.3089643	0.9641545
0.4509102	0.7153733	0.4196499	0.2807534	0.3128321	0.9812694	0.9267218	0.0360752	0.4005546	0.9956332
0.0044464	0.0712508	0.9007011	0.5423893	0.5550044	0.2082636	0.0691754	0.6554872	0.1458798	0.8160953
0.4013031	0.0529268	0.9626508	0.6101130	0.9464655	0.1602681	0.0246667	0.8462785	0.0658801	0.9703269
0.0000115	0.0026783	1.0181678	0.3457433	0.5843440	0.2294131	0.0546147	0.9142688	0.2140968	1.0296431
0.3757261	0.0000610	0.9874666	0.5388937	0.8312240	0.1603872	0.0357798	0.7344310	0.2079620	0.8912912
0.8516620	0.5169739	0.6081659	0.1077084	0.2619874	0.9497464	0.4729116	0.2287090	0.2464094	0.9465818
0.5923764	0.1781577	0.6157926	0.3223347	0.2348570	0.7142692	0.2571783	0.3725184	0.1249428	1.0270794
