YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.9563741	0.3670669	0.5873769	0.9599114	0.0954238	0.5680161	0.8251709	0.1485359	0.9775928	0.2006190
0.9412118	0.1258763	0.4822757	0.9841035	0.0928291	0.7563499	0.8282639	0.4116059	0.8869112	0.3385511
1.0862958	0.4405023	0.4849425	0.8498982	0.1070502	0.6418659	0.9599292	0.6896691	0.9809558	0.2173365
1.0404634	0.3686399	0.4923462	0.9567831	0.0476192	0.8104092	0.9727892	0.7671011	0.9157572	0.0089504
0.9560945	0.4464143	0.5010758	0.5633294	0.1486489	0.6744942	0.9166688	0.4687671	0.9266619	0.1756720
0.9821205	0.3583889	0.3824024	1.0339475	0.0718734	0.8048542	0.8593387	0.3735629	0.8677820	0.0122698
0.9072345	0.3835627	0.5096771	1.0350785	0.0894352	0.7017121	0.8793108	0.8871351	0.9298557	0.2383212
0.8927467	0.2322085	0.4587275	0.7257055	0.1295214	0.6651998	0.9341490	0.5032362	0.7064522	0.3221194
1.0501373	0.3089036	0.3080887	0.5834466	0.1401486	0.7650373	0.8937532	0.2529081	0.9405359	0.2600826
0.8951828	0.1311154	0.5160577	1.0357443	0.1112923	0.6350657	0.9906290	0.7316103	0.5494991	0.3609218
