YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.4455077	1.0928524	1.0270790	1.0553498	0.0621198	0.1499035	0.8497514	0.5504942	1.0387966	0.9129451
0.8548982	0.5367230	0.9507872	1.0413845	0.0678071	0.1553419	0.9090252	0.3561148	0.9239853	1.0517247
0.9638594	0.9714105	0.6088572	1.0623701	0.0710280	0.1513330	0.8485503	0.3068420	1.0295407	1.0607520
0.8587167	1.0947270	0.8001754	0.4693692	0.0558252	0.1634049	0.8622949	0.3473812	1.0171894	1.0172456
0.8520420	0.9661548	0.9030798	1.0768998	0.0331862	0.1629592	0.8482510	0.2927676	0.9591643	1.0551589
0.9418758	0.9832480	0.9655912	1.0522680	0.0374378	0.0631805	0.8031649	0.3399993	0.9623635	0.9627503
0.8587963	1.0603667	1.0197907	1.1577714	0.1735775	0.3128234	0.4696518	0.3506914	1.0446740	1.0332679
0.8590536	0.9397287	0.9058644	0.8768058	0.0555648	0.1769705	0.9951400	0.2008282	0.9602594	1.0258556
0.8965429	0.8591025	0.9454770	0.9789296	0.0759719	0.1234910	0.7315818	0.4912164	0.4250569	1.0041022
0.9453434	1.0224546	1.0530537	1.0587844	0.0621951	0.1997235	0.9820604	0.3417119	1.0244754	0.5324458
