"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W

0	0.3156213	0.3482483	0.6475080	0.5067259	0.7798220	0.1627669	0.6826210	0.7929305	0.6908184	0.0277732
50	0.2789756	0.3487127	0.7377980	0.5632771	0.6913404	0.1053778	0.6493864	0.6922673	0.5245538	0.0447658
100	0.1918543	0.3018360	0.6905923	0.5706704	0.7283214	0.0963162	0.6212230	0.6992309	0.4815623	0.0363794
150	0.2895829	0.3365019	0.4297762	0.5955434	0.9036973	0.0790519	0.8007737	0.6835455	0.4641281	0.0676181
200	0.3146577	0.3492440	0.6538978	0.5587299	0.7321334	0.0602436	0.7958509	0.6663904	0.4533640	0.0536100
250	0.3169724	0.3805985	0.6362986	0.5011271	0.8945030	0.0892320	0.7240848	0.6090081	0.4959292	0.1350773
300	0.3042578	0.3590377	0.6864304	0.4937267	0.8628086	0.0968672	0.8037252	0.7369726	0.4838962	0.0684763
350	0.3302143	0.3724739	0.6005313	0.5138099	0.8960699	0.0444186	0.7602462	0.8139923	0.5361589	0.0535412
400	0.2176805	0.3153183	0.5871260	0.4772361	0.7786511	0.0823342	0.6023791	0.7937205	0.3879943	0.0521512
450	0.3301337	0.2137585	0.6693082	0.6083943	0.7533588	0.0900355	0.7819339	0.7292451	0.4205230	0.0454584
500	0.4212351	0.2160437	0.5172192	0.5902580	0.7552512	0.0551046	0.6227981	0.7762412	0.5617118	0.0418812
550	0.4395774	0.1950390	0.6651836	0.5503720	0.6167347	0.1073566	0.7466973	0.8655208	0.6568008	0.0510292
600	0.3789235	0.2476749	0.5386139	0.4865371	0.7521727	0.1235477	0.7705018	0.8619099	0.6804849	0.0579405
650	0.3408044	0.3529309	0.5660963	0.4320529	0.7158463	0.1070201	0.7526887	0.8412039	0.6902098	0.0533194
700	0.3075834	0.3251354	0.5474704	0.4305189	0.7504360	0.1311105	0.6956207	0.7791323	0.6772740	0.0526179
750	0.3477395	0.1740743	0.7106332	0.4040898	0.8125972	0.1268253	0.7461091	0.6985765	0.8137367	0.0649334
800	0.4274461	0.2146026	0.6396180	0.5284398	0.7174208	0.1097188	0.8019972	0.7317236	0.6495534	0.0591240
850	0.4810108	0.2596725	0.5173989	0.5292082	0.8008267	0.0902803	0.7491427	0.7779416	0.7789583	0.0428430
900	0.4203438	0.2404735	0.6118812	0.5903099	0.8412738	0.1715063	0.6955617	0.7200706	0.7278969	0.0566821
950	0.3700496	0.2178910	0.6295097	0.4840154	0.6259053	0.0919810	0.6071877	0.7110083	0.7003699	0.1041112
1000	0.2963382	0.3071950	0.6429954	0.4891327	0.7071077	0.0964369	0.6804610	0.6125765	0.6570012	0.0577081

0	0.3224347	0.2729358	0.5442239	0.5483176	0.7483207	0.0777261	0.6804726	0.8261293	0.6512763	0.0596253
