YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.3734690	0.2316634	0.0934015	1.0068783	0.3940437	0.6164893	0.4661566	0.0306801	0.5945609	0.3347341
0.9133811	0.1513008	0.1297022	1.0502703	0.4901176	0.5696145	0.4253272	0.0302936	0.6304692	0.3374079
1.0015111	0.0895205	0.0805001	1.1276202	0.5166527	0.4935027	0.4257040	0.0230050	0.5173421	0.3963830
0.3511487	0.8716355	0.3528750	0.5537270	0.5200878	0.4555203	0.4486782	0.0398833	0.6626854	0.2080879
0.6888875	0.2851964	0.1063847	0.9640242	0.3529756	0.3793799	0.8138098	0.0242374	0.8326637	0.1483922
0.5248927	0.5160211	0.2108477	0.9699770	0.4261261	0.3561180	0.3770951	0.0365509	0.9105500	0.1452629
0.9307817	0.2114268	0.1431447	0.9748092	0.3739119	0.6937218	0.3448909	0.0223286	0.5174510	0.4483088
0.7173386	0.2516400	0.1299978	0.9952864	0.5544083	0.5197642	0.4786774	0.0197516	0.5650004	0.4143365
0.7846971	0.2225094	0.0931464	1.0235786	0.4271404	0.5777992	0.4575588	0.0239969	0.3496937	0.3177040
0.6796927	0.3851737	0.1665683	0.9818412	0.4951683	0.5212287	0.4131004	0.0351739	0.8807692	0.1812681
