"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.8476886	0.0507126	0.0027719	0.8359103	0.6219703	0.3042509	0.8194604	0.8072036	0.7832872	0.8706187
50	0.5267984	0.3596555	0.0013951	0.7074957	0.6036780	0.3564202	0.7196418	0.6816993	0.7451278	0.7773390
100	0.3642243	0.4299552	0.0040579	0.8005007	0.5770838	0.3272080	0.7696275	0.6899314	0.5838870	0.8898462
150	0.3092844	0.4498362	0.0054257	0.7281075	0.4970278	0.2099040	0.6839730	0.6149886	0.7818958	0.6561150
200	0.1631115	0.5642758	0.0087060	0.6735382	0.4834963	0.3294311	0.6796659	0.6566726	0.6190807	0.7307096
250	0.1798801	0.5775298	0.0125717	0.6065956	0.5583581	0.1493714	0.6131213	0.7097239	0.6785888	0.7412740
300	0.1318065	0.6101377	0.0049987	0.8529726	0.4648410	0.1788199	0.7773850	0.5856949	0.7229753	0.7366608
350	0.1841692	0.5877948	0.0180486	0.7352096	0.6016670	0.1689437	0.6021865	0.6612055	0.6984451	0.7821267
400	0.1086265	0.6693913	0.0005592	0.7370046	0.5434926	0.2025800	0.8361867	0.7083161	0.7382144	0.7389761
450	0.1316294	0.5778547	0.0119472	0.7499232	0.5694571	0.1448908	0.7159298	0.6401535	0.6498598	0.6764003
500	0.1411784	0.6116062	0.0033373	0.6810456	0.5969369	0.1513834	0.6297609	0.7217465	0.7324256	0.7564803
550	0.1717075	0.2539981	0.0040829	0.7070506	0.5205310	0.2073498	0.8146449	0.7374445	0.7190156	0.7615298
600	0.1687827	0.1813170	0.0053273	0.6096203	0.5638565	0.1465522	0.6986176	0.7584008	0.7368322	0.7372928
650	0.3396156	0.1144641	0.0199697	0.6332739	0.6529166	0.2074258	0.6558217	0.7981078	0.6917248	0.8391009
700	0.3889850	0.0931479	0.0052778	0.7602995	0.6009735	0.2741156	0.6364685	0.7828442	0.6918683	0.7542406
750	0.5869568	0.0456686	0.0013629	0.7275141	0.5527842	0.2552502	0.6046668	0.6657468	0.6506414	0.7625269
800	0.6960670	0.0562907	0.0004244	0.7948581	0.7305110	0.2340700	0.6530844	0.7822468	0.5105413	0.7489037
850	0.7408774	0.0683880	0.0039232	0.6979245	0.7434793	0.3059444	0.6771544	0.7755850	0.5658612	0.6977691
900	0.7693398	0.0307338	0.0062456	0.6649907	0.8346146	0.2442330	0.6852599	0.7474769	0.6354596	0.7116367
950	0.7112105	0.0404719	0.0091516	0.7993848	0.7604138	0.2472858	0.7499381	0.8500548	0.7247832	0.7223947
1000	0.7117428	0.0403559	0.0042409	0.8530596	0.7167622	0.2303719	0.6489105	0.6567635	0.7027943	0.7061358

0	0.7922966	0.0370456	0.0017582	0.7662476	0.6988491	0.2817233	0.7385939	0.8010733	0.7101175	0.7635685
50	0.5446966	0.4534122	0.0008736	0.7629865	0.7475810	0.2767189	0.6751625	0.4796623	0.6442934	0.5883474
100	0.3001379	0.6514068	0.0008798	0.6988857	0.6029337	0.2413104	0.6316494	0.4279751	0.6099821	0.4640016
150	0.2317524	0.7143665	0.0034217	0.6723977	0.6092278	0.1810248	0.7239371	0.4498939	0.7082868	0.4332702
200	0.1713162	0.7123145	0.0051264	0.7026155	0.5957420	0.1936087	0.7250487	0.4648928	0.7149331	0.3866821
250	0.1238830	0.8109861	0.0008239	0.7906729	0.5356820	0.2603082	0.7320229	0.4638261	0.7068682	0.4392433
300	0.1445933	0.6203647	0.0016632	0.8697790	0.4524248	0.2104366	0.6405468	0.3527387	0.6348596	0.3315260
350	0.1079595	0.7218301	0.0036467	0.6533401	0.5599851	0.1641576	0.6040304	0.5123167	0.7115047	0.4679832
400	0.1349772	0.6925722	0.0005569	0.9103112	0.5661463	0.1533323	0.6225103	0.4969483	0.6353903	0.4652953
450	0.1376210	0.6284175	0.0036458	0.7200468	0.4983719	0.2061995	0.7397581	0.4352541	0.7191947	0.3574513
500	0.1485045	0.7636211	0.0181095	0.6907620	0.5138286	0.2984573	0.6772962	0.4711162	0.7402173	0.3271666
550	0.1092754	0.2538256	0.0024267	0.7053875	0.4725913	0.2271749	0.7660807	0.7029895	0.8095317	0.6928051
600	0.1722417	0.1431815	0.0009407	0.6640171	0.5804270	0.2062127	0.8002525	0.7415961	0.7655262	0.6493249
650	0.2976094	0.0764701	0.0022537	0.6914866	0.6965622	0.2986764	0.6806237	0.7029457	0.8838248	0.6358509
700	0.3874020	0.1279607	0.0056570	0.7472375	0.6669634	0.1957498	0.6701032	0.6729802	0.6488661	0.7214441
750	0.5035565	0.1478888	0.0078190	0.7355687	0.6003589	0.2993762	0.7151297	0.5764409	0.6247611	0.7267412
800	0.5309452	0.0655030	0.0010117	0.7133133	0.6133830	0.2428509	0.8069156	0.7376352	0.6590022	0.7871959
850	0.6233364	0.0604062	0.0045020	0.6689754	0.5445954	0.2895039	0.6766899	0.7168311	0.7231824	0.8412897
900	0.6137927	0.0462597	0.0036618	0.7255612	0.7608664	0.2850336	0.6608837	0.8291588	0.7533862	0.6857883
950	0.6440982	0.0591149	0.0025718	0.6591131	0.6440565	0.3945349	0.5991626	0.7256137	0.7781942	0.8244912
