"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C

0	0.3966751	0.5335100	0.7322071	1.0259275	0.0647409	0.2164746	1.0658044	0.2062148	0.2637285	1.0493140
50	0.4116174	0.4574076	0.7258129	1.0384092	0.0403802	0.0832977	0.3739061	0.1926377	0.2431426	0.9956383
100	0.4170360	0.4931286	0.6969152	1.0283995	0.0340610	0.0542663	0.1564384	0.2236875	0.1867390	0.9890052
150	0.4205326	0.4929548	0.7422324	1.0098648	0.0141824	0.1789096	0.0841912	0.2173742	0.1319245	1.0112443
200	0.4072829	0.4806552	0.7536306	1.0675340	0.0212273	0.2648423	0.0632721	0.1778041	0.0946608	0.9776123
250	0.3686662	0.4818947	0.7419539	0.9999842	0.0488320	0.2767029	0.0638367	0.1902226	0.1086554	0.9355312
300	0.3625726	0.4664109	0.7355139	1.0613224	0.0689892	0.2852111	0.0677999	0.2202995	0.1599335	0.9329923
350	0.3760442	0.4059671	0.7160521	1.0086460	0.0777908	0.2792545	0.0618592	0.2385291	0.2642769	1.0106831
400	0.4104656	0.4452925	0.6664137	0.9443466	0.0494901	0.2837729	0.0538284	0.2336744	0.2626898	1.0668764
450	0.3591924	0.4959236	0.6298269	1.0091304	0.0871144	0.3120699	0.0288543	0.2268289	0.2841919	1.1347706
500	0.3794148	0.4831341	0.6177580	1.0146265	0.1000075	0.3270981	0.0600951	0.1942621	0.2686246	0.9484770
550	0.3974803	0.4885797	0.6169140	0.9256403	0.1770751	0.5587128	0.7512403	0.1608736	0.3271188	1.0429609
600	0.3784806	0.5960882	0.7071463	0.9529634	0.2353527	0.3566409	0.9652287	0.1805555	0.3609647	0.9963443
650	0.3236396	0.4761758	0.6781726	0.9468664	0.1933318	0.2742583	0.9006115	0.1874556	0.4112244	1.0229753
700	0.4188047	0.3975490	0.6931722	0.9564250	0.1211102	0.2350853	1.0132007	0.2078555	0.4798265	0.9314864
750	0.4059851	0.4776565	0.7002932	1.0067284	0.0786028	0.2226397	0.9654438	0.1824367	0.3800956	1.0146293
800	0.4365970	0.4806471	0.6280817	1.0325621	0.0668791	0.2370383	0.9845551	0.2124481	0.3258037	1.0339771
850	0.4376162	0.4863305	0.6771994	1.0534869	0.0630400	0.2422642	1.0108153	0.1821324	0.2902673	0.9562226
900	0.3893085	0.4763964	0.6941734	1.0801925	0.0583568	0.2458943	0.9951641	0.1601656	0.3172057	1.0743918
950	0.4073715	0.4562571	0.7354962	1.1183132	0.0604067	0.2097465	1.0055560	0.1742470	0.2649218	1.0378624
1000	0.4034833	0.4535353	0.6917994	1.0597356	0.0578258	0.2391351	0.9510147	0.1791259	0.2041568	1.0066210

0	0.3966751	0.5335100	0.7322071	1.0259275	0.0647409	0.2164746	1.0658044	0.2062148	0.2637285	1.0493140
50	0.3885389	0.4660246	0.6060623	1.0369569	0.3888783	0.2485566	1.0539713	0.0815433	0.3111642	0.9614208
100	0.3849279	0.4693990	0.6764440	0.9293622	0.5753753	0.2412214	0.9764735	0.0362410	0.4132925	0.9398735
150	0.3876884	0.5070531	0.6847250	0.9361563	0.5521091	0.2455427	0.9971701	0.0190417	0.4479496	0.9809823
200	0.3865388	0.4391981	0.7206467	0.8868106	0.5590332	0.2518191	0.9985978	0.0034686	0.5122921	1.0480547
250	0.3780084	0.4538717	0.6756910	0.8390163	0.5994343	0.2542849	0.9806437	0.0018826	0.5201046	1.0321340
300	0.4021875	0.4834961	0.7290626	0.9193981	0.6136857	0.2415260	1.0119940	0.0000064	0.4458486	0.9862292
350	0.4005377	0.4310720	0.7179635	0.8052631	0.6082429	0.2452751	0.9529826	0.0000000	0.4171776	1.0153073
400	0.4283930	0.4545917	0.7251058	0.7819128	0.5487566	0.2100680	0.9272489	0.0000330	0.4675846	0.9871059
450	0.3611546	0.5089960	0.6867778	0.8277510	0.6110135	0.2174776	1.0136568	0.0000000	0.5568408	1.0140766
500	0.3852570	0.4440199	0.6667632	0.7735745	0.6007102	0.2203006	1.0253431	0.0001764	0.4716201	1.0467505
550	0.3666309	0.4601040	0.7103781	0.7531663	0.2360281	0.2166957	0.9239035	0.1541987	0.4940023	0.9588859
600	0.4010617	0.4762647	0.7212690	0.9854429	0.1024653	0.2255337	0.9488120	0.1841913	0.4779888	1.0569883
650	0.3923410	0.4736968	0.6986128	1.0853127	0.1035919	0.2793263	0.9777151	0.1739977	0.4076346	1.0124583
700	0.4010793	0.4680887	0.7068615	1.0317730	0.0777296	0.2279346	0.9857338	0.2247143	0.3702806	0.9125725
750	0.3997835	0.4810312	0.6984703	0.9664061	0.0423759	0.2135022	1.0342170	0.1803217	0.3068501	1.0231361
800	0.3961333	0.4661065	0.6591404	0.9976717	0.0541068	0.2308382	1.0347453	0.1832212	0.2992365	0.9362265
850	0.4240166	0.4361712	0.7122198	0.9609732	0.0585282	0.2086169	1.0456652	0.2148585	0.2464022	0.9835784
900	0.4478985	0.5244975	0.6763376	0.9321878	0.0820240	0.2304697	0.9836870	0.1949981	0.2176582	1.0869395
950	0.4095265	0.4761303	0.7628552	0.9436117	0.0816564	0.1945228	0.9525227	0.1917220	0.2388889	1.0330835
1000	0.4024686	0.4456167	0.6492913	0.9877105	0.0498034	0.1757876	0.9854877	0.1665442	0.2610828	1.0185208

0	0.3966751	0.5335100	0.7322071	1.0259275	0.0647409	0.2164746	1.0658044	0.2062148	0.2637285	1.0493140
50	0.4331994	0.1775362	0.7127023	0.9773681	0.0426740	0.0678739	0.9682410	0.1598632	0.2079837	1.0019890
100	0.6841396	0.1268917	0.6621350	1.0726589	0.0092576	0.0216614	0.9919831	0.1741458	0.1823995	1.0641495
150	0.7420766	0.0816445	0.6110459	0.9947469	0.0065013	0.0054140	0.9297634	0.1058653	0.1082351	1.0883365
200	0.7700321	0.0794705	0.6354817	1.0303136	0.0004148	0.0044205	1.0259118	0.1093009	0.0629514	0.9942623
250	0.9479471	0.0744105	0.6586801	1.0493687	0.0130306	0.0011001	1.0498005	0.0849661	0.0584498	0.9464752
300	0.9628541	0.0621146	0.7247214	1.0421677	0.0121333	0.0000000	1.0850884	0.0519354	0.0812790	0.9917368
350	0.9794192	0.0686718	0.6821491	1.0372284	0.0090651	0.0049761	1.0788267	0.0330305	0.0609750	1.0296034
400	0.9333273	0.0740444	0.6981024	1.0137842	0.0058285	0.0021223	1.0306888	0.0286010	0.0567485	1.0715625
450	1.0275907	0.0813550	0.7291496	1.0631223	0.0042562	0.0006031	1.0060080	0.0141094	0.0578659	1.0289349
500	1.0435984	0.0649590	0.7389705	1.0099847	0.0005115	0.0049995	0.9622255	0.0236809	0.0789364	1.0422586
550	0.9651256	0.3485292	0.6928408	1.0084537	0.0297817	0.1592945	1.0066835	0.0295241	0.0707980	0.9887477
600	0.6885946	0.4819134	0.6677100	1.0069300	0.0323892	0.2259609	0.9516766	0.0298575	0.0655768	0.9267608
650	0.4448262	0.4531990	0.6574531	0.9708094	0.0502078	0.1681091	1.0200224	0.0672997	0.0744934	0.9107021
700	0.4007693	0.4855557	0.6536229	0.9776737	0.0337900	0.1992702	1.0142783	0.1264028	0.1342108	0.9580877
750	0.3911936	0.4328237	0.6918108	0.9702879	0.0381434	0.1965394	0.9758013	0.1938030	0.1578011	1.0386741
800	0.3223865	0.5315065	0.6595459	0.9197760	0.0606621	0.2287954	0.9731776	0.1892614	0.1553819	1.0267529
850	0.3642113	0.4743036	0.6475104	1.0484560	0.0676816	0.2413599	0.9372556	0.2560839	0.1701241	0.9777118
900	0.3514652	0.5401609	0.6966557	1.0165665	0.0784453	0.2734277	0.8506192	0.2287559	0.2148589	1.0454738
950	0.3294879	0.5060533	0.7451523	1.0760497	0.1050467	0.2604226	0.8245272	0.2476525	0.2065326	1.0268253
1000	0.3622580	0.4737330	0.7343705	0.9445888	0.0608624	0.2399815	0.9012272	0.2162363	0.2671385	0.9224823

0	0.3966751	0.5335100	0.7322071	1.0259275	0.0647409	0.2164746	1.0658044	0.2062148	0.2637285	1.0493140
50	0.1274313	0.4380110	0.8807394	0.9663808	0.0562667	0.2080368	0.9571243	0.2937947	0.4679468	0.9536869
100	0.0553554	0.4109875	0.9862284	0.9031831	0.0717828	0.2130483	0.9331502	0.3654184	0.4152064	1.0513624
150	0.0308878	0.4111106	0.9452184	0.8966938	0.0567050	0.1646880	0.9605034	0.4143599	0.4551078	1.0185909
200	0.0121582	0.3876633	1.1095844	0.9555971	0.0375874	0.1895434	1.0383142	0.4035248	0.4370818	0.8403867
250	0.0110158	0.4158646	1.0712543	1.0045260	0.0649275	0.1843437	0.9447233	0.4658667	0.3717215	0.7987526
300	0.0157948	0.3794830	1.0435985	0.9997860	0.0479150	0.1586904	0.9529172	0.4634091	0.3843188	0.9470187
350	0.0119855	0.3433995	0.9332633	1.0043354	0.0263836	0.1266166	0.9110877	0.4289580	0.3491278	0.9305033
400	0.0093549	0.3594134	1.0306484	0.9981652	0.0143181	0.1320773	0.9087763	0.4824009	0.3713351	0.9280387
450	0.0116856	0.3890061	0.9765476	0.9325068	0.0075342	0.1431792	0.8349218	0.3902251	0.2998590	0.9262564
500	0.0125277	0.3899325	0.9216427	0.9292848	0.0342434	0.1627892	0.8330050	0.4164641	0.3073514	0.9002905
550	0.3371195	0.3547588	0.7948893	0.9488939	0.0262314	0.1412871	1.0091120	0.4083764	0.2059153	0.9768233
600	0.4505607	0.4074474	0.8046493	0.9057279	0.0366305	0.1647643	1.0715219	0.3695868	0.1820231	1.0120496
650	0.3923526	0.4159674	0.7223949	1.0708829	0.0453534	0.1242238	1.0076985	0.2753871	0.1838784	0.9962109
700	0.4542103	0.4188048	0.7592245	1.0326994	0.0454269	0.2099974	1.0310287	0.2445650	0.2546092	0.9740526
750	0.5054822	0.4790003	0.6851728	0.9707316	0.0394152	0.2082262	0.9991761	0.2051617	0.2268797	0.9961113
800	0.5054743	0.4701769	0.7142067	0.9206642	0.0562649	0.1900507	1.0004903	0.1571352	0.1940050	1.0203985
850	0.4561529	0.5288894	0.6716169	1.0083322	0.0346612	0.1881211	1.0813181	0.1319126	0.1943029	0.9415164
900	0.4261010	0.5124433	0.6553550	1.0101932	0.0391804	0.2315516	0.9434235	0.1760014	0.2457909	0.9238968
950	0.3484492	0.5628718	0.6839917	1.0397022	0.0548549	0.2160709	0.9206055	0.1929472	0.2777424	1.0012637
1000	0.3566677	0.5300288	0.6653215	0.9800222	0.0515869	0.2448052	0.9233615	0.2277506	0.2627739	0.9350237

0	0.3966751	0.5335100	0.7322071	1.0259275	0.0647409	0.2164746	1.0658044	0.2062148	0.2637285	1.0493140
50	0.3871795	0.5053683	0.6230247	1.0163668	0.6488526	0.2219638	0.8848506	0.2104418	0.6188499	0.9965303
100	0.3377399	0.4884590	0.7083759	0.9481346	0.8026722	0.2184770	0.7670800	0.2211751	0.7576706	1.0158779
150	0.3999840	0.4608418	0.6609219	0.7769169	0.9388090	0.2446377	0.7449250	0.2215903	0.8071593	1.0378712
200	0.4017315	0.4997810	0.7227841	0.7924444	0.8523945	0.2765957	0.7371485	0.2149423	0.8000768	0.9623333
250	0.3967584	0.4574751	0.6444933	0.7444682	0.9084736	0.2394226	0.7620015	0.1989948	0.9453554	0.9682895
300	0.3620587	0.5179103	0.7031922	0.6794901	0.8950982	0.2549520	0.8015146	0.1611448	0.8489649	1.0656032
350	0.4127332	0.4830085	0.7001281	0.6519185	0.8864645	0.2497834	0.7563723	0.1512930	0.8346222	1.1055970
400	0.3813869	0.5448927	0.7230231	0.6420176	0.9150380	0.2441078	0.7859009	0.1921790	0.7654916	1.0302942
450	0.4243043	0.4329392	0.7131039	0.6906471	0.8711399	0.2595241	0.7982394	0.2030266	0.8340024	0.9106887
500	0.3537671	0.4194492	0.7329222	0.6141540	0.8863065	0.2481479	0.7632965	0.2109707	0.8613316	0.9519407
550	0.3630926	0.4680691	0.7195758	0.5467950	0.2981085	0.2104472	0.8548909	0.2294030	0.6006531	1.0428367
600	0.4515387	0.4027822	0.6911747	0.7080600	0.1175227	0.2186170	0.9589536	0.2315585	0.5185550	0.9175899
650	0.4355122	0.4948816	0.7061738	0.8621888	0.0776616	0.2270404	1.0345470	0.1956369	0.4668559	0.9079252
700	0.3810397	0.5232414	0.6807649	1.0454654	0.0606832	0.2437166	1.0090840	0.1959578	0.4173657	0.9740216
750	0.3848642	0.4040098	0.6973735	1.0209571	0.0679148	0.2250213	0.9850412	0.2036916	0.3176348	0.9351496
800	0.3754827	0.4695938	0.7516378	0.9743417	0.0763659	0.2609883	1.0678567	0.2251712	0.3055953	1.0093855
850	0.4038840	0.4785867	0.7444549	0.9909237	0.0545755	0.2107551	0.9953168	0.1898172	0.3229263	1.0303468
900	0.4007243	0.4760911	0.7188065	1.0754077	0.0632893	0.2170555	0.9358616	0.1851522	0.2509319	0.9807583
950	0.3360163	0.5311437	0.6835349	1.0679044	0.1018894	0.2205473	0.9688718	0.1956457	0.2696481	0.9610373
1000	0.3338298	0.4640344	0.6752938	1.0396713	0.0893084	0.2452466	0.9278988	0.1725998	0.3027523	1.0369254

0	0.3966751	0.5335100	0.7322071	1.0259275	0.0647409	0.2164746	1.0658044	0.2062148	0.2637285	1.0493140
50	0.0967604	0.4906175	0.7336974	1.1123466	0.0700429	0.1538342	0.6106725	0.2594192	0.1050566	0.5367219
100	0.0316303	0.4437556	0.6935078	1.0266010	0.0506484	0.1450613	0.4747190	0.3292711	0.0717169	0.4398112
150	0.0139241	0.4434705	0.7380255	0.9655022	0.0331334	0.1389959	0.3891558	0.3971158	0.0849917	0.3737687
200	0.0045814	0.4914130	0.7490754	1.0357379	0.0435096	0.1967493	0.3778820	0.4368644	0.1101071	0.3673216
250	0.0093433	0.5259203	0.7918155	1.0771272	0.0454296	0.2587508	0.3902497	0.4319866	0.0986710	0.3756950
300	0.0143394	0.4465201	0.7406991	1.0396374	0.0481579	0.2209557	0.3931933	0.4674939	0.0995038	0.3639105
350	0.0110277	0.4104636	0.7442498	1.0647318	0.0773052	0.2398809	0.3720256	0.4213394	0.1024715	0.3750140
400	0.0118132	0.4002158	0.8037293	1.0307932	0.0770778	0.2266953	0.3971972	0.3990676	0.1237941	0.3661911
450	0.0062534	0.4594658	0.8393645	1.0178666	0.0943807	0.2214274	0.3631034	0.4151510	0.1168092	0.3447007
500	0.0113516	0.4138571	0.8159538	0.9743211	0.0726314	0.2349467	0.3825873	0.4508052	0.1463792	0.3673293
550	0.3003781	0.4484951	0.8502161	1.0297710	0.0892641	0.2969091	0.6989563	0.4468779	0.3050962	0.8439943
600	0.3997993	0.4351772	0.8010286	1.0353511	0.0498859	0.2481620	0.8706718	0.3560982	0.2768773	0.9843201
650	0.3977671	0.3995328	0.7868065	0.9825339	0.0674262	0.2678522	0.8709557	0.2659835	0.2504910	0.9880741
700	0.4075025	0.4795781	0.8011237	1.0216835	0.0842277	0.2556866	0.8734761	0.2301244	0.2736947	0.9662836
750	0.3983758	0.4586593	0.7476241	1.0479556	0.0667112	0.1822213	0.9761666	0.2312522	0.2933387	1.0673258
800	0.3748791	0.4328782	0.7284832	0.9647842	0.0449411	0.1862211	0.9453112	0.2289897	0.2793468	1.0303405
850	0.4232673	0.4431832	0.6850127	0.9508934	0.0593728	0.2623808	0.9300033	0.2370375	0.2525520	1.0458714
900	0.3591385	0.5289488	0.6375443	0.8920072	0.1168804	0.2390105	1.0022140	0.1772953	0.2616458	1.0230084
950	0.3666478	0.4659724	0.6755304	0.9976135	0.0767291	0.2044324	0.9943783	0.1914143	0.2525768	1.0906344
1000	0.4030507	0.4853323	0.6068125	0.9762848	0.0597973	0.2171266	0.9573194	0.1920998	0.3043853	1.0654736

0	0.3966751	0.5335100	0.7322071	1.0259275	0.0647409	0.2164746	1.0658044	0.2062148	0.2637285	1.0493140
50	0.1610835	0.3747066	0.7536790	0.9497367	0.0587547	0.1708008	0.7039577	0.2889979	0.2838410	1.0451815
100	0.1081612	0.3943250	0.8789680	0.8664766	0.0629105	0.2050457	0.5710203	0.3601078	0.2525614	1.0711440
150	0.0819494	0.2901108	0.8986122	0.9367266	0.0503451	0.2594216	0.5477083	0.4097468	0.2319844	0.9956836
200	0.0825161	0.2450690	0.8596017	0.9692001	0.0687016	0.2664749	0.5066516	0.3937464	0.2581745	1.0219515
250	0.0849777	0.3139941	0.9642287	1.0237794	0.0639860	0.2378480	0.4530709	0.4417354	0.2790262	1.0554529
300	0.0935898	0.3277444	0.9801119	0.9826275	0.0594308	0.2198430	0.5146006	0.4314044	0.2861023	1.0367421
