YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0204666	0.0436496	0.0190042	0.5785744	0.0510338	0.0223233	0.1670064	0.4441029	0.2158388	0.7078454
0.0054233	0.0166885	0.0767641	0.6979868	0.0123229	0.0702614	0.1403088	0.3826877	0.1146117	0.5576660
0.0167370	0.0360112	0.0173935	0.5892129	0.0260177	0.0660833	0.1433403	0.3275129	0.2170659	0.8513011
0.0155068	0.0624517	0.0558348	0.3263150	0.0505644	0.0320091	0.1170588	0.1160362	0.1458283	0.6953003
0.0123931	0.0407000	0.0399765	0.6680722	0.0175076	0.0333544	0.1835197	0.4115360	0.1347381	0.6182001
0.0236345	0.0379240	0.0660738	0.6719613	0.0395585	0.0141224	0.1895427	0.4122400	0.1384780	0.7983740
0.0250069	0.0304555	0.0254491	0.7298436	0.0114587	0.0991891	0.0591567	0.3760063	0.1574119	0.6976073
0.0280873	0.0284451	0.0235440	0.7030964	0.0328270	0.0433282	0.1892061	0.1841319	0.0952104	0.7463357
0.0287672	0.0155498	0.0482291	0.5999101	0.0261491	0.0357975	0.1979919	0.3295666	0.0509990	0.7300936
0.0272359	0.1163044	0.0315697	0.6845752	0.0365218	0.0792060	0.1580726	0.3750694	0.3201139	0.3250769
