YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.4630889	0.0953586	0.0074737	0.9535934	0.9538939	0.4062560	0.9229175	0.9973156	0.8507580	0.9702949
0.9987053	0.0523480	0.0055296	1.0923257	0.9392844	0.4178583	0.8490489	0.9825694	0.9640724	0.9583736
1.0187551	0.0933896	0.0035569	0.9109912	0.9190403	0.4413424	0.9980047	1.0220329	0.9819327	0.9879192
0.9086733	0.1141978	0.0058458	0.5574353	0.9204559	0.4063598	0.8470748	1.1864236	1.0423856	1.1234223
0.9811263	0.0762985	0.0007412	1.0210662	0.5110367	0.1458469	0.9783331	1.0077873	0.9114508	1.0200156
0.8611727	0.0753410	0.0045045	0.9407026	0.9437620	0.1743765	0.9148099	1.0062433	1.0185392	1.0537380
0.9594189	0.0747717	0.0077174	0.9417001	1.0648843	0.2048295	0.5481848	1.0501135	0.8589606	1.1150720
0.8497527	0.0827204	0.0142731	0.9475989	1.0325684	0.3068583	0.6208992	0.4715644	0.9203501	1.1134944
0.8901868	0.1083819	0.0024719	1.0716394	0.9421300	0.4033601	0.9050330	1.0031590	0.5557700	0.9329871
0.9300374	0.0877163	0.0105057	1.0841856	0.9845554	0.3756793	0.8593101	0.9401540	0.8760978	0.5085317
