YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.1853302	0.5439331	0.5022160	0.6656645	0.0014275	0.0028238	0.0865757	0.6694174	1.0123806	0.9086758
0.0685348	0.4385014	0.5348802	1.0349320	0.0019924	0.0135135	0.0293578	0.8615486	1.0211191	0.6597792
0.5068810	0.5895390	0.6207134	0.9928693	0.0056005	0.0211682	0.0165010	0.9783093	1.0453846	0.9179011
0.0108603	0.1769662	0.7903226	0.9006628	0.0035298	0.0027891	0.0199003	0.9424356	1.0240400	0.7337403
0.4055852	0.5672455	0.5530394	0.6969699	0.0098386	0.1946150	0.0154896	0.9451904	0.7896159	0.9597963
0.0839320	0.3391636	0.8495570	0.9290178	0.0632526	0.0010085	0.0131110	0.9984642	1.0151579	0.8613071
0.1749822	0.4161022	0.4377920	0.3900220	0.2309808	0.0925718	0.0475514	1.0450372	0.9509361	1.0882720
0.1309047	0.3810096	0.7233678	0.5973325	0.6964520	0.7198196	0.0133493	1.0595275	0.9941748	0.7077917
0.4366266	0.4265254	0.6206258	0.8270048	0.0155830	0.0011432	0.0235521	1.0129574	1.1276168	1.0834272
0.4158619	0.5504982	0.6676599	0.9488723	0.0000315	0.0022850	0.0444233	0.7006438	1.1419880	0.9159453
