"Time"	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W

0	0.8257922	0.2124613	0.1155196	0.9999999	0.4629182	0.5591571	0.4329339	0.0248070	0.6082425	0.3244082
50	0.8019545	0.3234103	0.1153855	1.0000000	0.4181159	0.3111203	0.1715610	0.0073065	0.5992279	0.3189161
100	0.7453899	0.3499699	0.1159975	1.0000000	0.3009426	0.2690592	0.1251330	0.0032213	0.6424476	0.2532221
150	0.7011205	0.3583632	0.1186828	1.0000000	0.2140789	0.2737159	0.1451472	0.0024350	0.7288584	0.2130940
200	0.6753565	0.3666246	0.1231134	1.0000000	0.1898064	0.2759112	0.1760548	0.0024350	0.7925667	0.1984665
250	0.6591762	0.3782127	0.1273590	1.0000000	0.2013702	0.2713567	0.1938519	0.0025702	0.8234100	0.1937435
300	0.6457381	0.3904644	0.1302283	1.0000000	0.2190926	0.2655303	0.1998099	0.0026901	0.8365443	0.1910834
350	0.6332173	0.4004132	0.1319790	1.0000000	0.2307365	0.2615877	0.1998364	0.0027860	0.8431896	0.1887354
400	0.6223202	0.4074183	0.1331452	1.0000000	0.2354695	0.2598424	0.1978997	0.0028716	0.8475934	0.1868973
450	0.6137299	0.4121984	0.1339790	1.0000000	0.2359732	0.2595197	0.1960803	0.0029508	0.8506714	0.1857785
500	0.6073973	0.4155016	0.1345430	1.0000000	0.2348646	0.2597958	0.1950688	0.0030206	0.8525699	0.1852819
550	0.6213025	0.3181262	0.1370803	1.0000000	0.3438063	0.5301105	0.7210879	0.0210229	0.8665565	0.1828780
600	0.6631033	0.2990476	0.1338605	1.0000000	0.5151216	0.4689173	0.7183201	0.0245767	0.8344173	0.2391462
650	0.6980057	0.2843956	0.1265844	1.0000000	0.5759196	0.4318962	0.5225989	0.0245562	0.7755774	0.2501355
700	0.7246245	0.2641202	0.1229898	1.0000000	0.5433640	0.4683016	0.3808244	0.0241812	0.7542550	0.2448873
750	0.7484921	0.2487443	0.1217178	1.0000000	0.4750130	0.5392183	0.3425112	0.0240512	0.7470804	0.2588642
800	0.7684957	0.2396919	0.1201954	1.0000000	0.4280411	0.5903738	0.3775442	0.0241448	0.7168331	0.2929055
850	0.7834044	0.2324546	0.1180930	1.0000000	0.4256048	0.5969567	0.4363164	0.0243747	0.6632038	0.3259692
900	0.7948187	0.2250468	0.1163875	1.0000000	0.4499781	0.5743435	0.4686974	0.0246237	0.6142109	0.3404938
950	0.8045145	0.2186397	0.1154819	1.0000000	0.4720367	0.5515833	0.4623215	0.0248048	0.5911915	0.3365818
1000	0.8127422	0.2144302	0.1152402	0.9999999	0.4780872	0.5440728	0.4393652	0.0248880	0.5930411	0.3258962

0	0.8257922	0.2124613	0.1155196	0.9999999	0.4629182	0.5591571	0.4329339	0.0248070	0.6082425	0.3244082
50	0.8253150	0.2254058	0.1581330	0.3404444	0.4765478	0.3093039	0.4289286	0.0247936	0.6178383	0.2874110
100	0.8001442	0.3956658	0.2988635	0.1354344	0.4777093	0.2342832	0.4191824	0.0247041	0.6948910	0.2067660
150	0.6767574	0.6625465	0.3959067	0.0717110	0.4738593	0.2130336	0.4133114	0.0245455	0.8088240	0.1530000
200	0.5142674	0.8127168	0.4424687	0.0519039	0.4699208	0.2076835	0.4136688	0.0247420	0.8874265	0.1283819
250	0.4031063	0.8772101	0.4746695	0.0457472	0.4685146	0.2062190	0.4172238	0.0257730	0.9246791	0.1187071
300	0.3439423	0.9061220	0.4989109	0.0438335	0.4694155	0.2053143	0.4201899	0.0275939	0.9399893	0.1151316
350	0.3148663	0.9207074	0.5141819	0.0432387	0.4709749	0.2045465	0.4208686	0.0296163	0.9460576	0.1137621
