YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.6420166	0.0537968	0.2701240	0.4284107	0.5849156	0.5356456	0.3079498	0.4515246	0.6233350	0.0574598
0.4804088	0.0426444	0.2059057	0.4670711	0.5953588	0.4249584	0.4492858	0.6013849	0.8275292	0.0711666
0.6552681	0.0000034	0.6059188	0.4598468	0.2000550	0.6220693	0.2402639	0.7306920	0.8643047	0.0030298
0.7519573	0.0008843	0.3280207	0.3862141	0.5437891	0.5024836	0.5015683	0.6167894	0.6306946	0.0360331
0.7161643	0.0937361	0.3474832	0.4763096	0.5016232	0.3819837	0.4064370	0.5107432	0.7135063	0.0494898
0.7255388	0.0001788	0.3820562	0.5986397	0.5002199	0.4157262	0.3852168	0.4500031	0.6853064	0.0295768
0.7613777	0.0336049	0.4460101	0.5732018	0.7061457	0.3253153	0.2929291	0.6315871	0.7407996	0.0058135
0.6117012	0.0915135	0.2599306	0.5770430	0.5556960	0.5369443	0.4931174	0.5302297	0.5289466	0.0680154
0.5034630	0.0453127	0.4500243	0.3472608	0.4523437	0.2442255	0.2571040	0.7250854	0.8076901	0.0195913
0.7060185	0.0907285	0.6037811	0.5423677	0.6788109	0.3123146	0.3615687	0.4599679	0.7294208	0.0310410
