YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
1.0570289	0.8388756	1.0522311	0.9268630	0.1432883	0.4661563	0.7602473	0.1992039	0.4043475	0.2506308
0.9179900	0.8973542	1.0241280	0.9440064	0.3209723	0.7173141	0.6103226	0.2255078	0.3069657	0.1570642
0.6097195	0.5305356	1.0271826	0.9727252	0.0109962	0.4969520	0.9126121	0.0494941	0.2049679	0.5958587
0.7149429	0.6169749	0.9944767	0.7099147	0.0459724	0.4558754	0.9335350	0.1503074	0.3484243	0.6428781
1.0364385	0.5467495	1.0040949	0.0936128	0.7834176	0.3327176	0.2283868	0.5324294	0.4253120	0.0557519
1.0065861	0.6745711	1.0997588	0.4991802	0.4196512	0.7868007	0.3597298	0.4215514	0.1852052	0.3481691
0.8551247	0.9515690	0.0028912	1.0040619	0.3789479	0.6044973	0.5810842	0.2018229	0.0006035	0.0925108
1.0172183	0.7501279	0.9916794	0.1020228	0.7402341	0.5504671	0.3211269	0.6632162	0.4754435	0.0303873
0.8827520	0.6321939	0.9492526	0.8017620	0.0564440	0.3535902	1.0017825	0.0091492	0.0461513	0.5904454
1.0153366	0.6095958	0.2232936	0.9448647	0.0000049	0.4067357	0.8937885	0.0003206	0.0032906	0.4908779
