YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0000000	0.3257357	0.7701721	0.5630006	1.0326969	0.4952496	0.8436660	0.9808699	0.0983689	0.9613614
0.0630472	0.0000000	0.7812093	0.5725665	0.9969524	0.5243951	0.8764262	1.0251367	0.0872387	0.9984535
0.0519449	0.0705875	0.0000000	0.5932333	1.0340093	0.6143394	0.8116262	1.0090664	0.1103950	0.9730752
0.2433039	0.6180638	0.9723881	0.0000000	0.9300989	0.6954667	1.0160984	0.9055489	0.0798589	0.9995749
0.2636916	0.4868424	0.9645684	0.0229793	0.0000000	0.6409800	0.8117256	0.9595051	0.1137804	0.9934369
0.2598823	0.6630620	1.0025367	0.0250335	0.0003057	0.0000000	1.0103434	0.8962877	0.0828296	1.0928742
0.3739080	0.6302793	1.0969251	0.0358434	0.1452610	0.0382790	0.0000000	1.1139340	0.1004234	1.0449437
0.3530294	0.7691184	0.7718359	0.5524225	0.9300586	0.7034222	1.0499961	0.0000000	0.1541856	1.0004351
0.0608322	0.2209142	0.8571383	0.7057225	1.0369465	0.6010046	0.7946799	1.0863961	0.0000000	0.9843100
0.3760926	0.7832656	0.8123585	0.5781588	1.1109622	0.5530367	0.9682954	0.0575616	1.1109935	0.0000000
