YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0000000	0.7846420	0.4000681	0.6966137	0.5173019	0.6126115	0.8662570	0.0502439	0.5270061	0.5674296
0.0292418	0.0000000	0.2272764	0.9168136	0.3528759	0.7447149	0.6205913	0.0048077	0.0545650	0.5094545
1.0581171	0.5388784	0.0000000	0.9570307	0.9316735	0.6841512	0.6350902	0.0641361	0.4450338	0.5871348
0.8773072	0.2422878	0.9991857	0.0000000	0.7362295	0.5870780	1.0392256	0.0122780	0.3061244	0.7046375
0.9278755	0.3849532	0.3837039	0.6583555	0.0000000	0.6162402	0.8298936	0.0171738	0.3855468	0.5660153
0.9068195	0.5019272	0.2253315	0.9465360	1.0236105	0.0000000	0.5931686	0.0212082	0.3384014	1.0810229
0.9514535	0.3544863	0.5163746	0.8017189	0.2124033	1.1362551	0.0000000	0.0202731	0.3411766	0.3514446
0.8770711	0.4014490	0.3810996	0.6793327	0.3663271	0.7548038	0.8192121	0.0000000	0.3430427	0.4808759
1.0193253	0.4975741	0.1461742	1.0094979	0.3563386	0.7300201	0.5934176	0.0090949	0.0000000	0.4482521
0.9700647	0.4644042	0.3361122	0.6564163	0.4301859	0.7380503	0.7463129	0.0127404	0.3493876	0.0000000
