YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.1796690	0.1380473	0.2909398	0.5994154	0.8240013	0.8339500	0.6031682	0.5700365	0.7395121	0.9311319
0.5331273	0.5693066	0.8521051	0.4656626	0.9072949	0.8712069	0.5272677	0.7152313	0.7529258	0.5572221
0.5812378	0.0891370	0.3156757	0.5285233	0.8278143	0.8416166	0.6067877	0.6668131	0.5881443	0.9804028
0.0471228	0.0337434	0.1980386	0.4658422	0.9299613	0.8868835	0.7416679	0.2552848	0.3373048	0.6325399
0.5779582	0.2569118	0.5724660	0.6810527	0.7784289	0.8578289	0.3775214	0.8546066	0.8386473	0.9493103
0.2987882	0.1581430	0.3027987	0.6194012	0.8073155	0.7500281	0.3720352	0.6811752	0.7934760	0.9453595
0.1659779	0.0608497	0.2519569	0.4981891	1.0002401	0.7690570	0.5462548	0.7550153	0.9107245	0.9986810
0.1620485	0.1366368	0.3347881	0.6210409	0.8158884	0.9082309	0.3368803	0.3727138	0.5275788	0.7103391
0.4445953	0.0662756	0.2309229	0.5370389	0.8491833	0.9248353	0.8309139	0.1310487	0.3367716	0.7934992
0.4886123	0.3571114	0.3576217	0.5191127	0.8568002	0.8376311	0.5902077	0.6860215	0.8482736	0.8037598
