"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C

0	0.0659003	0.3579671	0.9928334	0.5786026	0.7180403	0.7753799	0.3456459	0.8816909	0.0898511	1.0000000
50	0.0630256	0.2841241	0.9927856	0.5988904	0.7182008	0.7753137	0.3455809	0.8827628	0.0914608	0.8727843
100	0.0496741	0.1963055	0.9924023	0.6100908	0.7182859	0.7752915	0.3462239	0.8601935	0.1019019	0.7351428
150	0.0350430	0.1437487	0.9906618	0.6033856	0.7184024	0.7745985	0.3513672	0.8051572	0.1226948	0.6610423
200	0.0256213	0.1175597	0.9860714	0.5903658	0.7191872	0.7716620	0.3631604	0.7383689	0.1513083	0.6277458
250	0.0209999	0.1057395	0.9768651	0.5795248	0.7217586	0.7656211	0.3795928	0.6817446	0.1839949	0.6139529
300	0.0193640	0.1010386	0.9617490	0.5735168	0.7267946	0.7572902	0.3964805	0.6431499	0.2157231	0.6084873
350	0.0195026	0.0998703	0.9412983	0.5717361	0.7338485	0.7484924	0.4104772	0.6205210	0.2419811	0.6063786
400	0.0208125	0.1005616	0.9183815	0.5726301	0.7416278	0.7408466	0.4203040	0.6090394	0.2607075	0.6055788
450	0.0229308	0.1022459	0.8967359	0.5747517	0.7487859	0.7351430	0.4262504	0.6045597	0.2722673	0.6052789
500	0.0254933	0.1043517	0.8791508	0.5770918	0.7544847	0.7314241	0.4292418	0.6042446	0.2782428	0.6051672
550	0.0285596	0.1903897	0.8670593	0.5630452	0.7584861	0.7293029	0.4308446	0.6042207	0.2745796	0.7323415
600	0.0359240	0.2929310	0.8658704	0.5664527	0.7610001	0.7283493	0.4272979	0.6673731	0.2410329	0.8699679
650	0.0500356	0.3539031	0.8834108	0.5794485	0.7620179	0.7306976	0.4103325	0.7551678	0.1899914	0.9440627
700	0.0652544	0.3806110	0.9134590	0.5889183	0.7601838	0.7383009	0.3877804	0.8219920	0.1461463	0.9773572
750	0.0755292	0.3866792	0.9425848	0.5928294	0.7544587	0.7488927	0.3688804	0.8614319	0.1178235	0.9911493
800	0.0795359	0.3829759	0.9638744	0.5926535	0.7459688	0.7589591	0.3563666	0.8809461	0.1021380	0.9966146
850	0.0790725	0.3763516	0.9771965	0.5902721	0.7370445	0.7665584	0.3492739	0.8886258	0.0942691	0.9987232
900	0.0765034	0.3701508	0.9848128	0.5871656	0.7295308	0.7714337	0.3458056	0.8901848	0.0906800	0.9995230
950	0.0735139	0.3654760	0.9889214	0.5842596	0.7241568	0.7741524	0.3444478	0.8890898	0.0892741	0.9998229
1000	0.0709411	0.3623439	0.9910387	0.5819869	0.7208008	0.7754442	0.3441748	0.8872159	0.0889062	0.9999346

0	0.0659003	0.3579671	0.9928334	0.5786026	0.7180403	0.7753799	0.3456459	0.8816909	0.0898511	1.0000000
50	0.0653022	0.3579808	0.9928013	0.5813989	0.7312414	0.6973526	0.2383960	0.8816464	0.0898853	1.0000000
100	0.0647265	0.3579947	0.9927785	0.5939259	0.7719995	0.6770560	0.1588189	0.8816320	0.0899016	1.0000000
150	0.0644510	0.3580063	0.9927573	0.6060647	0.7937835	0.6946005	0.1285299	0.8816305	0.0899085	1.0000000
200	0.0643430	0.3580161	0.9927386	0.6108347	0.7920404	0.7107884	0.1182433	0.8816338	0.0899110	1.0000000
250	0.0643058	0.3580243	0.9927258	0.6102051	0.7825198	0.7195349	0.1148543	0.8816383	0.0899115	1.0000000
300	0.0642952	0.3580307	0.9927196	0.6076069	0.7743626	0.7234384	0.1137475	0.8816429	0.0899111	1.0000000
350	0.0642935	0.3580350	0.9927183	0.6050556	0.7694517	0.7250198	0.1133867	0.8816468	0.0899105	1.0000000
400	0.0642942	0.3580375	0.9927194	0.6032345	0.7669710	0.7256248	0.1132691	0.8816499	0.0899099	1.0000000
450	0.0642950	0.3580385	0.9927213	0.6021384	0.7658456	0.7258480	0.1132307	0.8816520	0.0899093	1.0000000
500	0.0642956	0.3580386	0.9927231	0.6015492	0.7653708	0.7259282	0.1132181	0.8816532	0.0899089	1.0000000
550	0.0648762	0.3580382	0.9927247	0.5982990	0.7504006	0.8131185	0.2205114	0.8816538	0.0899086	1.0000000
600	0.0654503	0.3580377	0.9927287	0.5860995	0.7033990	0.8311539	0.3001076	0.8816540	0.0899085	1.0000000
650	0.0657294	0.3580365	0.9927390	0.5728586	0.6802265	0.8095155	0.3304039	0.8816538	0.0899084	1.0000000
700	0.0658419	0.3580340	0.9927532	0.5659673	0.6850144	0.7914144	0.3406929	0.8816534	0.0899084	1.0000000
750	0.0658828	0.3580302	0.9927653	0.5660965	0.6976452	0.7819892	0.3440826	0.8816524	0.0899085	1.0000000
800	0.0658959	0.3580262	0.9927716	0.5695485	0.7076443	0.7778666	0.3451896	0.8816509	0.0899086	1.0000000
850	0.0658992	0.3580229	0.9927722	0.5731848	0.7134255	0.7762169	0.3455504	0.8816491	0.0899088	1.0000000
900	0.0658994	0.3580211	0.9927697	0.5758025	0.7162712	0.7755908	0.3456681	0.8816473	0.0899091	1.0000000
950	0.0658991	0.3580207	0.9927664	0.5773657	0.7175393	0.7753611	0.3457066	0.8816460	0.0899094	1.0000000
1000	0.0658990	0.3580211	0.9927634	0.5781965	0.7180675	0.7752788	0.3457194	0.8816453	0.0899096	1.0000000

0	0.0659003	0.3579671	0.9928334	0.5786026	0.7180403	0.7753799	0.3456459	0.8816909	0.0898511	1.0000000
50	0.1868015	0.3579808	0.9928015	0.5776770	0.6908984	0.7753072	0.3456925	0.8816464	0.0898853	1.0000000
100	0.3064141	0.3579945	0.9927832	0.5727465	0.6699372	0.7752681	0.3457146	0.8816320	0.0899016	1.0000000
150	0.3646401	0.3580050	0.9927761	0.5669468	0.6622755	0.7752483	0.3457240	0.8816304	0.0899085	1.0000000
200	0.3882853	0.3580117	0.9927762	0.5629729	0.6599567	0.7752389	0.3457274	0.8816333	0.0899110	1.0000000
250	0.3971412	0.3580150	0.9927792	0.5608896	0.6593137	0.7752349	0.3457281	0.8816367	0.0899116	1.0000000
300	0.4003159	0.3580160	0.9927825	0.5599545	0.6591445	0.7752335	0.3457278	0.8816393	0.0899114	1.0000000
350	0.4014245	0.3580159	0.9927850	0.5595743	0.6591015	0.7752332	0.3457273	0.8816409	0.0899110	1.0000000
400	0.4018052	0.3580153	0.9927867	0.5594296	0.6590908	0.7752333	0.3457269	0.8816415	0.0899107	1.0000000
450	0.4019343	0.3580146	0.9927876	0.5593770	0.6590880	0.7752335	0.3457267	0.8816416	0.0899106	1.0000000
500	0.4019776	0.3580141	0.9927882	0.5593585	0.6590873	0.7752336	0.3457266	0.8816415	0.0899105	1.0000000
550	0.2810730	0.3580137	0.9927884	0.5606850	0.6863929	0.7752337	0.3457266	0.8816413	0.0899105	1.0000000
600	0.1614634	0.3580136	0.9927868	0.5662958	0.7074500	0.7752337	0.3457266	0.8816411	0.0899105	1.0000000
650	0.1032426	0.3580138	0.9927819	0.5721238	0.7151643	0.7752337	0.3457266	0.8816409	0.0899105	1.0000000
700	0.0796027	0.3580149	0.9927751	0.5758017	0.7175108	0.7752337	0.3457267	0.8816410	0.0899105	1.0000000
750	0.0707510	0.3580166	0.9927689	0.5776332	0.7181677	0.7752337	0.3457267	0.8816413	0.0899105	1.0000000
800	0.0675793	0.3580186	0.9927643	0.5784296	0.7183435	0.7752337	0.3457266	0.8816420	0.0899105	1.0000000
850	0.0664727	0.3580205	0.9927614	0.5787473	0.7183892	0.7752337	0.3457265	0.8816428	0.0899104	1.0000000
900	0.0660933	0.3580220	0.9927597	0.5788669	0.7184009	0.7752338	0.3457263	0.8816438	0.0899103	1.0000000
950	0.0659649	0.3580231	0.9927588	0.5789100	0.7184038	0.7752339	0.3457261	0.8816446	0.0899101	1.0000000
1000	0.0659219	0.3580238	0.9927584	0.5789251	0.7184045	0.7752340	0.3457259	0.8816454	0.0899100	1.0000000

0	0.0659003	0.3579671	0.9928334	0.5786026	0.7180403	0.7753799	0.3456459	0.8816909	0.0898511	1.0000000
50	0.0501133	0.3183136	0.8818484	0.4557642	0.7667492	0.4207936	0.3457272	0.8795192	0.0777008	1.0000000
100	0.0344219	0.2821479	0.7564515	0.4202741	0.8929745	0.1825463	0.3465228	0.8662347	0.0676613	1.0000000
150	0.0295016	0.2755854	0.6837086	0.4790963	0.9637830	0.1016772	0.3491481	0.8473166	0.0648139	1.0000000
200	0.0321405	0.2845866	0.6474605	0.5296356	0.9892257	0.0771591	0.3528683	0.8351663	0.0655664	1.0000000
250	0.0375734	0.2966558	0.6303525	0.5553823	0.9969770	0.0698548	0.3558081	0.8330879	0.0669889	1.0000000
300	0.0428439	0.3064710	0.6224389	0.5662752	0.9991603	0.0676420	0.3569702	0.8373172	0.0676773	1.0000000
350	0.0468652	0.3130490	0.6188146	0.5704939	0.9997495	0.0669697	0.3566132	0.8434526	0.0674816	1.0000000
400	0.0495647	0.3170110	0.6171819	0.5720483	0.9999046	0.0667935	0.3554925	0.8489865	0.0667896	1.0000000
450	0.0512306	0.3192376	0.6164732	0.5726007	0.9999448	0.0667852	0.3542356	0.8530924	0.0659926	1.0000000
500	0.0521959	0.3204262	0.6161880	0.5727885	0.9999550	0.0668288	0.3531688	0.8558145	0.0653079	1.0000000
550	0.0894606	0.3791458	0.7274922	0.7040672	0.9975134	0.4195057	0.3523246	0.8609258	0.0772365	1.0000000
600	0.1104706	0.4237160	0.8531561	0.7256946	0.9510707	0.6567972	0.3506980	0.8775647	0.0868683	1.0000000
650	0.1122452	0.4238016	0.9257262	0.6792972	0.8592019	0.7381084	0.3475135	0.8944421	0.0891531	1.0000000
700	0.1059653	0.4063661	0.9617482	0.6386719	0.7859744	0.7639651	0.3441094	0.9030302	0.0883187	1.0000000
750	0.0962322	0.3885691	0.9787783	0.6119896	0.7462834	0.7728116	0.3418688	0.9037175	0.0871881	1.0000000
800	0.0865512	0.3756563	0.9867161	0.5957655	0.7281990	0.7761739	0.3411131	0.8999875	0.0867280	1.0000000
850	0.0788474	0.3675827	0.9903816	0.5865926	0.7205799	0.7773775	0.3414499	0.8949634	0.0869359	1.0000000
900	0.0735095	0.3629434	0.9920291	0.5818091	0.7175777	0.7775534	0.3423171	0.8904301	0.0875103	1.0000000
950	0.0701392	0.3604243	0.9927178	0.5795282	0.7166097	0.7772447	0.3432812	0.8870269	0.0881698	1.0000000
1000	0.0681490	0.3591178	0.9929576	0.5785745	0.7165437	0.7767704	0.3441090	0.8847463	0.0887485	1.0000000

0	0.0659003	0.3579671	0.9928334	0.5786026	0.7180403	0.7753799	0.3456459	0.8816909	0.0898511	1.0000000
50	0.0658803	0.3579736	0.9933003	0.5613344	0.4279330	0.7871975	0.2381790	0.8816471	0.0610661	1.0000000
100	0.0658361	0.3578487	0.9952903	0.4230034	0.2024917	0.8339643	0.1584410	0.8816282	0.0363603	1.0000000
150	0.0656973	0.3574514	0.9972878	0.2494156	0.1161990	0.8793521	0.1280915	0.8815754	0.0261283	1.0000000
200	0.0654628	0.3568981	0.9985762	0.1484977	0.0863944	0.9062132	0.1177887	0.8814365	0.0226015	1.0000000
250	0.0651845	0.3563730	0.9992795	0.1034168	0.0757677	0.9189140	0.1144041	0.8812166	0.0214848	1.0000000
300	0.0649196	0.3559709	0.9996362	0.0851646	0.0717471	0.9242422	0.1133126	0.8809648	0.0211522	1.0000000
350	0.0647029	0.3557010	0.9998105	0.0780666	0.0701676	0.9263206	0.1129723	0.8807316	0.0210619	1.0000000
400	0.0645445	0.3555353	0.9998937	0.0753554	0.0695422	0.9270896	0.1128754	0.8805448	0.0210434	1.0000000
450	0.0644382	0.3554397	0.9999329	0.0743300	0.0692977	0.9273601	0.1128549	0.8804103	0.0210445	1.0000000
500	0.0643714	0.3553870	0.9999510	0.0739455	0.0692045	0.9274488	0.1128561	0.8803209	0.0210496	1.0000000
550	0.0643316	0.3553591	0.9999377	0.0822738	0.2996170	0.9138130	0.2204695	0.8802649	0.0499412	1.0000000
600	0.0643120	0.3553558	0.9995741	0.1870763	0.4922550	0.8639766	0.3003058	0.8802314	0.0747255	1.0000000
650	0.0643291	0.3554449	0.9982076	0.3422922	0.5938357	0.8192318	0.3306979	0.8802175	0.0849927	1.0000000
700	0.0644238	0.3557360	0.9963608	0.4540605	0.6527569	0.7941228	0.3410204	0.8802436	0.0885347	1.0000000
750	0.0646114	0.3562068	0.9948417	0.5172744	0.6864208	0.7826366	0.3444145	0.8803439	0.0896570	1.0000000
800	0.0648627	0.3567241	0.9938579	0.5497041	0.7039976	0.7779170	0.3455041	0.8805258	0.0899863	1.0000000
850	0.0651277	0.3571730	0.9932982	0.5655238	0.7123653	0.7761037	0.3458283	0.8807579	0.0900630	1.0000000
900	0.0653648	0.3575063	0.9930044	0.5729762	0.7160542	0.7754465	0.3458965	0.8809943	0.0900589	1.0000000
950	0.0655522	0.3577285	0.9928592	0.5763804	0.7175786	0.7752287	0.3458816	0.8811998	0.0900307	1.0000000
1000	0.0656868	0.3578650	0.9927918	0.5778879	0.7181694	0.7751715	0.3458449	0.8813587	0.0899986	1.0000000

0	0.0659003	0.3579671	0.9928334	0.5786026	0.7180403	0.7753799	0.3456459	0.8816909	0.0898511	1.0000000
50	0.0682824	0.3644028	0.7946876	0.5952725	0.7699808	0.3895511	0.3456913	0.8817810	0.0898846	1.0000000
100	0.0992419	0.4095321	0.5698043	0.7096160	0.8982091	0.1303184	0.3456019	0.8851423	0.0898334	1.0000000
150	0.2035506	0.4932710	0.4386171	0.8444920	0.9665275	0.0423779	0.3447261	0.8973647	0.0892861	1.0000000
