YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0000028	0.5419639	0.8628408	0.7999810	0.8721810	0.5568294	0.9692303	0.6697027	0.4672215	0.7278287
0.0739093	0.0000006	0.8628409	0.7999813	0.8721812	0.5568293	0.9692301	0.6697014	0.4672230	0.7278305
0.6196702	0.9428673	0.0000000	0.7999813	0.8721812	0.5568293	0.9692301	0.6697014	0.4672230	0.7278305
0.4189715	0.5592980	0.7094006	0.0000041	0.5479785	0.9993993	0.6248979	0.7172660	0.4926828	0.6849535
0.4346894	0.5834829	0.8649526	0.7999780	0.0000000	0.5568329	0.9773195	0.8649128	0.6104474	0.4805721
0.4061828	0.5398105	0.8641998	0.9999120	0.9999824	0.0000012	0.9744768	0.6596313	0.4621397	0.7360481
0.6185134	0.9400593	0.0241668	0.9992106	0.9996591	0.0769977	0.0000003	0.6593470	0.4621231	0.7362323
0.4144495	0.5527843	0.6650122	0.8008035	0.8728137	0.5557491	0.5674814	0.0000000	0.4671930	0.7278788
0.0787836	0.0345097	0.6662872	0.8008255	0.8728273	0.5557508	0.5690565	0.0208489	0.0000000	0.9999999
0.0834392	0.0512825	0.6663229	0.8008232	0.8728257	0.5557520	0.5690973	0.0210628	0.0567235	0.0000000
