YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.1293537	0.9997414	0.7376912	0.2506962	0.3827631	0.6207995	0.5116081	0.9175637	0.4583347	1.0000000
0.2575085	0.5001250	0.7363689	0.2491087	0.3844361	0.6229782	0.5141252	0.9103605	0.4600157	1.0000000
0.5194743	0.9921696	0.3680947	0.2488218	0.3847869	0.6234770	0.5147363	0.9085980	0.4603694	1.0000000
0.3754868	0.9983891	0.5076643	0.1244569	0.3846760	0.6233221	0.5145537	0.9091065	0.4602576	1.0000000
0.2195455	0.9999116	0.9179829	0.6341484	0.1921463	0.6227549	0.5138244	0.9112785	0.4598704	1.0000000
0.3734534	0.9999176	0.9294695	0.7057594	0.1682422	0.3627400	0.6564231	0.5715566	0.2257090	1.0000000
0.3707621	0.9999134	0.9205415	0.6487170	0.1875349	0.3884463	0.3131901	0.6321397	0.2484283	1.0000000
0.2255219	0.9992705	0.5968328	0.1608473	0.4872885	0.7536352	0.7079167	0.4738937	0.5595757	1.0000000
0.4438633	0.9995258	0.6531596	0.1902407	0.4461438	0.6998384	0.6152964	0.6563883	0.2602424	1.0000000
0.2575122	0.9997401	0.7363550	0.2491048	0.3844351	0.6229757	0.5141230	0.9103628	0.4600146	0.5001290
