YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.3564222	0.1366810	0.8467186	0.1178303	0.2736420	0.7284853	0.0163620	0.5713476	0.1827068	0.0397952
0.8055174	0.0576407	0.7635116	0.3004965	0.2997031	0.9582333	0.0656774	0.4737970	0.1106873	0.0258983
0.2015130	0.5716726	0.4441097	0.0697904	0.2883222	0.8823580	0.0094768	0.6186727	0.0937403	0.0461387
0.5334844	0.2050934	0.7337494	0.1229184	0.3123836	0.7510715	0.0395303	0.4655143	0.1051023	0.0333293
0.5374167	0.0693577	0.7585126	0.2443335	0.2085725	0.7403309	0.0117386	0.6550478	0.1485863	0.0459759
0.5432674	0.2111550	0.7878812	0.1617172	0.2807229	0.4760844	0.0228359	0.5753604	0.1289424	0.0241213
0.5785894	0.1469723	0.7866051	0.2443228	0.3964667	0.7256655	0.0207198	0.4739955	0.1362875	0.0325752
0.5113813	0.1177765	0.6744437	0.3088629	0.4465831	0.8083534	0.0262010	0.2876723	0.1609518	0.0349644
0.5866486	0.1261220	0.6702544	0.3361412	0.4469062	0.9056524	0.0052123	0.3360539	0.0624802	0.0574264
0.5794752	0.0869980	0.9667013	0.2089468	0.4700091	0.7657717	0.0144271	0.5434351	0.1035502	0.0218191
