YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.3687918	0.4422943	0.6733755	0.4821611	0.1627078	0.1034460	0.1933624	0.6559523	0.5687197	0.7858763
0.4340334	0.1814172	0.6463896	0.3997371	0.3567622	0.0884285	0.2361060	0.7909669	0.5602068	0.7520652
0.6485656	0.2260994	0.2355789	0.4928542	0.1311146	0.0375876	0.2863902	0.6343566	0.3476706	0.8528517
0.7179652	0.3300560	0.4333654	0.2881481	0.1396931	0.0365447	0.2659248	0.7789879	0.4865975	0.8547643
0.7287207	0.4038129	0.6076827	0.6268785	0.0854631	0.0655188	0.2484530	0.6768616	0.3633208	0.9056161
0.7295783	0.3982625	0.6120697	0.6754403	0.1324274	0.0604125	0.4540608	0.6302172	0.4296301	0.7752007
0.8921026	0.5209496	0.5776966	0.5631360	0.0928931	0.0096827	0.1234685	0.6229132	0.3279145	0.8424889
0.7427552	0.3352896	0.4033809	0.3230058	0.5753187	0.2342354	0.4944066	0.3792545	0.8611431	0.7541250
0.6856145	0.3861436	0.5939869	0.4405022	0.3231387	0.0510321	0.2374821	0.7591191	0.3120748	0.8065378
0.6737841	0.3487493	0.3627095	0.4073105	0.5428621	0.4324562	0.5161114	0.3302673	0.6387025	0.3732845
