YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1326289	0.1940006	0.6209198	0.7815761	0.8172748	0.3007259	0.8076361	0.3600624	0.2015324	0.5097528
0.0003368	0.0117047	0.6272041	0.4493389	0.3305656	0.5559319	0.6171695	0.3600371	0.3020451	0.5800894
0.1611403	0.3316682	0.7368783	0.8030721	0.7949264	0.3271705	0.7944332	0.4699600	0.2819850	0.5056139
0.2404308	0.5007992	0.6611603	0.5995874	0.3507266	0.5036153	0.7198500	0.6707569	0.3797588	0.4345029
0.1664509	0.3476867	0.6043003	0.6350985	0.7392895	0.1971864	0.6845567	0.6350396	0.4465197	0.4013513
0.2270677	0.2356684	0.8049726	0.6824073	0.6400666	0.0968513	0.8045845	0.1358432	0.2564610	0.6513170
0.1930149	0.3678374	0.7210212	0.7040588	0.5860015	0.1362741	0.7534166	0.6313237	0.3183599	0.3948767
0.6104195	0.5890184	0.7809525	0.3007029	0.3122774	0.6491240	0.8226174	0.6928351	0.4327311	0.3712678
0.5549782	0.4708392	0.8606433	0.3503731	0.2716428	0.5706676	0.6990170	0.7095502	0.5687811	0.2095651
0.6004601	0.5278244	0.5674536	0.5405484	0.4371876	0.3263476	0.6204616	0.2178349	0.2514926	0.5474759
