"Time"	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W

0	0.4025166	0.3872091	0.5195947	0.2081430	0.2118976	0.3398785	0.7628761	0.2709774	0.4669503	0.6592300
50	0.6303834	0.4243986	0.4601085	0.1637663	0.2801285	0.2986560	0.6215749	0.2187183	0.3458108	0.7079829
100	0.6059738	0.4587319	0.6645015	0.1069558	0.1678091	0.4074638	0.3341395	0.1668326	0.4641589	0.7111597
150	0.5281538	0.3918287	0.5344230	0.1274449	0.2760463	0.3069326	0.2831303	0.1543575	0.5822908	0.6947084
200	0.4898512	0.5743274	0.5479190	0.0898429	0.2752894	0.4297569	0.2547931	0.0813527	0.4788029	0.6825280
250	0.6315217	0.4059830	0.5183661	0.1109419	0.2810536	0.5027729	0.1814456	0.0476056	0.4792946	0.7836046
300	0.5559481	0.4327947	0.6772539	0.0824407	0.3709903	0.4502229	0.1786995	0.0471516	0.5063396	0.7403583
350	0.4578563	0.3381914	0.6713893	0.0423886	0.3312139	0.4951428	0.2469667	0.0114868	0.5640472	0.7191951
400	0.5425829	0.4314106	0.6520951	0.0105762	0.3893013	0.3584380	0.1193506	0.0222148	0.5054021	0.9042922
450	0.4799753	0.4134538	0.7813217	0.0631338	0.3918881	0.5796304	0.1465034	0.0062369	0.4037849	0.7177088
500	0.4957162	0.4986826	0.8216021	0.0509343	0.3959874	0.5829264	0.1558193	0.0014768	0.4355396	0.8574719
550	0.5410377	0.4319334	0.7417017	0.0210815	0.3787240	0.6772451	0.2540223	0.0033688	0.5348928	0.7429307
600	0.6257540	0.5504990	0.7999894	0.0149265	0.3877003	0.5742584	0.4730271	0.0051281	0.4655883	0.6850635
650	0.5926092	0.4745733	0.6938300	0.0238870	0.3313469	0.5112685	0.6870810	0.0377686	0.5551075	0.7671144
700	0.6045174	0.6340985	0.7491253	0.0210364	0.3560006	0.4109051	0.7941334	0.0144218	0.5623336	0.7333898
750	0.5989542	0.4522818	0.5932961	0.0383498	0.3804619	0.4677926	0.8283814	0.0254263	0.3928292	0.7306087
800	0.5644314	0.6053967	0.7381156	0.0442678	0.2596027	0.2197669	0.6266902	0.0141190	0.3917368	0.7809493
850	0.8019920	0.5787267	0.7280319	0.0607916	0.2597559	0.3216424	0.7310979	0.0225434	0.4208743	0.8468947
900	0.5769386	0.7245616	0.6349461	0.0668865	0.2316999	0.2266759	0.7194248	0.0981937	0.4997088	0.7442737
950	0.6823129	0.5500632	0.6116291	0.0872894	0.2299013	0.2795174	0.7188991	0.1422664	0.4081498	0.8007602
1000	0.6089955	0.4625001	0.6827348	0.0835980	0.2265900	0.2862234	0.7305045	0.1013962	0.4831138	0.7106701

0	0.5012646	0.4071139	0.5051623	0.1607042	0.2544974	0.2282060	0.8500735	0.2621937	0.4835168	0.7183010
50	0.5766909	0.4024854	0.4830966	0.2258075	0.2357910	0.3383047	0.7273157	0.2478313	0.2709871	0.6303318
100	0.5601697	0.3800090	0.4606999	0.1736201	0.2661670	0.3338904	0.7580619	0.2749721	0.2026037	0.3852429
150	0.5297190	0.4265838	0.5072800	0.1350320	0.3253164	0.2818758	0.7344283	0.2124716	0.0497795	0.2596006
200	0.5983091	0.4221364	0.6211429	0.0670565	0.3344143	0.2836119	0.7647189	0.1620378	0.0105075	0.2680092
250	0.5657073	0.3279572	0.6922401	0.0877528	0.3451896	0.3040629	0.7447827	0.0675898	0.0238919	0.1967037
300	0.5393592	0.5176039	0.7473587	0.0911277	0.3517553	0.2988479	0.7657382	0.1073101	0.0043559	0.2235119
350	0.5776953	0.4840531	0.7231020	0.0714825	0.3553853	0.1923137	0.7228331	0.1070055	0.0071974	0.1627248
400	0.5495697	0.3897002	0.7194575	0.0509776	0.2960223	0.2516734	0.6898983	0.0427365	0.0064947	0.2332663
450	0.5958405	0.4122947	0.7663719	0.0588854	0.4093059	0.3024033	0.8991304	0.0352263	0.0125971	0.2404986
500	0.4691527	0.4869472	0.9040243	0.0616874	0.2861039	0.2780886	0.9238907	0.0656600	0.0472456	0.2316744
550	0.6038450	0.5207104	0.6477077	0.0785957	0.2465990	0.2328990	0.7902919	0.0213970	0.1835370	0.5805516
600	0.6154390	0.4260928	0.6818615	0.0908136	0.2853145	0.2091066	0.8197608	0.0279637	0.3994548	0.6038096
650	0.5342187	0.4672886	0.5604680	0.0825907	0.2021372	0.2018322	0.8120080	0.0443215	0.3575941	0.6876307
700	0.4611624	0.4603779	0.7455846	0.0882533	0.1728338	0.2622434	0.8694679	0.0935803	0.4413031	0.7909606
750	0.5451037	0.5389697	0.6590134	0.1606455	0.1680836	0.3159222	0.5981234	0.1705233	0.6557951	0.7046206
800	0.5951995	0.3753740	0.5957745	0.2238213	0.2830064	0.2234449	0.8525018	0.2735486	0.6364319	0.6725631
850	0.6626371	0.4030856	0.4506077	0.1909053	0.2063613	0.2477050	0.7972947	0.2821698	0.4950203	0.8190313
900	0.4892481	0.4272654	0.5950662	0.1996730	0.2033645	0.3707764	0.8305117	0.2558225	0.4536245	0.6108550
950	0.4710294	0.3556700	0.5327236	0.2360209	0.2134897	0.3331301	0.7955417	0.2436196	0.5282899	0.6389791
1000	0.5938083	0.4142736	0.5519538	0.2164220	0.1714616	0.3722478	0.8055092	0.3405318	0.4693094	0.8104582

0	0.5015981	0.4323398	0.5134463	0.2395317	0.2541732	0.2682342	0.8841884	0.2431063	0.4721852	0.7372840
50	0.5666100	0.4466712	0.4130194	0.2936042	0.2481429	0.1969883	0.7263257	0.3830142	0.4344066	0.7190828
100	0.6219967	0.3690193	0.4708652	0.2116215	0.1949523	0.1403604	0.7423231	0.2194859	0.4242274	0.7748719
150	0.5084645	0.3459856	0.5056525	0.2674761	0.1549682	0.1359807	0.7307513	0.2849949	0.3510377	0.7475934
200	0.4842592	0.4419584	0.5228802	0.3095822	0.1034021	0.2126895	0.6789673	0.2464614	0.5158311	0.7028606
250	0.6164341	0.3733830	0.5125681	0.2516647	0.1361119	0.1380479	0.7792844	0.3794816	0.5970652	0.7780996
300	0.6970136	0.2658874	0.4199036	0.3575142	0.1257010	0.1252595	0.7186260	0.4565054	0.6176997	0.7971690
350	0.6416140	0.3041589	0.4231814	0.3752476	0.0791741	0.2160008	0.7022252	0.3484540	0.3755620	0.7962272
400	0.5546698	0.3467004	0.3723289	0.3223548	0.1474897	0.2086065	0.6888485	0.5623477	0.4232455	0.7858851
450	0.5484956	0.2611034	0.4718351	0.3799916	0.1715687	0.2360457	0.7367963	0.4636019	0.4178071	0.7411872
500	0.4987935	0.2839854	0.4345462	0.3137823	0.1005164	0.1194500	0.7766003	0.5684745	0.3292517	0.6997973
550	0.5505712	0.3080631	0.4564199	0.2453125	0.1298819	0.2097920	0.7077038	0.5458759	0.2900568	0.6709535
600	0.4765132	0.4504403	0.3560436	0.2794367	0.1028896	0.2261230	0.7591056	0.5835544	0.5087024	0.7318126
650	0.2948241	0.3333581	0.3183468	0.3969317	0.1367394	0.3295261	0.7116141	0.5870788	0.3467549	0.8297819
700	0.5850183	0.2826915	0.3899996	0.3155075	0.1322110	0.1900252	0.7263564	0.6386740	0.3158545	0.7793195
750	0.3863325	0.2548612	0.3344055	0.3055618	0.1543514	0.2640311	0.8714770	0.6522196	0.4336384	0.8139577
800	0.4468019	0.2617916	0.3148258	0.3721586	0.1837125	0.2762558	0.8057444	0.5500309	0.3764096	0.6258727
850	0.4025840	0.2967463	0.4222656	0.3322798	0.2171965	0.2107142	0.8670094	0.5047035	0.4755153	0.6987958
900	0.2923668	0.3714504	0.4300831	0.2648004	0.2306200	0.2387928	0.7905819	0.4132952	0.4922508	0.7467406
950	0.3254273	0.3929619	0.5458831	0.2005729	0.2163025	0.2224704	0.8765751	0.3468364	0.5285344	0.7835040
1000	0.4059669	0.3550410	0.5140792	0.2134220	0.2456988	0.2584818	0.6708278	0.3707905	0.4959088	0.7425422

0	0.4757971	0.4047812	0.4937207	0.1738197	0.1713301	0.2838508	0.7544848	0.2934145	0.3891935	0.7285600
50	0.7286245	0.3710300	0.2626418	0.0962860	0.2565475	0.3062090	0.6279847	0.1818858	0.4914849	0.6443758
100	0.6880531	0.3494022	0.0968080	0.1518919	0.1903835	0.2945345	0.7531568	0.2176119	0.2781223	0.3190281
150	0.5858522	0.4808063	0.1504899	0.1156057	0.1889976	0.2803521	0.6876894	0.2633820	0.2990808	0.2923788
200	0.5629447	0.2648145	0.0903865	0.2012364	0.1833248	0.2964754	0.9467185	0.2561037	0.2474229	0.2334448
250	0.5238868	0.2378226	0.0431884	0.1606928	0.2952054	0.2672317	0.8087714	0.2830420	0.2705510	0.2845496
300	0.3689339	0.2756887	0.0802925	0.1447198	0.2595590	0.3287632	0.7885035	0.2529506	0.3559081	0.1607429
350	0.3649562	0.2226842	0.0612657	0.2341651	0.2385795	0.3015558	0.6896080	0.3345044	0.3379267	0.1530284
400	0.3122190	0.2840165	0.0643728	0.2016380	0.3115068	0.2052632	0.5846727	0.2516277	0.3162904	0.1949888
450	0.4288222	0.3019802	0.0666623	0.2092302	0.2461703	0.2678738	0.5815580	0.2299202	0.4244361	0.1026961
500	0.4312619	0.3079826	0.0817821	0.1495841	0.2426916	0.2952035	0.7280613	0.3069812	0.3886232	0.1520906
550	0.3244559	0.2879926	0.4624905	0.1389238	0.2164741	0.3076028	0.6166268	0.2226888	0.3841866	0.3329929
600	0.2903952	0.1929520	0.5041833	0.1658475	0.2724673	0.3232243	0.7480829	0.2171204	0.5443132	0.6511078
650	0.4541746	0.2443050	0.4962982	0.1239259	0.2764596	0.2819681	0.7153610	0.2021317	0.6036082	0.6745207
