YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.0003641	0.7728455	0.2588608	0.2598474	0.0577118	0.3992595	0.2353861	0.7236698	0.6921927	0.7873939
0.7997447	0.0000000	0.2181605	0.4178269	0.2310898	0.3690412	0.2023439	0.4394962	0.8035320	0.8661564
0.7446367	0.0167144	0.0000000	0.3031627	0.3700094	0.2793236	0.1838763	0.4289608	0.6783765	0.7336515
0.1538105	0.7573858	0.7178889	0.0000000	0.0540422	0.2342837	0.2136410	0.5250653	0.7895788	0.7426440
0.1767038	0.7883064	0.1411463	0.3320679	0.0000000	0.2305230	0.1800199	0.4036407	0.6932555	0.7150285
0.1279913	0.7093024	0.8173160	0.0312237	0.0492427	0.0000000	0.1958267	0.5093608	0.6438091	0.7528843
0.2391549	0.9120651	0.1061560	0.5542611	0.3706116	0.8452098	0.0000000	0.7050609	0.6033251	0.7664465
0.1758539	0.7874650	0.2202400	0.1744950	0.0519900	0.2030671	0.8917483	0.0000000	0.7064878	0.5952544
0.1948612	0.7185885	0.1711396	0.3189486	0.0359617	0.3187977	0.1796874	0.7737413	0.0000000	0.7875579
0.1726026	0.7481233	0.1713959	0.3586294	0.0528288	0.3578317	0.1128289	0.7059932	0.0549443	0.0000000
