YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0427375	0.5860431	0.6974332	0.7714055	0.6085269	0.4472979	0.1029859	0.5165797	0.5125574	0.8195612
0.0472079	0.5483375	0.6997419	0.7634296	0.7186038	0.6263757	0.0371723	0.6330546	0.6558344	0.6361841
0.1431023	0.5082193	0.7603479	0.7204144	0.4280507	0.7409516	0.1743891	0.2710596	0.7465417	0.7266279
0.0673599	0.6075212	0.6023657	0.5800723	0.4525258	0.6500971	0.1282542	0.3274077	0.4161557	0.7578514
0.1290697	0.4322941	0.5624545	0.6395938	0.5749516	0.7822565	0.0081680	0.6829514	0.7276016	0.6987457
0.0616198	0.4316073	0.7934112	0.5623362	0.6011486	0.5623479	0.0511168	0.7053429	0.3660605	0.6191154
0.0473173	0.5830486	0.7567813	0.6975798	0.7979455	0.5279946	0.0189711	0.7136499	0.8402888	0.6016529
0.0769086	0.4233455	0.6483091	0.7437933	0.7399272	0.5616819	0.0492627	0.6996929	0.5036961	0.6377522
0.1537159	0.5891366	0.8844711	0.8272575	0.7388904	0.6938601	0.0185290	0.6806304	0.4803279	0.4338896
0.1172346	0.5100969	0.7825198	0.7494453	0.7327842	0.6345118	0.0351277	0.6954464	0.5893310	0.7309776
