YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
1.0286410	0.1223535	0.9442717	0.9974500	0.0018534	0.2256015	0.0681368	0.0816003	0.8857532	0.0887150
1.0214133	0.7957315	0.9993158	0.6953659	0.2333726	0.7437354	0.5870252	0.6601956	0.5634987	0.8077090
0.9909578	0.7605814	1.0802161	0.9887098	0.0331908	0.2945437	0.0218738	0.2854249	0.7686501	0.7616767
1.0888453	1.0943672	1.1118164	0.9902960	0.3344561	0.0027303	0.0080728	0.2145915	0.8541797	0.9772032
0.9529344	1.0099096	1.0642430	0.7936991	0.3339032	0.4193271	0.1625979	0.3047263	0.9070429	0.9172332
0.9818252	0.8930420	1.0298634	0.7586221	0.4345539	0.1922523	0.1617663	0.3479332	0.7516903	1.0635173
1.0052331	0.9401352	0.9982964	0.9593354	0.0254319	0.2392672	0.0439432	0.3236259	0.8216120	1.0090961
0.9907058	0.8969854	0.9879869	0.9525587	0.0433586	0.0333901	0.0379156	0.3314550	0.7365979	0.8610942
0.9445718	0.8262704	1.0251679	0.9296825	0.0076440	0.1088544	0.0186369	0.2870481	0.8933631	1.0033504
0.9851929	0.9059517	0.9915645	0.7233888	0.2001294	0.3952993	0.1937949	0.3509846	0.7966776	0.7072453
