"Time"	YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W

0	0.4770154	0.8119599	0.7697100	0.0210647	0.7233357	0.0461329	0.0573961	0.6874065	0.8436079	0.0200343
50	0.4527757	0.7869139	0.7324254	0.0438925	0.6567532	0.0289252	0.0139940	0.6747717	0.7472173	0.0786918
100	0.4425528	0.8138693	0.8421580	0.0900155	0.7154065	0.0058827	0.0070056	0.6944764	0.5972468	0.0953703
150	0.5514400	0.8591413	0.6403675	0.2744346	0.7687538	0.0215381	0.0059573	0.7195555	0.7798556	0.1827323
200	0.5317050	0.7223027	0.7403327	0.4191792	0.6849731	0.0078154	0.0086380	0.7940190	0.6187983	0.2226247
250	0.5938851	0.7997397	0.7234561	0.5430317	0.6867948	0.0012864	0.0094813	0.7519166	0.5667583	0.1529266
300	0.5744461	0.7286343	0.7652211	0.6358440	0.7297577	0.0000821	0.0020593	0.7779348	0.6373941	0.3249951
350	0.6590750	0.7759185	0.6844465	0.7176576	0.6601117	0.0012312	0.0020257	0.5947681	0.4630471	0.2912418
400	0.6155747	0.7651231	0.7541214	0.7276740	0.7558915	0.0002169	0.0043827	0.5357859	0.4766440	0.2604769
450	0.6576128	0.7746052	0.7350737	0.8340755	0.7493086	0.0012707	0.0006861	0.5806768	0.3498788	0.2970575
500	0.4730471	0.5947879	0.8082987	0.8317970	0.6337268	0.0071414	0.0009382	0.6781037	0.4626385	0.3162714
550	0.5240921	0.7657323	0.8631071	0.7747200	0.7732967	0.0032850	0.0049733	0.6007307	0.5126052	0.3537770
600	0.5984412	0.8392789	0.7672537	0.7501393	0.8451167	0.0169631	0.0405137	0.7075461	0.5067538	0.2656789
650	0.4962263	0.8228003	0.6584965	0.7921511	0.7185324	0.0185113	0.0116641	0.6995419	0.5441813	0.2393571
700	0.4260196	0.7475723	0.7416277	0.6782721	0.7978841	0.0095205	0.0216142	0.7412797	0.7895127	0.1615984
750	0.3970489	0.6043244	0.6414147	0.5763835	0.6919077	0.0348510	0.0141997	0.6916771	0.6169437	0.1291005
800	0.5477672	1.0226108	0.7404575	0.4970619	0.8463984	0.0383773	0.0201786	0.6734176	0.6985610	0.2127770
850	0.5036984	0.7754627	0.8360293	0.5747721	0.9384234	0.0407506	0.0404861	0.7040949	0.6340230	0.1615607
900	0.6498496	0.8521571	0.7811303	0.4647971	0.7583780	0.0208322	0.0690898	0.6375908	0.6677804	0.1547583
950	0.5855319	0.8032509	0.8890567	0.4383157	0.7627605	0.0427333	0.0280307	0.5614504	0.6869518	0.0731933
1000	0.5413416	0.7613773	0.8020155	0.3031986	0.8524057	0.0187393	0.0241384	0.7041527	0.6301532	0.0610088

0	0.5248131	0.8469766	0.7601158	0.0346490	0.7762542	0.0201676	0.0441507	0.7989709	0.7312594	0.0357158
50	0.4527615	0.6757852	0.7731598	0.1548677	0.7085882	0.0718820	0.0430071	0.7472239	0.7408052	0.0190850
100	0.3897226	0.4677616	0.6688012	0.3273418	0.7728364	0.0411916	0.0135451	0.7361849	0.5863839	0.0123404
150	0.3902212	0.3491952	0.7727296	0.2884762	0.8392218	0.0427235	0.0251460	0.6545399	0.8494756	0.0117376
200	0.2605700	0.3386070	0.7487019	0.3872986	0.7089233	0.0799442	0.0366907	0.7417506	0.6755201	0.0145575
250	0.2360444	0.3786600	0.8866143	0.4108401	0.5899081	0.0429286	0.0215589	0.6506390	0.6251735	0.0578220
300	0.2783916	0.3778923	0.7438998	0.4186872	0.6699366	0.0763250	0.0430793	0.8214224	0.7461226	0.0054411
350	0.3299471	0.2750415	0.7543694	0.4261914	0.6770272	0.0371389	0.0351841	0.7248065	0.6769477	0.0270094
400	0.3109998	0.2664221	0.7474762	0.4052113	0.7737300	0.0383583	0.0463294	0.6989194	0.7718045	0.0162170
450	0.2030237	0.2341698	0.8235304	0.4586589	0.7110855	0.0631645	0.0240963	0.7504097	0.7621447	0.0245539
500	0.3496457	0.3398523	0.8153967	0.3374490	0.6908800	0.0337759	0.0465550	0.7524673	0.7061761	0.0189707
550	0.2123548	0.4307750	0.8230172	0.2485802	0.7769146	0.0435684	0.0307025	0.8817746	0.7082962	0.0078869
600	0.3114157	0.7211347	0.6794613	0.1483904	0.6532471	0.0370954	0.0470939	0.8428147	0.7246480	0.0170528
650	0.3710784	0.6775846	0.9318770	0.0529887	0.6914739	0.0321496	0.0249062	0.7648917	0.7179056	0.0238410
700	0.5167420	0.8810553	0.9376888	0.0618160	0.8999878	0.0188585	0.0392108	0.5896551	0.7802775	0.0164860
750	0.5149174	0.6752982	0.7599907	0.0922132	0.7148713	0.0144579	0.0437299	0.6486163	0.7228542	0.0197431
800	0.5627780	0.6794005	0.6815958	0.0414990	0.7402877	0.0398837	0.0354855	0.6261919	0.8012065	0.0151504
850	0.5874736	0.6586160	0.7102844	0.0498742	0.8678457	0.0273271	0.0317736	0.9255357	0.7145127	0.0152004
900	0.4303291	0.8505886	0.7811510	0.0197393	0.7249143	0.0473683	0.0305752	0.7836358	0.7693450	0.0112244
950	0.5348841	0.7525911	0.7652672	0.0209594	0.7774079	0.0232428	0.0180970	0.6704325	0.9496803	0.0147110
1000	0.5822468	0.6453868	0.7257498	0.0437928	0.8721343	0.0173719	0.0179257	0.7889858	0.7153187	0.0115967

0	0.6250110	0.6773564	0.7536894	0.0290193	0.8101342	0.0328685	0.0398542	0.7485557	0.8503374	0.0042465
50	0.7103592	0.5101279	0.6000299	0.0407763	0.7424161	0.0433790	0.0229601	0.6671584	0.7168510	0.0252602
100	0.7562886	0.2186762	0.7665990	0.0290485	0.8035291	0.0317446	0.0279522	0.7452564	0.7067125	0.0180496
150	0.8648031	0.1584055	0.5159480	0.0321481	0.7835599	0.0303819	0.0115454	0.7856921	0.6658851	0.0085106
200	0.6338008	0.0965165	0.5617841	0.0312686	0.8858150	0.0122149	0.0113100	0.8094403	0.7029513	0.0180222
250	0.6878962	0.0872455	0.6465507	0.0602033	0.7299696	0.0296307	0.0218890	0.7630312	0.6359142	0.0195006
300	0.5575967	0.0471134	0.5546373	0.0720040	0.7057512	0.0216982	0.0242251	0.6632577	0.5956474	0.0378329
350	0.5133737	0.0480496	0.6668817	0.0694589	0.8118075	0.0256849	0.0448131	0.6649724	0.7952316	0.0410265
400	0.6205525	0.0819739	0.6823093	0.0352013	0.8377223	0.0588953	0.0599711	0.5863059	0.8062747	0.0298298
450	0.8231638	0.0418968	0.6466760	0.0443168	0.7532634	0.0705326	0.0251250	0.6577670	0.8540298	0.0440064
500	0.6736579	0.0304955	0.7516986	0.0342932	0.8629707	0.0449068	0.0200560	0.6363025	0.7709679	0.0734984
550	0.3939687	0.2927619	0.6102539	0.0294991	0.6876830	0.0426907	0.0245122	0.7031107	0.9243235	0.0319284
