"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	0.5607797	0.7946865	0.5668191	0.7635892	0.6289618	0.8231529	1.0399037	0.0759484	0.1997393	1.0638100
50	0.6166460	0.8868751	0.4335822	0.8724057	0.5218658	0.8143489	0.5636913	0.0721901	0.2234021	0.9916552
100	0.6779225	0.9667830	0.3214658	0.8013303	0.2550202	0.7281900	0.1933018	0.0381200	0.2026201	1.0798776
150	0.6213734	0.8694860	0.2647590	0.5548952	0.1127722	0.6115647	0.0909236	0.0413415	0.1528742	1.0625082
200	0.6055195	0.8479480	0.2531108	0.3792397	0.0604190	0.4271765	0.0456414	0.0372939	0.1340035	0.9950514
250	0.6127220	0.8354052	0.3575300	0.2183381	0.0284626	0.3106150	0.0246562	0.0290531	0.1379210	1.0627103
300	0.6974593	0.8512447	0.3501907	0.0816709	0.0200243	0.2416933	0.0354339	0.0474314	0.1350989	0.9968495
350	0.6744943	0.8824921	0.3168222	0.0461345	0.0168999	0.2199797	0.0317881	0.0468994	0.1733628	0.9996121
400	0.6617143	0.9160463	0.3558073	0.0163427	0.0091305	0.1576938	0.0390454	0.0596647	0.1768726	0.9753571
450	0.7052539	0.8765923	0.3928270	0.0239323	0.0145057	0.1313765	0.0566712	0.0681993	0.1474583	0.9225806
500	0.7061376	0.9600898	0.4301479	0.0149891	0.0153522	0.1289301	0.0379743	0.0937995	0.1605446	1.1152188
550	0.6332984	0.8947164	0.5569495	0.0101391	0.0244799	0.2205594	0.4571955	0.0910727	0.1556752	0.9162766
600	0.6046272	0.8675976	0.7968835	0.0203262	0.1182614	0.3712836	0.8032226	0.0606540	0.1999243	0.8631529
650	0.6012073	1.0229636	0.8346100	0.0994182	0.3180892	0.5155846	0.7841948	0.0768928	0.2065087	0.9630213
700	0.5219928	0.9653620	0.8287425	0.4030807	0.3509129	0.7159573	0.8712744	0.0434906	0.2222400	0.9499160
750	0.5626208	0.9947167	0.8338621	0.5755701	0.3387598	0.7628339	0.8806582	0.0483388	0.1611758	1.0692462
800	0.5464848	0.9857025	0.7185625	0.5838485	0.4108296	0.7636532	0.9143731	0.0489450	0.1797138	1.0216483
850	0.5685834	1.0111298	0.7390976	0.6245457	0.5479976	0.7566901	1.0320141	0.0384237	0.1785139	1.0640752
900	0.5171809	0.9599382	0.7173542	0.7358318	0.5869973	0.8483390	1.0500457	0.0433119	0.1915068	0.9471437
950	0.5543978	0.9905689	0.6783377	0.8214764	0.6041942	0.8307031	1.0092286	0.0644579	0.1482726	0.8963371
1000	0.5564177	0.9136420	0.6187641	0.8892388	0.6168440	0.8704862	0.9833243	0.0668756	0.2022332	0.9933174

0	0.5607797	0.7946865	0.5668191	0.7635892	0.6289618	0.8231529	1.0399037	0.0759484	0.1997393	1.0638100
50	0.6827807	0.8394533	0.6431158	0.7321634	0.5094425	0.7090361	0.6553381	0.0844101	0.1457545	0.9642863
100	0.6208026	0.8859698	0.5217648	0.6869046	0.3256979	0.6883350	0.5018175	0.0736082	0.1029345	0.9249132
150	0.5711143	0.8829225	0.4333014	0.6970348	0.2274909	0.7218278	0.4270847	0.0666283	0.1345040	0.9550422
200	0.5548077	0.9510359	0.4631262	0.5720044	0.1214617	0.7456791	0.3654547	0.0498284	0.1639478	0.8696476
250	0.5520731	0.9311023	0.4698081	0.3503969	0.0670205	0.7002339	0.4067639	0.0702902	0.1643826	0.8598106
300	0.5314100	0.9569905	0.5359808	0.1912201	0.0831796	0.6702885	0.3930200	0.0645442	0.1716332	0.9228577
350	0.4582941	0.8869700	0.6708151	0.1279678	0.0916173	0.7264993	0.3987409	0.0440130	0.1611248	1.0073990
400	0.4813420	0.9658659	0.7922937	0.1366787	0.0819279	0.6817213	0.4141062	0.0289585	0.1539560	0.9663628
450	0.5395187	0.9325798	0.8077372	0.1109813	0.0772489	0.6724880	0.4177176	0.0371430	0.1400613	0.9205416
500	0.4821400	0.9374196	0.7297670	0.1092821	0.0900079	0.6741944	0.4056195	0.0428502	0.1715397	0.8179347
550	0.4867784	0.9303455	0.7691735	0.1179340	0.1229750	0.6687828	0.7370298	0.0413090	0.2449379	0.9855430
600	0.5273350	0.8941306	0.8765657	0.1378645	0.2308531	0.6150563	0.7606671	0.0560821	0.2120657	1.0288113
650	0.5288785	1.0224794	0.9238081	0.3383324	0.3303821	0.6591677	0.7952052	0.0467991	0.1755074	1.1607309
700	0.5102165	1.0587996	0.8904817	0.4208604	0.3943635	0.7191013	0.9931399	0.0600106	0.1535508	1.1323469
750	0.4806546	1.0151302	0.8059635	0.6482326	0.4921606	0.8137744	0.9939439	0.0364994	0.1340613	0.9869064
800	0.4322909	0.9405285	0.7405572	0.7121138	0.5456481	0.8143313	0.9729476	0.0485556	0.1707589	1.0013167
850	0.4684204	0.9053829	0.6547595	0.6954793	0.4740539	0.7606960	0.9575805	0.0480800	0.1739714	1.0190330
900	0.4594468	0.8876715	0.6120341	0.7348089	0.4642672	0.7761766	1.0375322	0.0371242	0.2146352	0.9258700
950	0.4780009	0.8593653	0.5916417	0.7631090	0.4972758	0.7426401	0.9847367	0.0523852	0.2450686	1.0374365
1000	0.5997350	0.9742054	0.6111718	0.7532620	0.5079819	0.7969644	1.0832304	0.0431911	0.1633118	0.9883874

0	0.5607797	0.7946865	0.5668191	0.7635892	0.6289618	0.8231529	1.0399037	0.0759484	0.1997393	1.0638100
50	0.5982288	0.7944001	0.5982900	0.8324495	0.6383162	0.8609097	0.8362177	0.1471124	0.1655181	0.9429416
100	0.4742246	0.8154489	0.5767013	0.8158656	0.7243610	0.8717836	0.7519119	0.2535958	0.2138374	1.0013651
150	0.4523995	0.8594248	0.5135269	0.8728795	0.7711648	0.7581467	0.6450085	0.3197553	0.2016899	0.8300077
200	0.4493569	0.9997313	0.4806668	0.9434581	0.7003964	0.7010165	0.5784661	0.3871796	0.2069521	1.0321591
250	0.3878480	1.0228742	0.5061554	0.8704450	0.6855811	0.7283102	0.5631216	0.4457502	0.1764820	0.9975860
300	0.4270113	1.0841363	0.6173270	0.8704936	0.6710188	0.6877991	0.4559591	0.3634734	0.2193429	1.0317793
350	0.3415001	0.9853364	0.6276543	0.9078912	0.6864310	0.6751730	0.5614887	0.4021580	0.2457030	0.9537660
400	0.3750798	1.0078004	0.6238298	0.8882683	0.7054995	0.6624338	0.5179512	0.3967394	0.1903988	0.9420051
450	0.3519977	1.0237920	0.5156917	0.8908742	0.6940668	0.7063463	0.5708948	0.3699583	0.1975779	0.8750605
500	0.3293360	1.0750868	0.5905457	0.7701685	0.7497311	0.6542823	0.4492057	0.3738423	0.2007786	0.8751336
550	0.3846273	1.0078463	0.5241286	0.8495857	0.4792858	0.6367384	0.4443934	0.2309338	0.2341498	0.8709510
600	0.4464739	0.9634323	0.5457650	0.6610245	0.3186095	0.5950556	0.6019496	0.1582786	0.2054165	0.9204636
650	0.4987477	0.8999390	0.5260436	0.5877712	0.2669655	0.5986528	0.8432958	0.0863538	0.2275971	0.9904633
700	0.5614066	0.9197703	0.6194429	0.5887737	0.3350496	0.7184726	0.9106915	0.0861632	0.2022876	1.0317396
750	0.5727430	0.8992028	0.7918242	0.5631928	0.3822500	0.7640447	0.9894884	0.0770960	0.2058486	0.9770777
