YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.2239731	0.3858710	0.8193037	0.6994354	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0897617
0.6355774	0.1929365	0.8193037	0.6994354	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0897617
0.2083984	0.8882450	0.4096519	0.6994354	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0897617
0.2080493	0.8138551	0.4809155	0.3497177	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0897617
0.2390376	0.6391128	0.6141814	0.4432569	0.4999634	0.1733883	0.9726111	0.9967351	1.0000000	0.2004004
0.4479503	0.3858663	0.8193087	0.6994458	0.9999992	0.0749202	0.9726111	0.9967351	1.0000000	0.0897587
0.2640509	0.3866242	0.8184499	0.6975675	0.9940418	0.3869127	0.4863058	0.9967351	1.0000000	0.0903089
0.4195178	0.3858788	0.8192951	0.6994164	0.9999066	0.1815374	0.8948622	0.4983676	1.0000000	0.0897673
0.4465009	0.3858710	0.8193036	0.6994350	0.9999656	0.1514071	0.9681662	0.9233843	0.5000305	0.0897618
0.4479461	0.3858710	0.8193037	0.6994354	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0448817
