YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.0000005	0.9162161	0.5161375	1.0000000	0.6022306	0.1583513	0.1300014	0.1707378	0.9956664	1.0000000
0.9999991	0.0000001	0.5161375	1.0000000	0.6022306	0.1583337	0.1300014	0.1707378	0.9956664	1.0000000
0.5025989	1.0000000	0.0000000	1.0000000	0.4397075	0.4729597	0.0424386	0.0017325	0.9999009	1.0000000
0.9456039	0.3877433	1.0000000	0.0000000	0.2520902	0.8341095	0.2683416	0.2663428	0.9522384	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.0000064	0.9999963	0.1300014	0.1707378	0.9956664	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.4088450	0.0000043	0.1300014	0.1707378	0.9956664	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.6770397	0.9999907	0.0000000	0.1706887	1.0000000	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.4396265	0.4729264	0.0424375	0.0000008	0.9999009	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.4257144	0.4031752	0.8027234	0.7255988	0.0000001	1.0000000
0.5676331	0.9162161	0.5161375	1.0000000	0.4258028	0.4037309	0.1299439	0.1706887	1.0000000	0.0000052
