"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.2571366	0.9997417	0.7365334	0.2489495	0.3845973	0.6231050	0.5141571	0.9104471	0.4601765	1.0000000
50	0.1958655	0.9997410	0.7363483	0.2489375	0.3845636	0.6230416	0.5135584	0.9387228	0.8086970	1.0000000
100	0.1225620	0.9997406	0.7362576	0.2489622	0.3844869	0.6224908	0.5091814	0.9701300	0.8965050	1.0000000
150	0.0951273	0.9997403	0.7362374	0.2490720	0.3840552	0.6202799	0.5025137	0.9822539	0.9185674	1.0000000
200	0.0864960	0.9997401	0.7363250	0.2495562	0.3826964	0.6163423	0.4967863	0.9862816	0.9239400	1.0000000
250	0.0838440	0.9997402	0.7367191	0.2508829	0.3802104	0.6117890	0.4929686	0.9876111	0.9249823	1.0000000
300	0.0829648	0.9997406	0.7377619	0.2533026	0.3770026	0.6077068	0.4907415	0.9880506	0.9248799	1.0000000
350	0.0825096	0.9997418	0.7397213	0.2566079	0.3737263	0.6046012	0.4895413	0.9881891	0.9245144	1.0000000
400	0.0820259	0.9997442	0.7425737	0.2602690	0.3708890	0.6024914	0.4889275	0.9882268	0.9241523	1.0000000
450	0.0813845	0.9997479	0.7459908	0.2637306	0.3687131	0.6011706	0.4886252	0.9882342	0.9238699	1.0000000
500	0.0806039	0.9997526	0.7495090	0.2666240	0.3671918	0.6003931	0.4884806	0.9882357	0.9236745	1.0000000
550	0.0864614	0.9997577	0.7527225	0.2688158	0.3662024	0.5999581	0.4884698	0.9840158	0.5627785	1.0000000
600	0.1258951	0.9997627	0.7553879	0.2703486	0.3656000	0.5997995	0.4893182	0.9668152	0.4715283	1.0000000
650	0.1893201	0.9997672	0.7574303	0.2713402	0.3653208	0.6002447	0.4922909	0.9411155	0.4484448	1.0000000
700	0.2349765	0.9997709	0.7588834	0.2718502	0.3655192	0.6019409	0.4975554	0.9194992	0.4429597	1.0000000
750	0.2567568	0.9997737	0.7597905	0.2717439	0.3665405	0.6052060	0.5036687	0.9077608	0.4426599	1.0000000
800	0.2645687	0.9997757	0.7601005	0.2707145	0.3686233	0.6095716	0.5089471	0.9031865	0.4445516	1.0000000
850	0.2658176	0.9997768	0.7596411	0.2685350	0.3716191	0.6141015	0.5126205	0.9023579	0.4476189	1.0000000
900	0.2642066	0.9997769	0.7582232	0.2653188	0.3750317	0.6179934	0.5147397	0.9032813	0.4511039	1.0000000
950	0.2615802	0.9997758	0.7558043	0.2615286	0.3782906	0.6208641	0.5156949	0.9049025	0.4543636	1.0000000
1000	0.2589708	0.9997733	0.7525814	0.2577533	0.3809875	0.6226979	0.5159063	0.9066277	0.4569943	1.0000000

0	0.2571366	0.9997417	0.7365334	0.2489495	0.3845973	0.6231050	0.5141571	0.9104471	0.4601765	1.0000000
50	0.0931745	0.9997531	0.7363483	0.2489375	0.3845639	0.6230559	0.5141122	0.9115745	0.4601394	0.6592678
100	0.0543904	0.9997574	0.7362575	0.2489590	0.3845252	0.6229972	0.5138055	0.9182132	0.4600993	0.6005253
150	0.0452283	0.9997589	0.7362306	0.2489973	0.3844691	0.6227796	0.5124966	0.9326653	0.4600403	0.5903980
200	0.0430750	0.9997594	0.7362452	0.2490663	0.3843010	0.6220293	0.5096507	0.9474782	0.4598566	0.5886521
250	0.0425958	0.9997596	0.7363043	0.2492577	0.3838057	0.6203947	0.5059404	0.9563780	0.4593168	0.5883511
300	0.0425565	0.9997598	0.7364711	0.2497636	0.3827604	0.6179620	0.5025315	0.9603281	0.4581950	0.5882992
350	0.0426849	0.9997600	0.7368878	0.2507918	0.3811357	0.6152276	0.5000387	0.9617240	0.4564842	0.5882902
400	0.0429021	0.9997605	0.7377320	0.2524137	0.3791493	0.6127219	0.4984809	0.9619965	0.4544347	0.5882887
450	0.0431413	0.9997615	0.7391126	0.2544902	0.3771321	0.6107512	0.4976263	0.9617957	0.4523967	0.5882884
500	0.0433304	0.9997631	0.7409877	0.2567364	0.3753615	0.6093788	0.4972248	0.9614248	0.4506461	0.5882884
550	0.2129145	0.9997537	0.7431674	0.2588526	0.3739817	0.6085357	0.4976167	0.9351773	0.4493122	0.9290206
600	0.2536621	0.9997522	0.7453926	0.2606251	0.3730484	0.6085335	0.5012593	0.9133907	0.4484397	0.9877631
