YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.1583540	0.4112161	0.8700545	0.9977692	0.0748107	0.0977769	0.9451788	0.4061792	0.3801321	1.0000000
0.5838437	0.2947826	0.6703180	1.0000000	0.0000422	0.0083082	0.9995303	0.1079602	0.1312700	0.9965016
0.3817557	0.4757607	0.6984104	0.9999027	0.0535173	0.2242538	0.9937157	0.2210888	0.3437244	0.4624634
0.2537350	0.4619469	0.7312727	0.9991796	0.1008404	0.0129855	0.9729506	0.3317409	0.1389700	0.9950544
0.4628177	0.3840765	0.6927836	0.9994196	0.0865874	0.2480163	0.7048202	0.1655430	0.0491449	0.8817063
0.4423147	0.4036356	0.8938141	0.9999999	0.0069466	0.0861576	0.9970949	0.1782657	0.0552235	0.7058558
0.7114507	0.2247426	0.9999997	0.7066724	0.0008489	0.0328297	0.9157440	0.0710239	0.0852152	0.5650775
0.2509646	0.4730574	0.6956928	0.9114038	0.0001315	0.0139742	0.9722032	0.3342767	0.5462760	0.5128190
0.3721675	0.4864530	0.6739697	0.7948261	0.0612286	0.2394164	0.6007994	0.2285818	0.3261550	1.0000000
0.1911433	0.3672108	0.6702414	0.9571735	0.3189848	0.1518616	1.0000000	0.0000000	0.3285496	1.0000000
