YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.0000001	0.9951698	0.9714752	0.9997283	0.0700853	0.1606829	0.7550682	0.5407140	0.9999032	1.0000000
0.8686488	0.0000013	0.9714806	0.9998367	0.0604002	0.1441717	0.8908072	0.3386105	0.9999439	1.0000000
0.2738377	0.0313135	0.0000000	0.9997837	0.0656995	0.1534619	0.8057916	0.4685222	0.9999233	1.0000000
0.2738368	0.0313135	0.0024205	0.0000000	0.0657041	0.1534630	0.8057935	0.4685219	0.9999233	1.0000000
0.8686489	0.9951701	0.9714890	0.9999992	0.0000030	0.1441717	0.8908072	0.3386105	0.9999439	1.0000000
0.8686439	0.9951701	0.9714889	0.9999938	0.0236660	0.0000038	0.8908126	0.3386015	1.0000000	1.0000000
0.9207956	0.9925712	0.8843545	0.4589862	0.7624063	0.9999991	0.0000000	0.4591705	0.5493295	1.0000000
0.8017080	0.9951700	0.9714824	0.9998738	0.0559143	0.1357762	0.9999998	0.0000008	0.9999584	1.0000000
0.9998806	0.9951696	0.9714610	0.9994383	0.0865247	0.1852288	0.6365542	0.7113715	0.0000012	1.0000000
0.8686488	0.9951699	0.9714806	0.9998367	0.0604002	0.1441717	0.8908072	0.3386105	0.9999439	0.0000038
