YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0178448	0.6239925	0.8034243	0.0220798	0.2183585	0.4144240	0.4564968	0.0542549	0.6018382	0.7209763
0.2159336	0.2776187	0.6645335	0.0225376	0.1873052	0.3314381	0.4522689	0.1411676	0.6327608	0.7505014
0.1352578	0.3657966	0.3743018	0.0232531	0.1430390	0.2932400	0.6589770	0.0653521	0.7109107	0.8085167
0.0447272	0.7513123	0.7254633	0.0078909	0.1817140	0.4363523	0.3619699	0.0523959	0.6734172	0.7004738
0.0264390	0.6652682	0.8876971	0.0030124	0.0451387	0.3407453	0.3634711	0.0204050	0.5905792	0.7918659
0.1475568	0.5742732	0.6833159	0.0214535	0.0460381	0.1839396	0.4241017	0.0777059	0.8074148	0.8003272
0.0422591	0.8214410	0.9041304	0.0227952	0.1635628	0.4421696	0.2829419	0.0654361	0.6919353	0.7678211
0.0883416	0.6403815	0.7074720	0.0223135	0.1083527	0.1838334	0.5316304	0.0242287	0.6884349	0.7793898
0.0236643	0.6590646	0.7144088	0.0184435	0.2529703	0.5805074	0.4251033	0.1075029	0.3481404	0.5337928
0.0111823	0.7647897	0.7947479	0.0361970	0.3620710	0.6579269	0.1466541	0.3793303	0.3004055	0.3839124
