"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.7682824	0.5801234	0.7641134	0.5851311	0.8989712	0.3653589	0.0739970	0.1312150	0.9739010	0.9752496
50	0.6838299	0.6089686	0.7050679	0.4826596	0.9230573	0.4110341	0.0471400	0.1137348	1.0192383	0.9999404
100	0.7159669	0.6334423	0.7598106	0.5848901	0.8908264	0.4500509	0.0570029	0.1100508	1.0283182	0.9784084
150	0.6557175	0.6203356	0.7186926	0.6164888	0.9011291	0.4580441	0.0647065	0.1325622	0.9676600	0.9528263
200	0.5767583	0.5918967	0.6227853	0.6537050	0.8351214	0.4263884	0.0583048	0.1139932	0.9896239	0.9997162
250	0.6239326	0.5184706	0.6641725	0.6973643	0.8571330	0.4241010	0.0843885	0.1110191	0.9080938	1.0250228
300	0.5119326	0.5060058	0.6463388	0.6856365	0.9593282	0.4426013	0.0526518	0.1274075	0.9496602	0.9931816
350	0.5249140	0.5634549	0.6573968	0.6609432	0.8322343	0.4444924	0.0625523	0.1370146	0.8889013	0.9710255
400	0.4785434	0.5839148	0.6335768	0.6375909	0.8341695	0.4003645	0.0578168	0.1377915	0.9880221	1.0104672
450	0.6775232	0.5091132	0.7485266	0.5795972	0.9003890	0.3715714	0.0773005	0.1362494	0.9724924	0.9754379
500	0.7223703	0.5158891	0.6699976	0.5186738	0.9376438	0.4477312	0.0562918	0.1657583	1.0767714	0.9590260
550	0.8256752	0.5140518	0.7663737	0.5265997	0.9723571	0.3402830	0.0723734	0.1014256	1.0885335	0.9366539
600	0.7257603	0.5192393	0.7247047	0.4843078	0.8652419	0.3537886	0.0798671	0.1079300	1.0446820	1.1148195
650	0.7361414	0.5442393	0.6412138	0.5964067	0.9107771	0.3042204	0.0553297	0.1139894	1.0736212	1.0056612
700	0.6716790	0.5179282	0.6244929	0.5817833	0.8685012	0.2584891	0.0643652	0.1316472	0.9777799	0.9862335
750	0.6000318	0.4996258	0.5999477	0.6255322	0.8323708	0.2534967	0.0392717	0.1568646	1.0130009	0.9985539
800	0.5689751	0.4784973	0.6530850	0.6900511	0.7815172	0.2703274	0.0604341	0.0957360	1.0518403	1.0009534
850	0.5412773	0.4916023	0.6046135	0.5536004	0.8096068	0.2412283	0.0671979	0.1026229	1.0136147	1.0529901
900	0.6058757	0.5329443	0.6410339	0.5950248	0.7821475	0.2946009	0.0488140	0.1404230	1.0460870	0.9011126
950	0.6813097	0.5345173	0.6301461	0.4964788	0.7597708	0.3133879	0.0414228	0.1250885	1.0148238	0.9392180
1000	0.7318702	0.5505911	0.6986263	0.5284882	0.7984366	0.2741868	0.0515414	0.1099832	1.0011849	0.8808103

0	0.7682824	0.5801234	0.7641134	0.5851311	0.8989712	0.3653589	0.0739970	0.1312150	0.9739010	0.9752496
50	0.4905665	0.7171477	0.6146139	0.7151029	0.7553102	0.3194047	0.0611401	0.0885244	1.0390056	0.7215550
