YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.0000000	0.3047305	0.7194515	1.0263125	0.2307031	0.2902771	0.4956722	0.0501997	0.8851086	0.2609599
0.1021014	0.0000000	0.5142909	0.9980110	0.1645663	0.6690111	0.8606783	0.2306502	0.7875170	0.3514544
1.0007123	1.0417431	0.0000000	1.0501488	0.1104861	0.7514437	0.9473728	0.5100146	1.0526870	0.0748833
0.9620215	0.3668933	0.4861350	0.0000000	0.1003830	0.8157288	0.9462542	0.6966381	0.3865810	0.7157343
1.0666134	0.4226100	0.4985832	1.0198992	0.0000000	0.7308390	0.9070121	0.4511709	0.9378848	0.2408862
1.0908351	0.2318453	1.0959264	0.4478013	1.1250385	0.0000000	0.9223582	0.4922145	0.8769815	0.3176490
1.0390472	0.2546145	1.1704041	0.5753135	0.8548425	0.0071298	0.0000000	0.4630525	1.0513164	0.2418721
1.0366312	0.2076692	1.0756926	0.5968198	0.8137005	0.0245320	0.0340469	0.0000000	0.9205313	0.3385267
1.0983301	0.3958903	0.4554485	1.0984099	0.0856011	0.7760757	0.9935266	0.9659334	0.0000000	0.2439290
0.9434514	0.4412592	0.5115044	1.1045962	0.0809144	0.6256153	0.8781236	0.9763526	0.9785274	0.0000000
