YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.0000045	0.9978010	0.2469176	0.3942163	0.0577436	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.9999610	0.0000054	0.2469176	0.3942163	0.3940129	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.9998203	0.0298408	0.0000001	0.3942163	0.3939567	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2098566	0.9999898	0.9999030	0.0000032	0.0676802	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2105635	0.9978011	0.2469176	0.3942163	0.0000018	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2098578	0.9999886	0.9758840	0.0347503	0.0380025	0.0000000	0.2357250	0.6036785	0.9537433	1.0000000
0.2222123	0.9634458	0.1180426	0.7119484	0.3965227	1.0000000	0.0000000	0.6036785	0.9537433	1.0000000
0.2099404	0.9997588	0.4407404	0.2446297	0.0427977	0.2315220	0.9999992	0.0000000	0.9537433	1.0000000
0.2106556	0.9974482	0.2367638	0.4074208	0.0720943	0.4052523	0.2286177	1.0000000	0.0000000	1.0000000
0.2106588	0.9974435	0.2367297	0.4074274	0.0720961	0.4052527	0.2286177	1.0000000	0.0459124	0.0000007
